Canción,Artista,Álbum,Artista del Álbum,Género,Fecha,Duración Segundos,bpm,Color Tempo de beaTunes,Espectro de beaTunes,Color de beaTunes,Color Tempo Timbre de beaTunes,Id Pista,Tipo,Tiempo Total,Año,Tasa de Bits,Frecuencia de Muestreo,Valoración,Valoración Álbum,Valoración Álbum Computada,Normalización,Cantidad Carpetas Archivo,Cantidad Carpetas Biblioteca,Reproducciones,Fecha de Reproducción,Fecha de Reproducción UTC,Compositor,Compilación,Explícito,Valoración Computada,Bailabilidad,Afinación
Puppets Can't Control You,ONE OK ROCK,DETOX - International Version,ONE OK ROCK,J-Rock,2025-01-19T12:00:00Z,194.56,90,010303,80.291336;91.98425;49.110237;54.56693;43.65354;36.637794;58.074802;56.90551;53.7874;42.874016;50.669292;52.61811;83.40945;99.0;54.177166;79.12205;66.649605;76.78346;83.019684;88.08661;84.578735;73.66535;50.279526;0.0;,e94459,8e7266,18335.0,Archivo de audio AAC comprado,194493.0,2025.0,256.0,44100.0,100.0,100.0,True,10419.0,5.0,1.0,21.0,3826715584.0,2025-04-05 22:33:04,"Dai Dai, Derek Tyler Carter, Dru Decarro, GIANNI TAYLOR & Taka.",,,,18.0,
Professionalism,ALI feat. Hannya,Professionalism,ALI feat. Hannya,Alternative & Indie,2024,292.87,123,afaee1,54.177166;68.59843;70.54724;37.807087;32.350395;27.283466;33.90945;50.669292;51.059055;41.704723;45.2126;47.55118;45.2126;59.633858;45.992126;54.56693;53.007874;51.83858;53.397636;69.37795;71.71654;99.0;65.87008;0.0;,f95b8c,a9b097,10705.0,Archivo de audio MPEG,292937.0,2024.0,320.0,44100.0,100.0,100.0,True,15140.0,5.0,1.0,21.0,3830025096.0,2025-05-14 04:51:36,Leo,,,,22.0,4.0
Shinuna!,Kocchi No Kento,Shinuna! - Single,Kocchi No Kento,J-Pop,2022-12-10,208.12,110,134bc5,72.1063;99.0;62.75197;48.330708;56.125984;61.192913;58.854332;58.464565;51.44882;41.31496;51.059055;57.295277;48.330708;62.362206;45.2126;72.49606;68.59843;55.34646;54.177166;49.889763;56.515747;65.480316;42.09449;0.0;,d84a35,744643,14783.0,Archivo de audio AAC,208097.0,2022.0,325.0,48000.0,100.0,100.0,True,2627.0,5.0,1.0,19.0,3825849413.0,2025-03-26 21:56:53,,,,,25.0,-1.0
"Al Mali (TQM, BB)",Paty Cantú & El Malilla,"Al Mali (TQM, BB) - Single",Paty Cantú & El Malilla,Pop,2025-02-06,155.02,82,0b0710,85.74803;85.74803;99.0;65.09055;83.019684;73.27559;54.177166;48.720474;34.299213;26.893702;30.401575;27.67323;24.555119;31.96063;32.740158;30.011812;39.755905;49.5;51.059055;72.885826;85.74803;97.44095;47.55118;0.0;,becad2,b1987d,14369.0,Archivo de audio AAC,155000.0,2025.0,332.0,48000.0,100.0,100.0,True,4566.0,5.0,1.0,14.0,3830774276.0,2025-05-22 20:57:56,,,,,20.0,2.0
Swan Song (From the Motion Picture 'Alita- Battle Angel'),Dua Lipa,Swan Song (From the Motion Picture 'Alita- Battle Angel') - Single,Dua Lipa,Soundtrack,2019-01-24,182.16,94,1b0c1e,84.18898;99.0;36.24803;38.97638;20.267717;25.724411;31.96063;17.929134;19.48819;22.6063;21.047245;24.944883;21.047245;19.098427;13.641735;21.43701;24.555119;31.570868;32.740158;21.826773;23.77559;36.637794;24.555119;0.0;,b0ea4c,341d2b,16725.0,Archivo de audio AAC,182137.0,2019.0,327.0,48000.0,100.0,100.0,True,4002.0,5.0,1.0,9.0,3829915584.0,2025-05-12 22:26:24,,,,,70.0,2.0
Temptation,Ellie Goulding,Higher Than Heaven (Deluxe),Ellie Goulding,Pop,2023-04-07,183.18,118,c4759f,70.15748;99.0;35.85827;41.704723;30.79134;25.334646;27.283466;26.893702;22.996063;29.622047;24.944883;23.77559;30.79134;45.992126;35.85827;39.755905;50.669292;44.822834;47.55118;53.7874;44.822834;49.5;31.181103;0.0;,e7a540,3e3440,12683.0,Archivo de audio AAC,183159.0,2023.0,328.0,48000.0,100.0,100.0,,6180.0,5.0,1.0,9.0,3831366597.0,2025-05-29 17:29:57,,,,,70.0,-1.0
Future Ice Cream,フレデリック,Ototune,フレデリック,J-Rock,2015-11-25,305.85,90,09060e,44.822834;99.0;49.5;39.366142;37.417324;27.67323;53.397636;30.401575;33.90945;45.2126;27.67323;48.330708;63.531494;65.87008;30.401575;47.55118;64.31102;44.43307;48.720474;36.637794;50.669292;47.16142;21.43701;0.0;,cc651d,0c110b,5387.0,Audio Apple Lossless,305853.0,2015.0,2304.0,48000.0,100.0,100.0,True,10036.0,5.0,1.0,8.0,3827242369.0,2025-04-11 23:52:49,,,,,21.0,1.0
BEYOND (CARTOON Remix),ALI feat. MaRI with CARTOON,BEYOND (Remix) - Single,ALI feat. MaRI,Dance,2024-12-25,353.87,135,ac8caa,35.468506;99.0;35.468506;27.283466;19.098427;19.098427;24.555119;22.996063;26.503939;28.452757;22.996063;28.84252;27.283466;25.724411;22.216536;26.114174;27.283466;26.893702;38.19685;48.720474;53.7874;53.397636;27.283466;0.0;,e6c15a,462e3a,11613.0,Archivo de audio AAC,353849.0,2024.0,332.0,48000.0,100.0,100.0,True,3973.0,5.0,1.0,8.0,3830027910.0,2025-05-14 05:38:30,,,,,34.0,11.0
Take Me to the Beach,Imagine Dragons feat. Ado,Take Me to the Beach - Single,Imagine Dragons feat. Ado,Alternativa,2024-12-16,167.02,105,075fad,99.0;83.40945;44.43307;45.2126;32.350395;37.417324;30.79134;38.19685;35.078743;50.279526;47.940945;39.366142;38.97638;58.854332;49.110237;47.55118;68.208664;56.90551;63.921257;58.074802;60.80315;64.70079;32.740158;0.0;,f87158,8e9285,10707.0,Archivo de audio AAC,167000.0,2024.0,323.0,48000.0,100.0,100.0,,6388.0,5.0,1.0,8.0,3830723847.0,2025-05-22 06:57:27,,,,,30.0,-5.0
NEON,ALI feat. The Crane,NEON - Single,ALI feat. The Crane,J-Pop,2024-12-04,310.22,123,9b6e7f,57.295277;99.0;76.78346;49.110237;43.65354;35.468506;30.011812;33.519684;35.468506;35.078743;34.688976;37.417324;37.027557;52.228348;35.078743;38.19685;38.97638;39.366142;49.110237;58.854332;53.397636;59.244095;33.519684;0.0;,dfbd46,101215,11619.0,Archivo de audio AAC,310195.0,2024.0,324.0,48000.0,100.0,100.0,True,10679.0,5.0,1.0,8.0,3829853008.0,2025-05-12 05:03:28,,,,,27.0,4.0
