Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Ado's Utattemita Album,Ado,J-Pop,Dried Flowers,4:48,PRE_RAW,01 Dried Flowers.mp3,Ado,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ado.xml,Ado,100,,1,74,256,Se encuentra en spotify,,,2024-09-26 20:47:05,2025-10-17 06:58:14,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Ado's%20Utattemita%20Album/01%20Dried%20Flowers.mp3,,6239,231AD0DF37853FD8,6,3839941651,2025-09-05 23:27:31,,100,,,44100,9329863,,,,,,,10,4315,1,File,2023
Ado's Utattemita Album,Ado,J-Pop,Kazarijyanainoyonamidawa,4:12,PRE_RAW,02 Kazarijyanainoyonamidawa.mp3,Ado,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ado.xml,Ado,100,,1,89,256,Se encuentra en spotify,,,2024-09-26 20:47:05,2025-10-17 06:58:14,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Ado's%20Utattemita%20Album/02%20Kazarijyanainoyonamidawa.mp3,,9618,1BE817E3E054AF4B,8,3847110323,2025-11-27 23:45:23,,100,,,44100,8171291,,,,,,,10,4317,2,File,2023
Ado's Utattemita Album,Ado,J-Pop,Aishite Aishite Aishite,4:18,PRE_RAW,03 Aishite Aishite Aishite.mp3,Ado,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ado.xml,Ado,100,,1,115,256,Se encuentra en spotify,,Kikuo,2024-09-26 20:47:06,2025-10-17 06:58:13,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Ado's%20Utattemita%20Album/03%20Aishite%20Aishite%20Aishite.mp3,,11299,1677AC31F75FA944,6,3842283880,2025-10-03 02:04:40,,100,,,44100,8356864,,,,,,,10,4319,3,File,2023
Ado's Utattemita Album,Ado,J-Pop,Kawaikute Gomen,3:39,PRE_RAW,05 Kawaikute Gomen.mp3,Ado,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ado.xml,Ado,100,,1,160,256,Se encuentra en spotify,,,2024-09-26 20:47:06,2025-10-17 06:58:13,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Ado's%20Utattemita%20Album/05%20Kawaikute%20Gomen.mp3,,11204,5C8A1F414C330436,4,3844415846,2025-10-27 19:17:26,,100,,,44100,7101306,,,,,,,10,4323,5,File,2023
Ado's Utattemita Album,Ado,J-Pop,unravel,3:58,PRE_RAW,08 unravel.mp3,Ado,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ado.xml,Ado,100,,1,135,256,Se encuentra en spotify,,Tōru Kitajima,2024-09-26 20:47:06,2025-10-17 06:58:13,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Ado's%20Utattemita%20Album/08%20unravel.mp3,,12369,CA66767F6218BD15,7,3845707321,2025-11-11 18:02:01,,100,,,44100,7716534,,,,,,,10,4329,8,File,2023
Ado's Utattemita Album,Ado,J-Pop,Buriki No Dance,3:19,PRE_RAW,09 Buriki No Dance.mp3,Ado,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ado.xml,Ado,100,,1,172,256,Se encuentra en spotify,,,2024-09-26 20:47:07,2025-10-17 06:58:13,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Ado's%20Utattemita%20Album/09%20Buriki%20No%20Dance.mp3,,15169,51E0F1BFE8B4DBFE,3,3837409214,2025-08-07 16:00:14,,100,,,44100,6452634,,,,,,,10,4331,9,File,2023
MIRROR - Single,Ado,J-Pop,MIRROR,2:58,PRE_RAW,01 MIRROR.mp3,Ado,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ado.xml,Ado,100,,1,89,256,Se encuentra en spotify,,CHINOZO,2024-09-26 20:47:07,2025-10-17 06:58:09,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/MIRROR%20-%20Single/01%20MIRROR.mp3,,4960,3972EB07B7D1409E,8,3848053594,2025-12-08 21:46:34,,100,,,44100,5816637,,,,,,,1,4335,1,File,2024
Value - Single,Ado,J-Pop,Value,3:05,PRE_RAW,01 Value.mp3,Ado,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ado.xml,Ado,100,,1,80,256,Se encuentra en spotify,,ポリスピカデリー,2024-09-26 20:47:07,2025-10-17 06:58:07,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Value%20-%20Single/01%20Value.mp3,,7385,4512D3B966F86D9F,3,3830722036,2025-05-22 06:27:16,,100,,,44100,5967774,,,,,,,1,4337,1,File,2024
Take Me to the Beach - Single,Imagine Dragons feat. Ado,Alternativa,Take Me to the Beach,2:47,PRE_RAW,01 Take Me to the Beach.m4a,Ado,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ado.xml,Imagine Dragons feat. Ado,100,,1,105,323,Se encuentra en spotify,,,2024-12-17 03:33:55,2025-10-17 06:55:43,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Imagine%20Dragons%20feat.%20Ado/Take%20Me%20to%20the%20Beach%20-%20Single/01%20Take%20Me%20to%20the%20Beach.m4a,,6388,542CE6EDB3D82A59,9,3837411275,2025-08-07 16:34:35,,100,,2024-12-16 12:00:00,48000,6821923,2,2025-03-29 00:00:34,,,,,1,11657,1,File,2024
Episode X,Ado,J-Pop,Episode X,3:23,PRE_RAW,01 Episode X.mp3,Ado,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ado.xml,Ado,100,,1,87,320,Se encuentra en spotify,,,2025-01-15 21:39:34,2025-10-17 06:58:11,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Episode%20X/01%20Episode%20X.mp3,,18617,A483D3609EFB06F5,6,3846402617,2025-11-19 19:10:17,,100,,,44100,8534720,,,,,,,1,11717,1,File,2024
ウタの歌 ONE PIECE FILM RED,Ado,J-Pop,ウタカタララバイ,2:53,PRE_RAW,04 ウタカタララバイ.mp3,Ado,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ado.xml,Ado,100,,1,134,320,Se encuentra en spotify,,Ado,2025-01-15 22:34:11,2025-10-17 06:58:06,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/%E3%82%A6%E3%82%BF%E3%81%AE%E6%AD%8C%20ONE%20PIECE%20FILM%20RED/04%20%E3%82%A6%E3%82%BF%E3%82%AB%E3%82%BF%E3%83%A9%E3%83%A9%E3%83%90%E3%82%A4.mp3,,13325,8357CC4DAE134B36,4,3837409387,2025-08-07 16:03:07,,100,,,44100,9094832,,,,,,,8,11727,4,File,2022
ウタの歌 ONE PIECE FILM RED,Ado,J-Pop,Tot Musica,3:15,PRE_RAW,05 Tot Musica.mp3,Ado,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ado.xml,Ado,100,,1,130,320,Se encuentra en spotify,,Ado,2025-01-15 22:34:11,2025-10-17 06:58:06,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/%E3%82%A6%E3%82%BF%E3%81%AE%E6%AD%8C%20ONE%20PIECE%20FILM%20RED/05%20Tot%20Musica.mp3,,9569,5C42BEA355483EFC,8,3847085107,2025-11-27 16:45:07,,100,,,44100,9969416,,,,,,,8,11729,5,File,2022
狂言,Ado,J-Pop,心という名の不可解,4:29,PRE_RAW,10 心という名の不可解.mp3,Ado,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ado.xml,Ado,100,,,76,320,Se encuentra en spotify,,Ado,2025-01-15 23:20:51,2025-10-17 06:58:04,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/%E7%8B%82%E8%A8%80/10%20%E5%BF%83%E3%81%A8%E3%81%84%E3%81%86%E5%90%8D%E3%81%AE%E4%B8%8D%E5%8F%AF%E8%A7%A3.mp3,,9885,268C0DC875392CDD,10,3837501850,2025-08-08 17:44:10,,100,,,44100,10802642,,,,,,,14,11755,10,File,2022
ルル,Ado,J-Pop,ルル,3:17,PRE_RAW,01 ルル.mp3,Ado,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ado.xml,Ado,100,,1,132,320,Se encuentra en spotify,,Ado,2025-01-15 23:20:52,2025-10-17 06:58:06,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/%E3%83%AB%E3%83%AB/01%20%E3%83%AB%E3%83%AB.mp3,,18321,98A7D3E8A3A1C685,5,3837410350,2025-08-07 16:19:10,,100,,,44100,8086939,,,,,,,1,11765,1,File,2024
唱,Ado,J-Pop,唱,3:09,PRE_RAW,01 唱.mp3,Ado,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ado.xml,Ado,100,,1,132,320,Se encuentra en spotify,,Giga & TeddyLoid,2025-01-15 23:20:52,2025-10-17 06:58:05,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/%E5%94%B1/01%20%E5%94%B1.mp3,,22203,A35CF35D9E9E35B1,3,3847088523,2025-11-27 17:42:03,,100,,,44100,7806068,,,,,,,1,11767,1,File,2023
踊,Ado,Pop,踊,3:28,PRE_RAW,01 踊.mp3,Ado,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ado.xml,Ado,100,,1,128,320,Se encuentra en spotify,,TeddyLoid/Giga,2025-01-15 23:30:49,2025-10-17 06:58:04,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/%E8%B8%8A/01%20%E8%B8%8A.mp3,,19595,AC221A2E464EA1FD,6,3844162748,2025-10-24 19:59:08,,100,,,44100,8493138,1,2025-02-17 23:43:31,,,,,1,11793,1,File,2021
Elf - Single,Ado,J-Pop,Elf,4:20,PRE_RAW,01 Elf.m4a,Ado,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ado.xml,Ado,100,,1,80,320,Se encuentra en spotify,,みゆはん,2025-01-25 15:28:14,2025-10-17 06:58:11,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Elf%20-%20Single/01%20Elf.m4a,,7891,D78BC250584D00A4,14,3840194767,2025-09-08 21:46:07,,100,,2025-01-24 12:00:00,48000,10621215,,,,,,,1,15257,1,File,2025
