Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
After Dark,Aimer,J-Pop,ポラリス,6:05,PRE_RAW,02 ポラリス.mp3,Aimer,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aimer.xml,Aimer,100,True,1,74,256,Se encuentra en spotify,,aimerrythm/òà«å,2024-09-26 20:47:18,2025-10-17 06:57:54,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aimer/After%20Dark/02%20%E3%83%9D%E3%83%A9%E3%83%AA%E3%82%B9.mp3,,5683,6770075157687DB5,3,3835608107,2025-07-17 19:41:47,,100,,,44100,11729939,,,,,,,12,4469,2,File,2013
After Dark,Aimer,J-Pop,words,5:54,PRE_RAW,03 words.mp3,Aimer,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aimer.xml,Aimer,100,True,1,70,256,Se encuentra en spotify,,阿部真央,2024-09-26 20:47:18,2025-10-17 06:57:54,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aimer/After%20Dark/03%20words.mp3,,3882,1A5F9020EE5B0E71,5,3847192318,2025-11-28 22:31:58,,100,,,44100,11390550,,,,,,,12,4471,3,File,2013
After Dark,Aimer,J-Pop,After Rain,4:52,PRE_RAW,05 After Rain.mp3,Aimer,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aimer.xml,Aimer,100,True,1,120,256,Se encuentra en spotify,,"Kenji Tamai, KOMODA",2024-09-26 20:47:19,2025-10-17 06:57:53,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aimer/After%20Dark/05%20After%20Rain.mp3,,9307,D531778DE6F2607B,5,3845978603,2025-11-14 21:23:23,,100,,,44100,9415280,,,,,,,12,4475,5,File,2013
Bitter & Sweet,Aimer,J-Pop,リフレインが叫んでる,4:21,PRE_RAW,01 リフレインが叫んでる.mp3,Aimer,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aimer.xml,Aimer,100,True,1,126,256,Se encuentra en spotify,,,2024-09-26 20:47:21,2025-10-17 06:57:53,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aimer/Bitter%20&%20Sweet/01%20%E3%83%AA%E3%83%95%E3%83%AC%E3%82%A4%E3%83%B3%E3%81%8C%E5%8F%AB%E3%82%93%E3%81%A7%E3%82%8B.mp3,,3996,834B54552982C1D1,4,3835536932,2025-07-16 23:55:32,,100,,,44100,8430300,,,,,,,16,4491,1,File,2012
Bitter & Sweet,Aimer,J-Pop,強く儚い者たち,4:45,PRE_RAW,07 強く儚い者たち.mp3,Aimer,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aimer.xml,Aimer,100,True,1,78,256,Se encuentra en spotify,,,2024-09-26 20:47:21,2025-10-17 06:57:53,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aimer/Bitter%20&%20Sweet/07%20%E5%BC%B7%E3%81%8F%E5%84%9A%E3%81%84%E8%80%85%E3%81%9F%E3%81%A1.mp3,,5125,D457770C853D392A,3,3843567316,2025-10-17 22:35:16,,100,,,44100,9196831,,,,,,,16,4495,7,File,2012
daydream,Aimer,J-Pop,twoface,3:05,PRE_RAW,03 twoface.mp3,Aimer,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aimer.xml,Aimer,100,True,1,92,256,Se encuentra en spotify,,内澤崇仁,2024-09-26 20:47:22,2025-10-17 06:57:51,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aimer/daydream/03%20twoface.mp3,,20614,355574AB7B05C64D,2,3841338244,2025-09-22 03:24:04,,100,,,44100,6006632,,,,,,,13,4507,3,File,2016
daydream,Aimer,J-Pop,声色,4:57,PRE_RAW,09 声色.mp3,Aimer,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aimer.xml,Aimer,100,True,1,74,256,Se encuentra en spotify,,TK,2024-09-26 20:47:24,2025-10-17 06:57:51,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aimer/daydream/09%20%E5%A3%B0%E8%89%B2.mp3,,7806,026B9F7E7F299300,3,3827239104,2025-04-11 22:58:24,,100,,,44100,9602753,,,,,,,13,4519,9,File,2016
daydream,Aimer,J-Pop,closer,3:32,PRE_RAW,10 closer.mp3,Aimer,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aimer.xml,Aimer,100,True,1,90,256,Se encuentra en spotify,,taka,2024-09-26 20:47:24,2025-10-17 06:57:51,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aimer/daydream/10%20closer.mp3,,11684,EFE0F1449B731CE0,4,3843558611,2025-10-17 20:10:11,,100,,,44100,6889362,,,,,,,13,4521,10,File,2016
daydream,Aimer feat Taka,J-Pop,Falling Alone,4:13,PRE_RAW,11 Falling Alone.mp3,Aimer,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aimer.xml,Aimer,100,True,1,120,256,Se encuentra en spotify,,,2024-09-26 20:47:24,2025-10-17 06:57:40,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aimer/daydream/11%20Falling%20Alone.mp3,,10100,A3308FA89891409E,7,3843570145,2025-10-17 23:22:25,,100,,,44100,8190058,,,,,,,13,4523,11,File,2016
Deep down,Aimer,J-Pop,Deep down,3:47,PRE_RAW,01 Deep down.mp3,Aimer,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aimer.xml,Aimer,100,True,1,51,256,Se encuentra en spotify,,Kazuma Nagasawa,2024-09-26 20:47:25,2025-10-17 06:57:50,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aimer/Deep%20down/01%20Deep%20down.mp3,,4887,92B9C58E94C8FFD8,4,3840283214,2025-09-09 22:20:14,,100,,,44100,7333626,,,,,,,7,4529,1,File,2022
