Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
BUENAS NOCHES,Quevedo & Aitana,Música latina,GRAN VÍA,3:33,PRE_RAW,04 GRAN VÍA.m4a,Aitana,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aitana.xml,Quevedo,100,,1,160,331,Se encuentra en spotify,,"Pedro Luis Domínguez Quevedo, Geovanny Javier Chasiloa Caza, Javier Falquet Moragues, Aitana, Andres Torres, Mauricio Rengifo & David Hernandez Garcia",2025-01-17 05:57:00,2025-11-29 06:07:02,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Quevedo/BUENAS%20NOCHES/04%20GRAN%20V%C3%8DA.m4a,,4061,BD067CF5CACC1CF2,9,3847273125,2025-11-29 20:58:45,,100,,2024-11-22 12:00:00,48000,8965423,,,,,,,18,12991,4,File,2024
Enemigos - Single,Aitana & Reik,Pop en español,Enemigos,3:17,PRE_RAW,01 Enemigos.m4a,Aitana,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aitana.xml,Aitana & Reik,100,,1,90,333,Se encuentra en spotify,,"Aitana, Santiago Deluchi, Chris Zadley, Germán Gonzalo Duque Molano & Felipe González Abad",2025-03-07 17:51:32,2025-11-29 06:07:01,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aitana%20&%20Reik/Enemigos%20-%20Single/01%20Enemigos.m4a,,6851,6C44EAECD4E7C783,5,3847273858,2025-11-29 21:10:58,,100,,2020-05-14 12:00:00,48000,8381023,,,,,,,1,24243,1,File,2020
Formentera - Single,Aitana & NICKI NICOLE,Pop en español,Formentera,3:26,PRE_RAW,01 Formentera.m4a,Aitana,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aitana.xml,Aitana & NICKI NICOLE,100,True,1,128,330,Se encuentra en spotify,,Andrés Torres/Mauricio Rengifo/Aitana Ocaña/Nicole Denise Cucco,2025-03-07 17:51:32,2025-11-29 06:07:01,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aitana%20&%20NICKI%20NICOLE/Formentera%20-%20Single/01%20Formentera.m4a,,4362,1A9492A175A9A427,2,3847274447,2025-11-29 21:20:47,,100,,2021-12-02 12:00:00,48000,8723151,,,,,,,1,24247,1,File,2021
Friend De Semana - Single,"Danna Paola, Luísa Sonza & Aitana",Pop en español,Friend De Semana,3:29,PRE_RAW,01 Friend De Semana.m4a,Aitana,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aitana.xml,"Danna Paola, Luísa Sonza & Aitana",100,,1,93,329,Se encuentra en spotify,,"Danna Paola, Luísa Sonza, Mango, Nabález, Pedro Malaver Turbay, ARTHUR MARQUES & Aitana",2025-03-07 17:51:32,2025-11-29 06:07:01,1,1,,,5,Archivo de audio AAC,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/Danna%20Paola,%20Lu%C3%ADsa%20Sonza%20&%20Aitana/Friend%20De%20Semana%20-%20Single/01%20Friend%20De%20Semana.m4a",,7182,5A9ADF8188378F25,3,3847274656,2025-11-29 21:24:16,,100,,2020-10-29 12:00:00,48000,8732568,,,,,,,1,24249,1,File,2020
11 RAZONES,"Aitana, Álvaro Díaz & Pole",Pop en español,– (MENOS),3:08,PRE_RAW,02 – (MENOS).m4a,Aitana,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aitana.xml,Aitana,100,True,1,158,327,Se encuentra en spotify,,Aitana,2025-03-07 23:32:44,2025-11-29 06:07:01,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aitana/11%20RAZONES/02%20%E2%80%93%20(MENOS).m4a,,7008,5629514FFC96FAEB,2,3847272729,2025-11-29 20:52:09,,100,,2020-12-10 12:00:00,48000,7826931,,,,,,,11,24301,2,File,2020
11 RAZONES,Aitana,Pop en español,% (DIVIDIDO),3:15,PRE_RAW,06 % (DIVIDIDO).m4a,Aitana,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aitana.xml,Aitana,100,True,1,134,324,Se encuentra en spotify,,Aitana,2025-03-07 23:32:44,2025-11-29 06:07:01,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aitana/11%20RAZONES/06%20%25%20(DIVIDIDO).m4a,,8588,19CC8FF3FF81C3BA,2,3847276177,2025-11-29 21:49:37,,100,,2020-12-10 12:00:00,48000,8060344,,,,,,,11,24327,6,File,2020
SEGUNDO INTENTO - Single,Aitana,Pop,SEGUNDO INTENTO,3:11,PRE_RAW,01 SEGUNDO INTENTO.m4a,Aitana,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aitana.xml,Aitana,100,True,1,158,326,Se encuentra en spotify,,"Aitana, Nicolás Cotton & Carolina Isabel Colón Juarbe",2025-03-07 23:35:27,2025-11-29 06:07:02,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aitana/SEGUNDO%20INTENTO%20-%20Single/01%20SEGUNDO%20INTENTO.m4a,,5007,29E19C826DB7E845,3,3847275981,2025-11-29 21:46:21,,100,,2025-01-23 12:00:00,48000,7908241,,,,,,,1,24377,1,File,2025
Mon Amour (Remix) - Single,zzoilo & Aitana,Pop en español,Mon Amour (Remix),3:00,PRE_RAW,01 Mon Amour (Remix).m4a,Aitana,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aitana.xml,zzoilo & Aitana,100,True,1,116,335,Se encuentra en spotify,,"Zoilo Tuñón Rosa, Víctor Galindo Bovea & Aitana",2025-03-07 23:38:38,2025-11-29 06:07:01,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/zzoilo%20&%20Aitana/Mon%20Amour%20(Remix)%20-%20Single/01%20Mon%20Amour%20(Remix).m4a,,3139,AFE3E7CB343E2CC1,3,3847273305,2025-11-29 21:01:45,,100,,2021-08-18 12:00:00,48000,7636882,,,,,,,1,24405,1,File,2021
Lo Malo - Single,Aitana & Ana Guerra,Pop en español,Lo Malo,3:00,PRE_RAW,01 Lo Malo.m4a,Aitana,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aitana.xml,Aitana & Ana Guerra,100,True,1,95,331,Se encuentra en spotify,,Will Simms & Morgan,2025-03-07 23:39:19,2025-11-29 06:05:37,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aitana%20&%20Ana%20Guerra/Lo%20Malo%20-%20Single/01%20Lo%20Malo.m4a,,3869,016C3603641A9F85,2,3847275181,2025-11-29 21:33:01,,100,,2018-01-01 12:00:00,48000,7619742,,,,,,,1,24415,1,File,2018
Nada Sale Mal - Single,Aitana,Pop,Nada Sale Mal,3:09,PRE_RAW,01 Nada Sale Mal.m4a,Aitana,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Aitana.xml,Aitana,100,True,1,74,331,Se encuentra en spotify,,"Aitana, Luis Salazar, Andy Clay & Maye Osorio",2025-03-07 23:39:19,2025-11-29 06:07:00,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Aitana/Nada%20Sale%20Mal%20-%20Single/01%20Nada%20Sale%20Mal.m4a,,3000,465A367303F9758C,2,3847273661,2025-11-29 21:07:41,,100,,2019-05-17 12:00:00,48000,7951579,,,,,,,1,24419,1,File,2019
