Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Duro y Dale,Alex Soto,Pop en español,Como Quieras Quiero,3:58,PRE_RAW,02 Como Quieras Quiero.mp3,Alex Soto,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Alex Soto.xml,Alex Soto,100,True,1,113,256,Se encuentra en spotify,,,2024-09-26 20:47:44,2025-10-17 06:57:37,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Alex%20Soto/Duro%20y%20Dale/02%20Como%20Quieras%20Quiero.mp3,,4759,285466655E412AAA,3,3841308667,2025-09-21 19:11:07,,100,,,44100,7692187,1,2025-10-07 02:32:26,,,,,11,4727,2,File,2020
Duro y Dale,Alex Soto,Pop en español,Hombre Muerto,3:54,PRE_RAW,07 Hombre Muerto.mp3,Alex Soto,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Alex Soto.xml,Alex Soto,100,True,1,140,256,Se encuentra en spotify,,,2024-09-26 20:47:45,2025-10-17 06:57:36,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Alex%20Soto/Duro%20y%20Dale/07%20Hombre%20Muerto.mp3,,4116,11B081C44D081A49,3,3847259806,2025-11-29 17:16:46,,100,,,44100,7555927,,,,,,,11,4735,7,File,2020
Duro y Dale,Alex Soto,Pop en español,Esquivando Balas,3:31,PRE_RAW,10 Esquivando Balas.mp3,Alex Soto,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Alex Soto.xml,Alex Soto,100,True,1,68,256,Se encuentra en spotify,,,2024-09-26 20:47:45,2025-10-17 06:57:36,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Alex%20Soto/Duro%20y%20Dale/10%20Esquivando%20Balas.mp3,,6065,7BCDD5F84A977861,5,3830085978,2025-05-14 21:46:18,,100,,,44100,6820322,2,2025-07-19 23:26:48,,,,,11,4739,10,File,2020
Duro y Dale,Alex Soto,Pop en español,Gracias (Bonus Track),4:12,PRE_RAW,11 Gracias (Bonus Track).mp3,Alex Soto,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Alex Soto.xml,Alex Soto,100,True,1,66,256,Se encuentra en spotify,,,2024-09-26 20:47:45,2025-10-17 06:57:36,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Alex%20Soto/Duro%20y%20Dale/11%20Gracias%20(Bonus%20Track).mp3,,3873,14AE91A1E4D4EC18,5,3845734165,2025-11-12 01:29:25,,100,,,44100,8141079,,,,,,,11,4741,11,File,2020
Forma y Fondo,Alex Soto,Música latina,Ahí Es,3:12,PRE_RAW,01 Ahí Es.mp3,Alex Soto,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Alex Soto.xml,Alex Soto,100,True,1,84,256,Se encuentra en spotify,,,2024-09-26 20:47:45,2025-10-17 06:57:36,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Alex%20Soto/Forma%20y%20Fondo/01%20Ah%C3%AD%20Es.mp3,,3577,A0015D0A4582A2D0,9,3845293476,2025-11-06 23:04:36,,100,,,44100,6320748,,,,,,,10,4743,1,File,2023
Forma y Fondo,Alex Soto,Música latina,Tiempo y Espacio,2:42,PRE_RAW,02 Tiempo y Espacio.mp3,Alex Soto,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Alex Soto.xml,Alex Soto,100,True,1,84,256,Se encuentra en spotify,,,2024-09-26 20:47:45,2025-10-17 06:57:36,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Alex%20Soto/Forma%20y%20Fondo/02%20Tiempo%20y%20Espacio.mp3,,4239,59782F02A7AFD561,4,3845723648,2025-11-11 22:34:08,,100,,,44100,5352756,,,,,,,10,4745,2,File,2023
Forma y Fondo,Alex Soto,Música latina,Ese Son,3:23,PRE_RAW,03 Ese Son.mp3,Alex Soto,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Alex Soto.xml,Alex Soto,100,True,1,120,256,Se encuentra en spotify,,,2024-09-26 20:47:46,2025-10-17 06:57:36,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Alex%20Soto/Forma%20y%20Fondo/03%20Ese%20Son.mp3,,4060,DF2E73A7F7CE74D3,8,3847116469,2025-11-28 01:27:49,,100,,,44100,6670154,,,,,,,10,4747,3,File,2023
Un Ratito - Single,Alex Soto & Cecy Leos,Música latina,Un Ratito,2:54,PRE_RAW,01 Un Ratito.m4a,Alex Soto,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Alex Soto.xml,Alex Soto & Cecy Leos,100,True,1,94,338,Se encuentra en spotify,,,2025-01-17 22:38:59,2025-10-17 06:57:34,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Alex%20Soto%20&%20Cecy%20Leos/Un%20Ratito%20-%20Single/01%20Un%20Ratito.m4a,,2856,FDEF794D88199C2F,2,3844076337,2025-10-23 19:58:57,,100,,2019-07-05 12:00:00,48000,7491075,,,Ratito - Single,,,Ratito,1,14251,1,File,2019
Ahorita No - Single,Alex Soto,Música latina,Ahorita No,3:01,PRE_RAW,01 Ahorita No.m4a,Alex Soto,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Alex Soto.xml,Alex Soto,100,True,1,106,322,Se encuentra en spotify,,,2025-01-18 07:23:28,2025-10-17 06:57:37,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Alex%20Soto/Ahorita%20No%20-%20Single/01%20Ahorita%20No.m4a,,4148,8C758CC59CEBB797,5,3844692010,2025-10-31 00:00:10,,100,,2019-04-12 12:00:00,48000,7420492,,,,,,,1,14705,1,File,2019
Claro - Single,Alex Soto,Música latina,Claro,3:39,PRE_RAW,01 Claro.m4a,Alex Soto,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Alex Soto.xml,Alex Soto,100,True,1,99,321,Se encuentra en spotify,,,2025-01-18 07:23:28,2025-10-17 06:57:37,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Alex%20Soto/Claro%20-%20Single/01%20Claro.m4a,,2586,A49C693F0400EA94,4,3845453873,2025-11-08 19:37:53,,100,,2019-02-08 12:00:00,48000,8951957,1,2025-02-19 02:12:52,,,,,1,14709,1,File,2019
Dolor de Muelas - Single,Alex Soto,Música latina,Dolor De Muelas,3:21,PRE_RAW,01 Dolor De Muelas.m4a,Alex Soto,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Alex Soto.xml,Alex Soto,100,True,1,112,326,Se encuentra en spotify,,,2025-01-18 07:23:28,2025-10-17 06:57:37,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Alex%20Soto/Dolor%20de%20Muelas%20-%20Single/01%20Dolor%20De%20Muelas.m4a,,3084,F48BA902A5EAF9A1,6,3844007973,2025-10-23 00:59:33,,100,,2021-10-29 12:00:00,48000,8335264,,,,,,,1,14711,1,File,2021
Forever Alone - Single,Alex Soto,Música latina,Forever Alone,3:38,PRE_RAW,01 Forever Alone.m4a,Alex Soto,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Alex Soto.xml,Alex Soto,100,True,1,118,323,Se encuentra en spotify,,,2025-01-18 07:23:28,2025-10-17 06:57:36,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Alex%20Soto/Forever%20Alone%20-%20Single/01%20Forever%20Alone.m4a,,1525,617B56E327016895,5,3843648019,2025-10-18 21:00:19,,100,,2018-02-12 12:00:00,48000,8918097,,,,,,,1,14715,1,File,2018
Mala Copa - Single,Alex Soto,Música latina,Mala Copa,3:19,PRE_RAW,01 Mala Copa.m4a,Alex Soto,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Alex Soto.xml,Alex Soto,100,True,1,148,328,Se encuentra en spotify,,,2025-01-18 07:23:28,2025-10-17 06:57:35,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Alex%20Soto/Mala%20Copa%20-%20Single/01%20Mala%20Copa.m4a,,4575,8BB0F1C27C0D430C,6,3843557881,2025-10-17 19:58:01,,100,,2018-12-14 12:00:00,48000,8308674,,,,,,,1,14719,1,File,2018
Nadie Le Gana Al Destino - Single,Alex Soto,Música latina,Nadie Le Gana Al Destino,3:37,PRE_RAW,01 Nadie Le Gana Al Destino.m4a,Alex Soto,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Alex Soto.xml,Alex Soto,100,True,1,98,336,Se encuentra en spotify,,,2025-01-18 07:23:28,2025-10-17 06:57:35,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Alex%20Soto/Nadie%20Le%20Gana%20Al%20Destino%20-%20Single/01%20Nadie%20Le%20Gana%20Al%20Destino.m4a,,3283,AB21EEAF5B6AE7E2,3,3847194302,2025-11-28 23:05:02,,100,,2019-02-03 12:00:00,48000,9229440,,,,,,,1,14721,1,File,2019
No Debería - Single,Alex Soto,Música latina,No Debería,3:01,PRE_RAW,01 No Debería.m4a,Alex Soto,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Alex Soto.xml,Alex Soto,100,True,1,106,326,Se encuentra en spotify,,,2025-01-18 07:23:28,2025-10-17 06:57:35,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Alex%20Soto/No%20Deber%C3%ADa%20-%20Single/01%20No%20Deber%C3%ADa.m4a,,2672,794EBC14262E042E,1,3820996606,2025-01-29 17:56:46,,100,,2021-12-10 12:00:00,48000,7505475,,,,,,,1,14723,1,File,2021
Qué Tal - Single,Alex Soto & Griss Romero,Música latina,Qué Tal,3:52,PRE_RAW,01 Qué Tal.m4a,Alex Soto,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Alex Soto.xml,Alex Soto & Griss Romero,100,True,1,128,327,Se encuentra en spotify,,,2025-01-18 07:23:28,2025-10-17 06:57:34,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Alex%20Soto%20&%20Griss%20Romero/Qu%C3%A9%20Tal%20-%20Single/01%20Qu%C3%A9%20Tal.m4a,,2538,AE76530492691D8A,2,3843576633,2025-10-18 01:10:33,,100,,2020-10-30 12:00:00,48000,9597367,1,2025-08-24 01:08:53,,,,,1,14727,1,File,2020
Recaídas - Single,Alex Soto,Música latina,Recaídas,3:24,PRE_RAW,01 Recaídas.m4a,Alex Soto,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Alex Soto.xml,Alex Soto,100,True,1,128,330,Se encuentra en spotify,,,2025-01-18 07:23:28,2025-10-17 06:57:35,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Alex%20Soto/Reca%C3%ADdas%20-%20Single/01%20Reca%C3%ADdas.m4a,,2160,3E7971FDDBEFA325,5,3841341761,2025-09-22 04:22:41,,100,,2022-07-15 12:00:00,48000,8560397,,,,,,,1,14729,1,File,2022
Seré Discreto - Single,Alex Soto,Música latina,Seré Discreto,3:31,PRE_RAW,01 Seré Discreto.m4a,Alex Soto,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Alex Soto.xml,Alex Soto,100,True,1,104,327,Se encuentra en spotify,,,2025-01-18 07:23:28,2025-10-17 06:57:35,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Alex%20Soto/Ser%C3%A9%20Discreto%20-%20Single/01%20Ser%C3%A9%20Discreto.m4a,,4216,11807EDF8138DF09,3,3834829940,2025-07-08 19:32:20,,100,,2019-11-15 12:00:00,48000,8754162,,,,,,,1,14731,1,File,2019
