Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
BEYOND,ALI feat. MaRI,J-Pop,BEYOND ,3:48,PRE_RAW,01 BEYOND.mp3,Ali,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ali.xml,ALI feat. MaRI,100,True,1,89,320,Se encuentra en spotify,,,2024-12-16 23:57:21,2025-10-17 06:57:31,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ALI%20feat.%20MaRI/BEYOND/01%20BEYOND.mp3,,13180,0930037385047144,6,3841818132,2025-09-27 16:42:12,,100,,,44100,9276131,,,,,,,1,11653,1,File,2024
Professionalism,ALI feat. Hannya,Alternative & Indie,Professionalism,4:52,PRE_RAW,01 Professionalism.mp3,Ali,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ali.xml,ALI feat. Hannya,100,True,1,123,320,Se encuentra en spotify,,Leo,2024-12-17 01:16:36,2025-10-17 06:57:32,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ALI%20feat.%20Hannya/Professionalism/01%20Professionalism.mp3,,15140,6335DD23AC6883D3,24,3844416324,2025-10-27 19:25:24,,100,,,44100,11746792,,,,,,,1,11655,1,File,2024
"LOVE, MUSIC AND DANCE",ALI feat. 梅田サイファー,Alternativa,FEELIN' GOOD,4:49,PRE_RAW,01 FEELIN' GOOD.m4a,Ali,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ali.xml,ALI,100,True,1,110,322,Se encuentra en spotify,,,2025-01-16 04:53:31,2025-10-17 06:57:30,1,1,,,5,Archivo de audio AAC,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/ALI/LOVE,%20MUSIC%20AND%20DANCE/01%20FEELIN'%20GOOD.m4a",,14287,051BB6D6BD603720,5,3838291254,2025-08-17 21:00:54,,100,,2021-01-27 12:00:00,48000,11732940,,,,,,,7,12521,1,File,2021
"LOVE, MUSIC AND DANCE",ALI feat. J‐REXXX & RUEED,Alternativa,FIGHT DUB CLUB,4:01,PRE_RAW,02 FIGHT DUB CLUB.m4a,Ali,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ali.xml,ALI,100,True,1,139,322,Se encuentra en spotify,,,2025-01-16 04:53:31,2025-10-17 06:57:31,1,1,,,5,Archivo de audio AAC,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/ALI/LOVE,%20MUSIC%20AND%20DANCE/02%20FIGHT%20DUB%20CLUB.m4a",,12079,8D6B2F80AE91C451,8,3838290654,2025-08-17 20:50:54,,100,,2021-01-13 12:00:00,48000,9780172,,,,,,,7,12527,2,File,2021
CASANOVA POSSE - EP,ALI,J-Pop,CASANOVA POSSE,4:00,PRE_RAW,01 CASANOVA POSSE.m4a,Ali,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ali.xml,ALI,100,True,1,97,323,Se encuentra en spotify,,,2025-01-16 05:36:04,2025-10-17 06:57:33,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ALI/CASANOVA%20POSSE%20-%20EP/01%20CASANOVA%20POSSE.m4a,,13242,8AA34F3952ADF91B,8,3844093421,2025-10-24 00:43:41,,100,,2025-01-09 12:00:00,48000,9835667,,,,,,,5,12565,1,File,2025
NEON - Single,ALI feat. The Crane,J-Pop,NEON,5:10,PRE_RAW,01 NEON.m4a,Ali,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ali.xml,ALI feat. The Crane,100,True,1,123,324,Se encuentra en spotify,,,2025-01-16 05:36:04,2025-10-17 06:57:31,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ALI%20feat.%20The%20Crane/NEON%20-%20Single/01%20NEON.m4a,,10679,C5DA759F0A074105,11,3847184006,2025-11-28 20:13:26,,100,,2024-12-04 12:00:00,48000,12719935,,,,,,,1,12569,1,File,2024
LOST IN PARADISE - EP,ALI feat. AKLO,Alternativa,LOST IN PARADISE (Jujutsu Kaisen Ending Theme Song),5:29,PRE_RAW,01 LOST IN PARADISE (Jujutsu Kaisen.m4a,Ali,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ali.xml,ALI,100,True,1,122,324,Se encuentra en spotify,,,2025-01-16 05:36:04,2025-10-17 06:57:33,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ALI/LOST%20IN%20PARADISE%20-%20EP/01%20LOST%20IN%20PARADISE%20(Jujutsu%20Kaisen.m4a,,6847,25A8EEF67DF8F2D6,8,3845457485,2025-11-08 20:38:05,,100,,2020-10-10 12:00:00,48000,13463805,,,,,,,4,12581,1,File,2020
Wild Side - EP,ALI,Hip-Hop-Rap,Wild Side,2:38,PRE_RAW,01 Wild Side.m4a,Ali,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ali.xml,ALI,100,True,1,134,330,Se encuentra en spotify,,ALI,2025-01-16 05:36:04,2025-10-17 06:57:33,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ALI/Wild%20Side%20-%20EP/01%20Wild%20Side.m4a,,7788,7266BB3079781945,4,3826906544,2025-04-08 02:35:44,,100,,2019-11-27 12:00:00,48000,6596109,,,,,,,4,12583,1,File,2019
LOST IN PARADISE - EP,ALI feat. J-REXXX,Alternativa,DESPERADO,5:39,PRE_RAW,03 DESPERADO.m4a,Ali,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ali.xml,ALI,100,True,1,46,316,Se encuentra en spotify,,,2025-01-16 05:36:04,2025-10-17 06:57:32,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ALI/LOST%20IN%20PARADISE%20-%20EP/03%20DESPERADO.m4a,,7622,4230F4BA5A41D9DE,4,3838325144,2025-08-18 06:25:44,,100,,2020-11-25 12:00:00,48000,13529725,,,,,,,4,12589,3,File,2020
BETTER DAYS - Single,ALI feat. Dos Monos,Alternativa,BETTER DAYS,5:03,PRE_RAW,01 BETTER DAYS.m4a,Ali,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ali.xml,ALI feat. Dos Monos,100,True,1,108,323,Se encuentra en spotify,,,2025-01-19 21:59:55,2025-10-17 06:57:32,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ALI%20feat.%20Dos%20Monos/BETTER%20DAYS%20-%20Single/01%20BETTER%20DAYS.m4a,,4482,BCEBB9D9B63EA56F,10,3845653955,2025-11-11 03:12:35,,100,,2020-10-07 12:00:00,48000,12348007,,,,,,,1,14743,1,File,2020
NEVER SAY GOODBYE - EP,ALI feat. Mummy-D,Alternativa,NEVER SAY GOODBYE,4:50,PRE_RAW,01 NEVER SAY GOODBYE.m4a,Ali,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ali.xml,ALI,100,True,1,102,321,Se encuentra en spotify,,Leo Stillman & 宮田レフティリョウ,2025-01-19 21:59:55,2025-10-17 06:57:31,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ALI/NEVER%20SAY%20GOODBYE%20-%20EP/01%20NEVER%20SAY%20GOODBYE.m4a,,9913,61AD40C96463E5E8,7,3838292182,2025-08-17 21:16:22,,100,,2022-10-03 12:00:00,48000,11926331,,,,,,,4,14753,1,File,2022
Temptations - Single,ALI,Alternativa,Temptations,2:49,PRE_RAW,01 Temptations.m4a,Ali,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ali.xml,ALI,100,True,1,109,322,Se encuentra en spotify,,ALI,2025-01-19 21:59:55,2025-10-17 06:57:33,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ALI/Temptations%20-%20Single/01%20Temptations.m4a,,9847,BDB9C305674CCFED,2,3838323617,2025-08-18 06:00:17,,100,,2019-08-28 12:00:00,48000,6879766,,,,,,,1,14769,1,File,2019
Tokyo Pharaoh - Single,ALI,Alternativa,Tokyo Pharaoh,3:33,PRE_RAW,01 Tokyo Pharaoh.m4a,Ali,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ali.xml,ALI,100,True,1,121,323,Se encuentra en spotify,,,2025-01-19 21:59:55,2025-10-17 06:57:33,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ALI/Tokyo%20Pharaoh%20-%20Single/01%20Tokyo%20Pharaoh.m4a,,3964,68033DF27C9F9815,6,3844083889,2025-10-23 22:04:49,,100,,2019-09-24 12:00:00,48000,8696623,,,,,,,1,14771,1,File,2019
Vim - Single,ALI,R&B-Soul,Vim,5:14,PRE_RAW,01 Vim.m4a,Ali,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ali.xml,ALI,100,True,1,112,324,Se encuentra en spotify,,ALI,2025-01-19 21:59:55,2025-10-17 06:57:33,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ALI/Vim%20-%20Single/01%20Vim.m4a,,7971,95BE64812E5E5F77,7,3839335339,2025-08-29 23:02:19,,100,,2019-03-15 12:00:00,48000,12854853,,,,,,,1,14775,1,File,2019
INGLOURIOUS EASTERN COWBOY - EP,ALI feat. 木村昴,Alternativa,Whole Lotta Love,4:06,PRE_RAW,02 Whole Lotta Love.m4a,Ali,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ali.xml,ALI,100,True,1,112,322,Se encuentra en spotify,,,2025-01-19 21:59:55,2025-10-17 06:57:30,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ALI/INGLOURIOUS%20EASTERN%20COWBOY%20-%20EP/02%20Whole%20Lotta%20Love.m4a,,10567,7729F1A9C75FDB77,6,3844434797,2025-10-28 00:33:17,,100,,2022-02-23 12:00:00,48000,10170421,1,2025-02-23 23:08:42,,,,,4,14791,2,File,2022
LOVE IS KILLING ME - Single,ALI feat. eill,J-Pop,LOVE IS KILLING ME,3:29,PRE_RAW,01 LOVE IS KILLING ME.m4a,Ali,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ali.xml,ALI feat. eill,100,True,1,128,323,Se encuentra en spotify,,,2025-02-22 21:02:47,2025-10-17 06:57:32,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ALI%20feat.%20eill/LOVE%20IS%20KILLING%20ME%20-%20Single/01%20LOVE%20IS%20KILLING%20ME.m4a,,6830,32500A1852A93E12,9,3838325398,2025-08-18 06:29:58,,100,,2025-02-19 12:00:00,48000,8561000,1,2025-02-24 01:57:31,,,,,2,19309,1,File,2025
