Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
AG! Calling,ATARASHII GAKKO!,J-Pop,Fly High,3:03,PRE_RAW,01 Fly High.mp3,Atarashii Gakko!,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Atarashii Gakko!.xml,ATARASHII GAKKO!,100,True,1,138,256,Se encuentra en spotify,,"ATARASHII GAKKO!, Yonkey & Yoshio Tamamura",2024-09-26 20:47:52,2025-10-17 06:57:19,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/AG!%20Calling/01%20Fly%20High.mp3,,6611,920E9601BF37200D,3,3845281333,2025-11-06 19:42:13,,100,,,44100,5988673,,,,,,,11,4817,1,File,2014
AG! Calling,ATARASHII GAKKO!,J-Pop,Omakase,2:46,PRE_RAW,03 Omakase.mp3,Atarashii Gakko!,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Atarashii Gakko!.xml,ATARASHII GAKKO!,100,True,1,118,256,Se encuentra en spotify,,"ATARASHII GAKKO!, Yonkey & Yoshio Tamamura",2024-09-26 20:47:52,2025-10-17 06:57:19,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/AG!%20Calling/03%20Omakase.mp3,,5127,733590119FF7A9CD,2,3847100900,2025-11-27 21:08:20,,100,,,44100,5436966,,,,,,,11,4821,3,File,2014
AG! Calling,ATARASHII GAKKO!,J-Pop,Maji Yoroshiku,2:13,PRE_RAW,04 Maji Yoroshiku.mp3,Atarashii Gakko!,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Atarashii Gakko!.xml,ATARASHII GAKKO!,100,True,1,78,256,Se encuentra en spotify,,"ATARASHII GAKKO!, Angus Leslie, Jessie Lauryn, Joshua Tavares, Miguel Olivera, Robert Douglas-Sola, Samuel Cox, Yonkey & Yoshio Tamamura",2024-09-26 20:47:52,2025-10-17 06:57:19,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/AG!%20Calling/04%20Maji%20Yoroshiku.mp3,,7928,99E472476C42904A,2,3838962273,2025-08-25 15:24:33,,100,,,44100,4383715,,,,,,,11,4823,4,File,2014
AG! Calling,ATARASHII GAKKO!,J-Pop,Essa Hoisa,2:55,PRE_RAW,05 Essa Hoisa.mp3,Atarashii Gakko!,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Atarashii Gakko!.xml,ATARASHII GAKKO!,100,True,1,80,256,Se encuentra en spotify,,,2024-09-26 20:47:52,2025-10-17 06:57:19,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/AG!%20Calling/05%20Essa%20Hoisa.mp3,,6395,277EF839CA79190D,4,3842461048,2025-10-05 03:17:28,,100,,,44100,5728704,,,,,,,11,4825,5,File,2014
AG! Calling,ATARASHII GAKKO! feat. MILLI,J-Pop,Drama,2:39,PRE_RAW,06 Drama.mp3,Atarashii Gakko!,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Atarashii Gakko!.xml,ATARASHII GAKKO!,100,True,1,82,256,Se encuentra en spotify,,"ATARASHII GAKKO!, Danupha Kanateerakul, Christina Galligan, Leelee, Louis Bartolini & Stephanie Poetri",2024-09-26 20:47:52,2025-10-17 06:57:15,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/AG!%20Calling/06%20Drama.mp3,,7858,BA25D9215F6624FF,5,3843120584,2025-10-12 18:29:44,,100,,,44100,5223818,,,,,,,11,4827,6,File,2014
AG! Calling,ATARASHII GAKKO!,J-Pop,Superhuman,3:16,PRE_RAW,07 Superhuman.mp3,Atarashii Gakko!,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Atarashii Gakko!.xml,ATARASHII GAKKO!,100,True,1,178,256,Se encuentra en spotify,,,2024-09-26 20:47:53,2025-10-17 06:57:18,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/AG!%20Calling/07%20Superhuman.mp3,,8811,8ED796CEAF8758E2,9,3847092783,2025-11-27 18:53:03,,100,,,44100,6414157,,,,,,,11,4829,7,File,2014
AG! Calling,ATARASHII GAKKO!,J-Pop,Forever Sisters,3:55,PRE_RAW,08 Forever Sisters.mp3,Atarashii Gakko!,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Atarashii Gakko!.xml,ATARASHII GAKKO!,100,True,1,130,256,Se encuentra en spotify,,,2024-09-26 20:47:53,2025-10-17 06:57:18,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/AG!%20Calling/08%20Forever%20Sisters.mp3,,5916,13981551620390F8,6,3846411773,2025-11-19 21:42:53,,100,,,44100,7667204,,,,,,,11,4831,8,File,2014
AG! Calling,ATARASHII GAKKO!,J-Pop,Arigato,2:52,PRE_RAW,09 Arigato.mp3,Atarashii Gakko!,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Atarashii Gakko!.xml,ATARASHII GAKKO!,100,True,1,137,256,Se encuentra en spotify,,"ATARASHII GAKKO!, Yonkey & Yoshio Tamamura",2024-09-26 20:47:53,2025-10-17 06:57:18,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/AG!%20Calling/09%20Arigato.mp3,,7186,41237F89B99EBBEC,4,3835794394,2025-07-19 23:26:34,,100,,,44100,5647617,1,2025-07-19 23:23:33,,,,,11,4833,9,File,2014
AG! Calling,ATARASHII GAKKO!,J-Pop,Hero Show,3:06,PRE_RAW,10 Hero Show.mp3,Atarashii Gakko!,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Atarashii Gakko!.xml,ATARASHII GAKKO!,100,True,1,136,256,Se encuentra en spotify,,,2024-09-26 20:47:53,2025-10-17 06:57:18,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/AG!%20Calling/10%20Hero%20Show.mp3,,7216,82605D004C92A942,6,3846776394,2025-11-24 02:59:54,,100,,,44100,6076446,,,,,,,11,4835,10,File,2014
Free Your Mind (Spanish Version) - Single,ATARASHII GAKKO!,J-Pop,Free Your Mind (Spanish Version),2:57,PRE_RAW,01 Free Your Mind (Spanish Version).mp3,Atarashii Gakko!,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Atarashii Gakko!.xml,ATARASHII GAKKO!,100,True,,115,256,Se encuentra en spotify,,"ATARASHII GAKKO!, Mark Ramos Nishita & Denise Janelle Gutierrez Mendoza",2024-09-26 20:47:53,2025-10-17 06:57:18,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/Free%20Your%20Mind%20(Spanish%20Version)%20-%20Singl/01%20Free%20Your%20Mind%20(Spanish%20Version).mp3,,5336,092820A641EDC2D6,4,3841211379,2025-09-20 16:09:39,,100,,,44100,5693170,1,2025-08-24 01:08:56,,,,,1,4839,1,File,2022
