Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
CONCRETE JUNGLE [THE OST],Bad Omens,Metal,EVEN,2:58,PRE_RAW,06 EVEN.mp3,Bad Omens,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Bad Omens.xml,Bad Omens,100,True,1,96,256,Se encuentra en spotify,,Noah Sebastian,2024-09-26 20:48:28,2025-10-17 06:57:07,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Bad%20Omens/CONCRETE%20JUNGLE%20%5BTHE%20OST%5D/06%20EVEN.mp3,,1274,3B2A3CF6C316BC04,6,3846062169,2025-11-15 20:36:09,,100,,,44100,5785729,,,,,,,26,5159,6,File,2024
Finding God Before God Finds Me (Deluxe),Bad Omens,Metal,Kingdom Of Cards,4:21,PRE_RAW,01 Kingdom Of Cards.mp3,Bad Omens,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Bad Omens.xml,Bad Omens,100,True,1,105,256,Se encuentra en spotify,,Bad Omens,2024-09-26 20:48:30,2025-10-17 06:57:05,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Bad%20Omens/Finding%20God%20Before%20God%20Finds%20Me%20(Deluxe)/01%20Kingdom%20Of%20Cards.mp3,,6342,28B7659B2E455299,11,3844361509,2025-10-27 04:11:49,,100,,,44100,8437013,,,,,,,13,5183,1,File,2020
Finding God Before God Finds Me (Deluxe),Bad Omens,Metal,Careful What You Wish For,4:32,PRE_RAW,03 Careful What You Wish For.mp3,Bad Omens,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Bad Omens.xml,Bad Omens,100,True,1,73,256,Se encuentra en spotify,,Joakim Karlsson & Noah Sebastian,2024-09-26 20:48:31,2025-10-17 06:57:05,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Bad%20Omens/Finding%20God%20Before%20God%20Finds%20Me%20(Deluxe)/03%20Careful%20What%20You%20Wish%20For.mp3,,11066,A2BD7F424487B3F6,5,3847270511,2025-11-29 20:15:11,,100,,,44100,8795631,,,,,,,13,5187,3,File,2020
Finding God Before God Finds Me (Deluxe),Bad Omens,Metal,Said & Done,3:24,PRE_RAW,08 Said & Done.mp3,Bad Omens,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Bad Omens.xml,Bad Omens,100,True,1,135,256,Se encuentra en spotify,,Bad Omens,2024-09-26 20:48:31,2025-10-17 06:57:05,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Bad%20Omens/Finding%20God%20Before%20God%20Finds%20Me%20(Deluxe)/08%20Said%20&%20Done.mp3,,11081,97154F59B70CD0EB,3,3846768060,2025-11-24 00:41:00,,100,,,44100,6621393,,,,,,,13,5197,8,File,2020
Finding God Before God Finds Me (Deluxe),Bad Omens,Metal,Burning Out,4:25,PRE_RAW,09 Burning Out.mp3,Bad Omens,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Bad Omens.xml,Bad Omens,100,True,1,168,256,Se encuentra en spotify,,Bad Omens,2024-09-26 20:48:32,2025-10-17 06:57:05,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Bad%20Omens/Finding%20God%20Before%20God%20Finds%20Me%20(Deluxe)/09%20Burning%20Out.mp3,,11418,239CE9E42BE57D11,3,3845724822,2025-11-11 22:53:42,,100,,,44100,8559623,,,,,,,13,5199,9,File,2020
Finding God Before God Finds Me (Deluxe),Bad Omens,Metal,Never Know,3:33,PRE_RAW,11 Never Know.mp3,Bad Omens,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Bad Omens.xml,Bad Omens,100,True,1,152,256,Se encuentra en spotify,,Bad Omens,2024-09-26 20:48:32,2025-10-17 06:57:05,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Bad%20Omens/Finding%20God%20Before%20God%20Finds%20Me%20(Deluxe)/11%20Never%20Know.mp3,,10136,0802CD29CA8B899E,4,3845731716,2025-11-12 00:48:36,,100,,,44100,6908949,,,,,,,13,5203,11,File,2020
Finding God Before God Finds Me (Deluxe),Bad Omens,Metal,Come Undone,4:21,PRE_RAW,13 Come Undone.mp3,Bad Omens,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Bad Omens.xml,Bad Omens,100,True,1,87,256,Se encuentra en spotify,,Bad Omens,2024-09-26 20:48:33,2025-10-17 06:57:04,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Bad%20Omens/Finding%20God%20Before%20God%20Finds%20Me%20(Deluxe)/13%20Come%20Undone.mp3,,6922,A676A5CBD7B9FDB7,3,3845717687,2025-11-11 20:54:47,,100,,,44100,8430321,,,,,,,13,5207,13,File,2020
THE DEATH OF PEACE OF MIND,Bad Omens,Metal,CONCRETE JUNGLE,3:40,PRE_RAW,01 CONCRETE JUNGLE.mp3,Bad Omens,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Bad Omens.xml,Bad Omens,100,True,1,92,256,Se encuentra en spotify,,Joakim Karlsson & Noah Sebastian,2024-09-26 20:48:34,2025-10-17 06:57:07,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Bad%20Omens/THE%20DEATH%20OF%20PEACE%20OF%20MIND/01%20CONCRETE%20JUNGLE.mp3,,5660,9D8A82096D817FA3,5,3842209236,2025-10-02 05:20:36,,100,,,44100,7160715,,,DEATH OF PEACE OF MIND,,Bad Omens,CONCRETE JUNGLE,15,5223,1,File,2022
THE DEATH OF PEACE OF MIND,Bad Omens,Metal,Nowhere To Go,4:06,PRE_RAW,02 Nowhere To Go.mp3,Bad Omens,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Bad Omens.xml,Bad Omens,100,True,1,87,256,Se encuentra en spotify,,Joakim Karlsson & Noah Sebastian,2024-09-26 20:48:34,2025-10-17 06:57:07,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Bad%20Omens/THE%20DEATH%20OF%20PEACE%20OF%20MIND/02%20Nowhere%20To%20Go.mp3,,9795,D30BD5B1565D73FF,6,3847099281,2025-11-27 20:41:21,,100,,,44100,8001391,,,DEATH OF PEACE OF MIND,,,,15,5225,2,File,2022
THE DEATH OF PEACE OF MIND,Bad Omens,Metal,Take Me First,3:19,PRE_RAW,03 Take Me First.mp3,Bad Omens,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Bad Omens.xml,Bad Omens,100,True,1,82,256,Se encuentra en spotify,,"Erik Ron, Joakim Karlsson & Noah Sebastian",2024-09-26 20:48:35,2025-10-17 06:57:07,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Bad%20Omens/THE%20DEATH%20OF%20PEACE%20OF%20MIND/03%20Take%20Me%20First.mp3,,8289,BFB9544AD795A73F,5,3837850288,2025-08-12 18:31:28,,100,,,44100,6494387,1,2025-10-03 01:11:12,DEATH OF PEACE OF MIND,,,,15,5227,3,File,2022
