Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Dulce Beat,Belanova,Músicas del mundo,Niño,3:31,PRE_RAW,01 Niño.mp3,Belanova,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Belanova.xml,Belanova,100,True,1,75,256,Se encuentra en spotify,,"Cachorro López/Denisse Guerrero/Huerta, Edgar A./Ricardo Arreola",2024-09-26 20:48:41,2025-10-17 06:57:02,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Belanova/Dulce%20Beat/01%20Ni%C3%B1o.mp3,,4784,1FF62AE5101F15F5,4,3837338302,2025-08-06 20:18:22,,100,,,44100,6848356,,,,,,,11,5305,1,File,2005
Dulce Beat,Belanova,Músicas del mundo,Rosa Pastel,3:06,PRE_RAW,02 Rosa Pastel.mp3,Belanova,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Belanova.xml,Belanova,100,True,1,128,256,Se encuentra en spotify,,"Cachorro López/Denisse Guerrero/Huerta, Edgar A./Ricardo Arreola",2024-09-26 20:48:41,2025-10-17 06:57:01,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Belanova/Dulce%20Beat/02%20Rosa%20Pastel.mp3,,2770,501A3BC984FB032D,3,3831996531,2025-06-06 00:28:51,,100,,,44100,6036679,,,,,,,11,5307,2,File,2005
Dulce Beat,Belanova,Músicas del mundo,Miedo,3:36,PRE_RAW,05 Miedo.mp3,Belanova,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Belanova.xml,Belanova,100,True,1,150,256,Se encuentra en spotify,,"Cachorro López/Denisse Guerrero/Huerta, Edgar A./Ricardo Arreola",2024-09-26 20:48:41,2025-10-17 06:57:01,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Belanova/Dulce%20Beat/05%20Miedo.mp3,,4494,E76F911569BD0411,3,3846773524,2025-11-24 02:12:04,,100,,,44100,7000487,,,,,,,11,5313,5,File,2005
Dulce Beat,Belanova,Músicas del mundo,Por Ti,3:36,PRE_RAW,07 Por Ti.mp3,Belanova,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Belanova.xml,Belanova,100,True,1,138,256,Se encuentra en spotify,,"Cachorro López/Denisse Guerrero/Huerta, Edgar A./Ricardo Arreola",2024-09-26 20:48:42,2025-10-17 06:57:01,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Belanova/Dulce%20Beat/07%20Por%20Ti.mp3,,4228,2035DA9345110AA1,3,3844091255,2025-10-24 00:07:35,,100,,,44100,7009683,,,,,,,11,5317,7,File,2005
Dulce Beat,Belanova,Músicas del mundo,Me Pregunto,3:07,PRE_RAW,09 Me Pregunto.mp3,Belanova,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Belanova.xml,Belanova,100,True,1,125,256,Se encuentra en spotify,,"Cachorro López/Denisse Guerrero/Huerta, Edgar A./Ricardo Arreola",2024-09-26 20:48:42,2025-10-17 06:57:01,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Belanova/Dulce%20Beat/09%20Me%20Pregunto.mp3,,2988,592DC192913E64DF,2,3839946731,2025-09-06 00:52:11,,100,,,44100,6089342,,,,,,,11,5321,9,File,2005
Fantasía Pop,Belanova,Pop en español,Baila Mi Corazón,3:35,PRE_RAW,01 Baila Mi Corazón.mp3,Belanova,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Belanova.xml,Belanova,100,True,1,132,256,Se encuentra en spotify,,"Denisse Guerrero, Edgar Huerta & Ricardo Arreola",2024-09-26 20:48:43,2025-10-17 06:57:00,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Belanova/Fantas%C3%ADa%20Pop/01%20Baila%20Mi%20Coraz%C3%B3n.mp3,,6012,D19343DF9DFAE6AC,7,3845978314,2025-11-14 21:18:34,,100,,,44100,7005970,,,,,,,11,5327,1,File,2007
Fantasía Pop,Belanova,Pop en español,"One, Two, Three, GO!",2:44,PRE_RAW,"02 One, Two, Three, GO!.mp3",Belanova,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Belanova.xml,Belanova,100,True,1,75,256,Se encuentra en spotify,,"Denisse Guerrero, Edgar Huerta & Ricardo Arreola",2024-09-26 20:48:43,2025-10-17 06:57:00,1,1,,,5,Archivo de audio MPEG,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/Belanova/Fantas%C3%ADa%20Pop/02%20One,%20Two,%20Three,%20GO!.mp3",,11998,F6FFCE92527D765A,5,3845980968,2025-11-14 22:02:48,,100,,,44100,5368391,,,,,,,11,5329,2,File,2007
Fantasía Pop,Belanova,Pop en español,Paso el Tiempo,3:27,PRE_RAW,05 Paso el Tiempo.mp3,Belanova,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Belanova.xml,Belanova,100,True,1,139,256,Se encuentra en spotify,,C. López/D. Guerrero/E. Huerta/R. Arreola,2024-09-26 20:48:43,2025-10-17 06:57:00,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Belanova/Fantas%C3%ADa%20Pop/05%20Paso%20el%20Tiempo.mp3,,8672,E256D576CB575AC3,2,3842285762,2025-10-03 02:36:02,,100,,,44100,6730932,,,,,,,11,5335,5,File,2007
Fantasía Pop,Belanova,Pop en español,Cada Que...,3:43,PRE_RAW,07 Cada Que....mp3,Belanova,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Belanova.xml,Belanova,100,True,1,135,256,Se encuentra en spotify,,D. Guerrero/E. Huerta/R. Arreola,2024-09-26 20:48:44,2025-10-17 06:57:00,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Belanova/Fantas%C3%ADa%20Pop/07%20Cada%20Que....mp3,,8557,943D42135D3B4F97,3,3837438439,2025-08-08 00:07:19,,100,,,44100,7260901,1,2025-06-17 05:21:57,,,,,11,5339,7,File,2007
Fantasía Pop,Belanova,Pop en español,Bye Bye,2:24,PRE_RAW,09 Bye Bye.mp3,Belanova,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Belanova.xml,Belanova,100,True,1,84,256,Se encuentra en spotify,,C. López/D. Guerrero/E. Huerta/R. Arreola,2024-09-26 20:48:44,2025-10-17 06:56:59,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Belanova/Fantas%C3%ADa%20Pop/09%20Bye%20Bye.mp3,,11190,D4A9730F143ED20F,2,3837339770,2025-08-06 20:42:50,,100,,,44100,4713854,,,,,,,11,5343,9,File,2007
