Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Artificial Vampire - Single,Cö shu Nie,J-Rock,Artificial Vampire,3:05,PRE_RAW,01 Artificial Vampire.mp3,Cö shu Nie,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Cö shu Nie.xml,Cö shu Nie,100,True,1,120,256,Se encuentra en spotify,,,2024-09-26 20:49:06,2025-10-17 06:56:41,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/C%C3%B6%20shu%20Nie/Artificial%20Vampire%20-%20Single/01%20Artificial%20Vampire.mp3,,5717,9E83E271E107B88B,5,3847261153,2025-11-29 17:39:13,,100,,,44100,8655123,,,,,,,1,5597,1,File,2024
asphyxia - Single,Cö shu Nie,J-Rock,asphyxia,2:55,PRE_RAW,01 asphyxia.mp3,Cö shu Nie,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Cö shu Nie.xml,Cö shu Nie,100,True,,78,256,Se encuentra en spotify,,Miku Nakamura,2024-09-26 20:49:06,2025-10-17 06:56:41,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/C%C3%B6%20shu%20Nie/asphyxia%20-%20Single/01%20asphyxia.mp3,,14791,6D89799F46161646,3,3826296912,2025-04-01 02:15:12,,100,,,44100,5631267,,,,,,,3,5601,1,File,2018
asphyxia - Single,Cö shu Nie,J-Rock,最終列車,2:48,PRE_RAW,02 最終列車.mp3,Cö shu Nie,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Cö shu Nie.xml,Cö shu Nie,100,True,1,132,256,Se encuentra en spotify,,Miku Nakamura,2024-09-26 20:49:06,2025-10-17 06:56:40,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/C%C3%B6%20shu%20Nie/asphyxia%20-%20Single/02%20%E6%9C%80%E7%B5%82%E5%88%97%E8%BB%8A.mp3,,12739,2477D94E41965000,5,3844360265,2025-10-27 03:51:05,,100,,,44100,5442639,1,2025-09-23 19:13:32,asphyxia - Single,,Cö shu Nie,最終列車,3,5603,2,File,2018
asphyxia - Single,Cö shu Nie,J-Rock,PERSON.,3:55,PRE_RAW,03 PERSON..mp3,Cö shu Nie,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Cö shu Nie.xml,Cö shu Nie,100,True,1,123,256,Se encuentra en spotify,,Miku Nakamura,2024-09-26 20:49:07,2025-10-17 06:56:40,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/C%C3%B6%20shu%20Nie/asphyxia%20-%20Single/03%20PERSON..mp3,,10014,9A6ACC72F0E2399F,2,3825260383,2025-03-20 02:19:43,,100,,,44100,7600140,,,asphyxia - Single,,Cö shu Nie,PERSON.,3,5605,3,File,2018
Aurora - EP,Cö shu Nie,J-Rock,character,2:28,PRE_RAW,01 character.mp3,Cö shu Nie,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Cö shu Nie.xml,Cö shu Nie,100,True,1,175,256,Se encuentra en spotify,,Miku Nakamura,2024-09-26 20:49:07,2025-10-17 06:56:40,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/C%C3%B6%20shu%20Nie/Aurora%20-%20EP/01%20character.mp3,,13842,8B268AFFED150122,4,3841918616,2025-09-28 20:36:56,,100,,,44100,4850014,,,Aurora - EP,,Cö shu Nie,character,5,5607,1,File,2018
Aurora - EP,Cö shu Nie,J-Rock,葡萄,2:36,PRE_RAW,02 葡萄.mp3,Cö shu Nie,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Cö shu Nie.xml,Cö shu Nie,100,True,1,135,256,Se encuentra en spotify,,Miku Nakamura,2024-09-26 20:49:07,2025-10-17 06:56:40,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/C%C3%B6%20shu%20Nie/Aurora%20-%20EP/02%20%E8%91%A1%E8%90%84.mp3,,9047,83935EDF4F95739B,5,3842294093,2025-10-03 04:54:53,,100,,,44100,5115835,,,Aurora - EP,,Cö shu Nie,葡萄,5,5609,2,File,2018
Aurora - EP,Cö shu Nie,J-Rock,defection,3:47,PRE_RAW,03 defection.mp3,Cö shu Nie,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Cö shu Nie.xml,Cö shu Nie,100,True,1,58,256,Se encuentra en spotify,,Miku Nakamura,2024-09-26 20:49:07,2025-10-17 06:56:39,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/C%C3%B6%20shu%20Nie/Aurora%20-%20EP/03%20defection.mp3,,5471,D5EFFC0DF283ADC4,7,3845727608,2025-11-11 23:40:08,,100,,,44100,7392042,,,Aurora - EP,,Cö shu Nie,defection,5,5611,3,File,2018
Aurora - EP,Cö shu Nie,J-Rock,asura,1:34,PRE_RAW,04 asura.mp3,Cö shu Nie,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Cö shu Nie.xml,Cö shu Nie,100,True,1,143,256,Se encuentra en spotify,,Miku Nakamura,2024-09-26 20:49:07,2025-10-17 06:56:39,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/C%C3%B6%20shu%20Nie/Aurora%20-%20EP/04%20asura.mp3,,11535,C1073C51A284F748,8,3847111206,2025-11-28 00:00:06,,100,,,44100,3128019,,,Aurora - EP,,Cö shu Nie,asura,5,5613,4,File,2018
Burn The Fire - Single,Cö shu Nie,J-Rock,Burn The Fire,3:55,PRE_RAW,01 Burn The Fire.mp3,Cö shu Nie,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Cö shu Nie.xml,Cö shu Nie,100,True,1,79,256,Se encuentra en spotify,,Miku Nakamura,2024-09-26 20:49:07,2025-10-17 06:56:39,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/C%C3%B6%20shu%20Nie/Burn%20The%20Fire%20-%20Single/01%20Burn%20The%20Fire.mp3,,6962,531D3455854E2AFD,3,3837352775,2025-08-07 00:19:35,,100,,,44100,7635449,,,,,Cö shu Nie,,1,5617,1,File,2023
Flos Ex Machina,Cö shu Nie,J-Rock,病は花から,2:54,PRE_RAW,05 病は花から.mp3,Cö shu Nie,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Cö shu Nie.xml,Cö shu Nie,100,True,1,130,256,Se encuentra en spotify,,Miku Nakamura,2024-09-26 20:49:08,2025-10-17 06:56:39,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/C%C3%B6%20shu%20Nie/Flos%20Ex%20Machina/05%20%E7%97%85%E3%81%AF%E8%8A%B1%E3%81%8B%E3%82%89.mp3,,3848,1F0714B241B3272C,1,3823967827,2025-03-05 03:17:07,,100,,,44100,5683054,,,Flos Ex Machina,,Cö shu Nie,病は花から,13,5627,5,File,2022
