Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Dance The Night (From Barbie The Album) - Single,Dua Lipa,Pop,Dance The Night (From Barbie The Album),2:56,PRE_RAW,01 Dance The Night (From Barbie The.mp3,Dua Lipa,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Dua Lipa.xml,Dua Lipa,100,True,1,110,256,Se encuentra en spotify,,"Andrew Wyatt, Caroline Ailin, Dua Lipa & Mark Ronson",2024-09-26 20:49:43,2025-10-17 06:56:18,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Dua%20Lipa/Dance%20The%20Night%20(From%20Barbie%20The%20Album)/01%20Dance%20The%20Night%20(From%20Barbie%20The.mp3,,5817,29B50CDE0E641CA6,3,3831057497,2025-05-26 03:38:17,,100,,,44100,5712975,,,,,,,1,5997,1,File,2023
Dua Lipa (Deluxe),Dua Lipa,Pop,Hotter Than Hell,3:08,PRE_RAW,03 Hotter Than Hell.mp3,Dua Lipa,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Dua Lipa.xml,Dua Lipa,100,True,1,110,256,Se encuentra en spotify,,"Dua Lipa, Adam Midgley, Gerard O'Connell & Tommy Baxter",2024-09-26 20:49:43,2025-10-17 06:56:17,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Dua%20Lipa/Dua%20Lipa%20(Deluxe)/03%20Hotter%20Than%20Hell.mp3,,7606,19BCBEA1103AF9E5,2,3845975112,2025-11-14 20:25:12,,100,,,44100,6109850,,,,,,,17,6003,3,File,2017
Dua Lipa (Deluxe),Dua Lipa,Pop,Garden,3:48,PRE_RAW,07 Garden.mp3,Dua Lipa,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Dua Lipa.xml,Dua Lipa,100,True,1,76,256,Se encuentra en spotify,,"Dua Lipa, Greg Wells & Sean Douglas",2024-09-26 20:49:44,2025-10-17 06:56:17,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Dua%20Lipa/Dua%20Lipa%20(Deluxe)/07%20Garden.mp3,,7604,7AF1498E8474B521,4,3843633514,2025-10-18 16:58:34,,100,,,44100,7388795,,,,,,,17,6011,7,File,2017
Dua Lipa (Deluxe),Dua Lipa,Pop,No Goodbyes,3:36,PRE_RAW,08 No Goodbyes.mp3,Dua Lipa,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Dua Lipa.xml,Dua Lipa,100,True,1,109,256,Se encuentra en spotify,,"Dua Lipa, GRADES, Ilsey Juber & Lindy Robbins",2024-09-26 20:49:44,2025-10-17 06:56:17,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Dua%20Lipa/Dua%20Lipa%20(Deluxe)/08%20No%20Goodbyes.mp3,,5187,9B6D57647BAD1809,1,3822553200,2025-02-16 18:20:00,,100,,,44100,7009293,,,,,,,17,6013,8,File,2017
Dua Lipa (Deluxe),Dua Lipa,Pop,Thinking 'Bout You,2:52,PRE_RAW,09 Thinking 'Bout You.mp3,Dua Lipa,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Dua Lipa.xml,Dua Lipa,100,True,1,91,256,Se encuentra en spotify,,Dua Lipa & Adam Argyle,2024-09-26 20:49:44,2025-10-17 06:56:17,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Dua%20Lipa/Dua%20Lipa%20(Deluxe)/09%20Thinking%20'Bout%20You.mp3,,4202,76B3DF6770F9B508,5,3847117645,2025-11-28 01:47:25,,100,,,44100,5597434,,,,,,,17,6015,9,File,2017
Dua Lipa (Deluxe),Dua Lipa,Pop,New Rules,3:29,PRE_RAW,10 New Rules.mp3,Dua Lipa,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Dua Lipa.xml,Dua Lipa,100,True,1,116,256,Se encuentra en spotify,,"Caroline Ailin, Emily Warren & Ian Kirkpatrick",2024-09-26 20:49:44,2025-10-17 06:56:17,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Dua%20Lipa/Dua%20Lipa%20(Deluxe)/10%20New%20Rules.mp3,,3483,D58CD5FE24470E4E,3,3847196245,2025-11-28 23:37:25,,100,,,44100,6793625,,,,,,,17,6017,10,File,2017
Dua Lipa (Deluxe),Dua Lipa,Pop,Last Dance,3:49,PRE_RAW,17 Last Dance.mp3,Dua Lipa,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Dua Lipa.xml,Dua Lipa,100,True,1,136,256,Se encuentra en spotify,,"Dua Lipa, Stephen ""Koz"" Kozmeniuk & Talay Riley",2024-09-26 20:49:45,2025-10-17 06:56:17,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Dua%20Lipa/Dua%20Lipa%20(Deluxe)/17%20Last%20Dance.mp3,,5062,4334C4DB8B6D4936,4,3837348639,2025-08-06 23:10:39,,100,,,44100,7422237,,,,,,,17,6031,17,File,2017
Future Nostalgia,Dua Lipa,Pop,Cool,3:29,PRE_RAW,03 Cool.mp3,Dua Lipa,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Dua Lipa.xml,Dua Lipa,100,True,1,91,256,Se encuentra en spotify,,"Ben Kohn, Camille Purcell, Dua Lipa, Peter Kelleher, Shakka Philip, Tom Barnes, Tove Lo",2024-09-26 20:49:46,2025-10-17 06:56:17,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Dua%20Lipa/Future%20Nostalgia/03%20Cool.mp3,,6394,2170737144DFF05E,7,3825864195,2025-03-27 02:03:15,,100,,,44100,6781490,1,2025-02-15 21:35:25,,,,,13,6037,3,File,2020
Future Nostalgia,Dua Lipa,Pop,Physical,3:13,PRE_RAW,04 Physical.mp3,Dua Lipa,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Dua Lipa.xml,Dua Lipa,100,True,1,147,256,Se encuentra en spotify,,"Dua Lipa, Clarence Coffee Jr, Jason Evigan & Sarah Hudson",2024-09-26 20:49:46,2025-10-17 06:56:17,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Dua%20Lipa/Future%20Nostalgia/04%20Physical.mp3,,7813,32EDF911A6366D25,5,3843119578,2025-10-12 18:12:58,,100,,,44100,6277436,,,,,,,13,6039,4,File,2020
Future Nostalgia,Dua Lipa,Pop,Levitating,3:23,PRE_RAW,05 Levitating.mp3,Dua Lipa,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Dua Lipa.xml,Dua Lipa,100,True,1,103,256,Se encuentra en spotify,,"Clarence Coffee Jr., Dua Lipa, Sarah Hudson, Stephen Kozmeniuk",2024-09-26 20:49:46,2025-10-17 06:56:16,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Dua%20Lipa/Future%20Nostalgia/05%20Levitating.mp3,,9870,36492FF9B99587D3,7,3842463724,2025-10-05 04:02:04,,100,,,44100,6597422,,,,,,,13,6041,5,File,2020
