Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
XX emotion,FLiP,J-Rock,CHERRY BOMB,3:38,PRE_RAW,01 CHERRY BOMB.m4a,Flip,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Flip.xml,FLiP,100,True,1,155,323,Se encuentra en spotify,,,2025-01-20 21:33:28,2025-10-17 06:56:01,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/FLiP/XX%20emotion/01%20CHERRY%20BOMB.m4a,,9781,3E4F9B40E437F825,5,3841915279,2025-09-28 19:41:19,,100,,2012-05-16 12:00:00,48000,8938617,,,,,,,13,14819,1,File,2012
Girls- Single,FLiP,J-Rock,Girl,4:14,PRE_RAW,01 Girl.m4a,Flip,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Flip.xml,FLiP,100,True,1,124,327,Se encuentra en spotify,,,2025-01-20 21:33:28,2025-10-17 06:56:02,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/FLiP/Girls-%20Single/01%20Girl.m4a,,6399,ECC7263773F4ED56,12,3844247428,2025-10-25 19:30:28,,100,,2014-09-24 12:00:00,48000,10561438,,,,,,,3,14821,1,File,2014
未知evolution,FLiP,J-Rock,Oh Darling!,4:14,PRE_RAW,01 Oh Darling!.m4a,Flip,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Flip.xml,FLiP,100,True,1,125,324,Se encuentra en spotify,,,2025-01-20 21:33:28,2025-10-17 06:56:00,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/FLiP/%E6%9C%AA%E7%9F%A5evolution/01%20Oh%20Darling!.m4a,,11192,1F7A9DC748C0005B,4,3837251846,2025-08-05 20:17:26,,100,,2011-05-25 12:00:00,48000,10408239,,,,,,,13,14827,1,File,2011
LOVE TOXiCiTY,FLiP,J-Rock,Tarantula,3:12,PRE_RAW,01 Tarantula.m4a,Flip,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Flip.xml,FLiP,100,True,1,122,320,Se encuentra en spotify,,,2025-01-20 21:33:28,2025-10-17 06:56:02,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/FLiP/LOVE%20TOXiCiTY/01%20Tarantula.m4a,,16639,E93EB5A8A97D585C,2,3837189118,2025-08-05 02:51:58,,100,,2013-06-26 12:00:00,48000,7831213,,,,,,,11,14831,1,File,2013
mulu mole - EP,FLiP,J-Rock,カザーナ,4:14,PRE_RAW,01 カザーナ.m4a,Flip,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Flip.xml,FLiP,100,True,1,133,323,Se encuentra en spotify,,FLiP & いしわたり淳治,2025-01-20 21:33:28,2025-10-17 06:56:01,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/FLiP/mulu%20mole%20-%20EP/01%20%E3%82%AB%E3%82%B6%E3%83%BC%E3%83%8A.m4a,,13232,357C0E6DD5B810E0,5,3839257413,2025-08-29 01:23:33,,100,,2010-09-15 12:00:00,48000,10404312,,,,,,,6,14833,1,File,2010
ホシイモノハ - Single,FLiP,J-Rock,ホシイモノハ,4:06,PRE_RAW,01 ホシイモノハ.m4a,Flip,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Flip.xml,FLiP,100,True,1,114,319,Se encuentra en spotify,,FLiP,2025-01-20 21:33:28,2025-10-17 06:56:00,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/FLiP/%E3%83%9B%E3%82%B7%E3%82%A4%E3%83%A2%E3%83%8E%E3%83%8F%20-%20Single/01%20%E3%83%9B%E3%82%B7%E3%82%A4%E3%83%A2%E3%83%8E%E3%83%8F.m4a,,7786,BAD644FD224A9878,5,3835520685,2025-07-16 19:24:45,,100,,2011-12-07 12:00:00,48000,9955473,,,,,,,2,14835,1,File,2011
ワンダーランド - EP,FLiP,J-Rock,ワンダーランド,3:47,PRE_RAW,01 ワンダーランド.m4a,Flip,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Flip.xml,FLiP,100,True,1,88,320,Se encuentra en spotify,,Sachiko Tonaki,2025-01-20 21:33:28,2025-10-17 06:56:00,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/FLiP/%E3%83%AF%E3%83%B3%E3%83%80%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%20-%20EP/01%20%E3%83%AF%E3%83%B3%E3%83%80%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89.m4a,,12642,845D380C37D9E7F0,2,3834321667,2025-07-02 22:21:07,,100,,2012-02-08 12:00:00,48000,9244802,,,,,,,4,14839,1,File,2012
BIRTH,FLiP,J-Rock,Jeremy,4:29,PRE_RAW,02 Jeremy.m4a,Flip,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Flip.xml,FLiP,100,True,1,146,321,Se encuentra en spotify,,,2025-01-20 21:33:28,2025-10-17 06:56:03,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Flip/Birth/02%20Jeremy.m4a,,7986,02C79E742DCBB7F9,6,3844410745,2025-10-27 17:52:25,,100,,2015-05-06 12:00:00,48000,11019166,,,,,,,7,14843,2,File,2015
ホシイモノハ - Single,FLiP,J-Rock,ふつつか少女,3:50,PRE_RAW,02 ふつつか少女.m4a,Flip,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Flip.xml,FLiP,100,True,1,132,323,Se encuentra en spotify,,Rufus,2025-01-20 21:33:28,2025-10-17 06:56:00,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/FLiP/%E3%83%9B%E3%82%B7%E3%82%A4%E3%83%A2%E3%83%8E%E3%83%8F%20-%20Single/02%20%E3%81%B5%E3%81%A4%E3%81%A4%E3%81%8B%E5%B0%91%E5%A5%B3.m4a,,7219,E1F368A929160C5D,6,3844074926,2025-10-23 19:35:26,,100,,2011-12-07 12:00:00,48000,9467174,,,,,,,2,14845,2,File,2011
LOVE TOXiCiTY,FLiP,J-Rock,カミングアウト,3:18,PRE_RAW,02 カミングアウト.m4a,Flip,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Flip.xml,FLiP,100,True,1,168,322,Se encuentra en spotify,,FLiP,2025-01-20 21:33:28,2025-10-17 06:56:02,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/FLiP/LOVE%20TOXiCiTY/02%20%E3%82%AB%E3%83%9F%E3%83%B3%E3%82%B0%E3%82%A2%E3%82%A6%E3%83%88.m4a,,10014,3AB5B493C945DD3C,4,3845716771,2025-11-11 20:39:31,,100,,2013-06-12 12:00:00,48000,8094871,,,,,,,11,14847,2,File,2013
DEAR GIRLS - EP,FLiP,J-Rock,ライラ,3:47,PRE_RAW,02 ライラ.m4a,Flip,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Flip.xml,FLiP,100,True,1,155,320,Se encuentra en spotify,,,2025-01-20 21:33:28,2025-10-17 06:56:02,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/FLiP/DEAR%20GIRLS%20-%20EP/02%20%E3%83%A9%E3%82%A4%E3%83%A9.m4a,,10129,C824C77062141FAA,5,3846771226,2025-11-24 01:33:46,,100,,2010-02-03 12:00:00,48000,9236254,,,,,,,6,14851,2,File,2010
ワンダーランド - EP,FLiP,J-Rock,最後の晩餐,3:55,PRE_RAW,02 最後の晩餐.m4a,Flip,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Flip.xml,FLiP,100,True,1,175,319,Se encuentra en spotify,,,2025-01-20 21:33:29,2025-10-17 06:56:00,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/FLiP/%E3%83%AF%E3%83%B3%E3%83%80%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%20-%20EP/02%20%E6%9C%80%E5%BE%8C%E3%81%AE%E6%99%A9%E9%A4%90.m4a,,9899,DB86AB4208A468C1,4,3845283401,2025-11-06 20:16:41,,100,,2012-02-08 12:00:00,48000,9552276,,,,,,,4,14857,2,File,2012
Girls- Single,FLiP,J-Rock,Madonna,4:24,PRE_RAW,03 Madonna.m4a,Flip,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Flip.xml,FLiP,100,True,1,132,329,Se encuentra en spotify,,,2025-01-20 21:33:29,2025-10-17 06:56:02,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/FLiP/Girls-%20Single/03%20Madonna.m4a,,8902,1BF2B4E47AE34ACA,9,3843569425,2025-10-17 23:10:25,,100,,2014-07-30 12:00:00,48000,11021724,,,,,,,3,14863,3,File,2014
XX emotion,FLiP,J-Rock,エミモア,3:43,PRE_RAW,03 エミモア.m4a,Flip,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Flip.xml,FLiP,100,True,1,112,322,Se encuentra en spotify,,,2025-01-20 21:33:29,2025-10-17 06:56:01,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/FLiP/XX%20emotion/03%20%E3%82%A8%E3%83%9F%E3%83%A2%E3%82%A2.m4a,,9828,395FD848D3E3AF5B,4,3844184225,2025-10-25 01:57:05,,100,,2012-05-16 12:00:00,48000,9110904,,,,,,,13,14867,3,File,2012
