Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Genie classic,Genie High,J-Rock,Classic high,4:13,PRE_RAW,02 Classic high.mp3,Genie High,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Genie High.xml,Genie High,100,True,1,150,256,Se encuentra en spotify,,,2024-09-26 20:50:50,2025-10-17 06:55:54,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Genie%20High/Genie%20classic/02%20Classic%20high.mp3,,10031,36B838801802C61B,10,3846782707,2025-11-24 04:45:07,,100,,,44100,8232147,,,,,,,12,6403,2,File,2023
Genie classic,Genie High,J-Rock,GDGD,3:12,PRE_RAW,04 GDGD.mp3,Genie High,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Genie High.xml,Genie High,100,True,1,128,256,Se encuentra en spotify,,,2024-09-26 20:50:50,2025-10-17 06:55:54,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Genie%20High/Genie%20classic/04%20GDGD.mp3,,5889,0D9A29006BF54A79,4,3838201115,2025-08-16 19:58:35,,100,,,44100,6253520,1,2025-01-17 08:08:26,,,,,12,6407,4,File,2023
Genie classic,Genie High,J-Rock,Genie girl crash,3:13,PRE_RAW,09 Genie girl crash.mp3,Genie High,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Genie High.xml,Genie High,100,True,1,126,256,Se encuentra en spotify,,,2024-09-26 20:50:51,2025-10-17 06:55:54,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Genie%20High/Genie%20classic/09%20Genie%20girl%20crash.mp3,,3905,060BB764E8E68279,7,3847089337,2025-11-27 17:55:37,,100,,,44100,6290313,,,,,,,12,6417,9,File,2023
Genie classic,Genie High,J-Rock,Koeshizuku,3:47,PRE_RAW,10 Koeshizuku.mp3,Genie High,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Genie High.xml,Genie High,100,True,1,122,256,Se encuentra en spotify,,,2024-09-26 20:50:51,2025-10-17 06:55:54,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Genie%20High/Genie%20classic/10%20Koeshizuku.mp3,,10895,F110FB2ED1CD4FB4,5,3842284880,2025-10-03 02:21:20,,100,,,44100,7392884,,,,,,,12,6419,10,File,2023
Genie High Story,Genie High,J-Rock,Dietter Noriko,4:34,PRE_RAW,02 Dietter Noriko.mp3,Genie High,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Genie High.xml,Genie High,100,True,1,90,256,Se encuentra en spotify,,,2024-09-26 20:50:52,2025-10-17 06:55:53,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Genie%20High/Genie%20High%20Story/02%20Dietter%20Noriko.mp3,,9525,1457B480ECE42D6B,3,3841241023,2025-09-21 00:23:43,,100,,,44100,8871935,,,,,,,10,6427,2,File,2019
Genie High Story,Genie High feat. AiNA the END,J-Rock,Fuben Na Kawaige,4:03,PRE_RAW,03 Fuben Na Kawaige.mp3,Genie High,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Genie High.xml,Genie High,100,True,1,136,256,Se encuentra en spotify,,,2024-09-26 20:50:52,2025-10-17 06:55:52,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Genie%20High/Genie%20High%20Story/03%20Fuben%20Na%20Kawaige.mp3,,7267,C0C28BC2DF21BADF,8,3845734015,2025-11-12 01:26:55,,100,,,44100,7868856,,,,,,,10,6429,3,File,2019
Genie High Story,Genie High,J-Rock,Primadonna,4:31,PRE_RAW,05 Primadonna.mp3,Genie High,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Genie High.xml,Genie High,100,True,1,94,256,Se encuentra en spotify,,Enon Kawatani,2024-09-26 20:50:53,2025-10-17 06:55:53,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Genie%20High/Genie%20High%20Story/05%20Primadonna.mp3,,5855,6B3E3ADCC0ECEFED,3,3835887303,2025-07-21 01:15:03,,100,,,44100,8762426,,,,,Genie High,Primadonna,10,6433,5,File,2019
Genie High Story,Genie High,J-Rock,Guutara Bushi,4:24,PRE_RAW,07 Guutara Bushi.mp3,Genie High,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Genie High.xml,Genie High,100,True,1,130,256,Se encuentra en spotify,,Enon Kawatani,2024-09-26 20:50:53,2025-10-17 06:55:53,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Genie%20High/Genie%20High%20Story/07%20Guutara%20Bushi.mp3,,7360,64D2B3563AE6D85A,6,3847095856,2025-11-27 19:44:16,,100,,,44100,8527536,1,2025-03-03 18:52:35,,,Genie High,Guutara Bushi,10,6437,7,File,2019
Genie High Story,Genie High,J-Rock,Valentine Dorobou,3:00,PRE_RAW,09 Valentine Dorobou.mp3,Genie High,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Genie High.xml,Genie High,100,True,1,127,256,Se encuentra en spotify,,Enon Kawatani,2024-09-26 20:50:53,2025-10-17 06:55:53,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Genie%20High/Genie%20High%20Story/09%20Valentine%20Dorobou.mp3,,4292,B2BFD68C4B8BFA37,3,3844182147,2025-10-25 01:22:27,,100,,,44100,5840062,,,,,Genie High,Valentine Dorobou,10,6441,9,File,2019
geniestar,Genie High,J-Rock,natsuarashi,3:16,PRE_RAW,02 natsuarashi.mp3,Genie High,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Genie High.xml,Genie High,100,True,1,85,256,Se encuentra en spotify,,Enon Kawatani,2024-09-26 20:50:54,2025-10-17 06:55:53,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Genie%20High/geniestar/02%20natsuarashi.mp3,,7627,0E0B05CC5AFA6CA4,7,3846336161,2025-11-19 00:42:41,,100,,,44100,6427100,,,,,Genie High,natsuarashi,12,6447,2,File,2021
