Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
BADモード,Hikaru Utada,J-Pop,BADモード,5:03,PRE_RAW,01 BADモード.mp3,Hikaru Utada,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Hikaru Utada.xml,Hikaru Utada,100,,1,117,256,Se encuentra en spotify,,Hikaru Utada & Jodi Milliner,2024-09-26 20:50:58,2025-10-17 06:55:49,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Hikaru%20Utada/BAD%E3%83%A2%E3%83%BC%E3%83%89/01%20BAD%E3%83%A2%E3%83%BC%E3%83%89.mp3,,2576,27C35937EA8DC836,6,3844250915,2025-10-25 20:28:35,,100,,,44100,9752666,,,,,,,14,6497,1,File,2022
BADモード,Hikaru Utada,J-Pop,気分じゃないの (Not In The Mood),7:28,PRE_RAW,06 気分じゃないの (Not In The Mood).mp3,Hikaru Utada,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Hikaru Utada.xml,Hikaru Utada,100,,1,76,256,Se encuentra en spotify,,Hikaru Utada & Sam Shepherd,2024-09-26 20:50:59,2025-10-17 06:55:49,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Hikaru%20Utada/BAD%E3%83%A2%E3%83%BC%E3%83%89/06%20%E6%B0%97%E5%88%86%E3%81%98%E3%82%83%E3%81%AA%E3%81%84%E3%81%AE%20(Not%20In%20The%20Mood).mp3,,1994,F49287B6252713A1,7,3841310103,2025-09-21 19:35:03,,100,,,44100,14389543,,,,,,,14,6507,6,File,2022
BADモード,Hikaru Utada,J-Pop,Somewhere Near Marseilles ーマルセイユ辺りー,11:54,PRE_RAW,10 Somewhere Near Marseilles ーマルセイユ辺.mp3,Hikaru Utada,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Hikaru Utada.xml,Hikaru Utada,100,,1,114,256,Se encuentra en spotify,,Hikaru Utada & Sam Shepherd,2024-09-26 20:51:00,2025-10-17 06:55:49,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Hikaru%20Utada/BAD%E3%83%A2%E3%83%BC%E3%83%89/10%20Somewhere%20Near%20Marseilles%20%E3%83%BC%E3%83%9E%E3%83%AB%E3%82%BB%E3%82%A4%E3%83%A6%E8%BE%BA.mp3,,1574,4BE5C05D56B8C3B7,2,3834339205,2025-07-03 03:13:25,,100,,,44100,22929080,,,,,,,14,6513,10,File,2022
Fantôme,Hikaru Utada,J-Pop,Ore No Kanojo,5:04,PRE_RAW,02 Ore No Kanojo.mp3,Hikaru Utada,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Hikaru Utada.xml,Hikaru Utada,100,,1,80,256,Se encuentra en spotify,,Hikaru Utada,2024-09-26 20:51:01,2025-10-17 06:55:48,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Hikaru%20Utada/Fant%C3%B4me/02%20Ore%20No%20Kanojo.mp3,,1519,A31E65F994699078,8,3847100443,2025-11-27 21:00:43,,100,,,44100,9788197,,,,,,,11,6523,2,File,2016
Fantôme,Hikaru Utada feat. Sheena Ringo,J-Pop,Nijikan Dake No Vacance,4:42,PRE_RAW,04 Nijikan Dake No Vacance.mp3,Hikaru Utada,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Hikaru Utada.xml,Hikaru Utada,100,,1,114,256,Se encuentra en spotify,,Hikaru Utada,2024-09-26 20:51:02,2025-10-17 06:55:45,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Hikaru%20Utada/Fant%C3%B4me/04%20Nijikan%20Dake%20No%20Vacance.mp3,,1320,027C8ED05F63044F,10,3847194811,2025-11-28 23:13:31,,100,,,44100,9087728,,,,,,,11,6527,4,File,2016
Fantôme,Hikaru Utada,J-Pop,Kouya No Ookami,4:34,PRE_RAW,08 Kouya No Ookami.mp3,Hikaru Utada,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Hikaru Utada.xml,Hikaru Utada,100,,1,117,256,Se encuentra en spotify,,Hikaru Utada,2024-09-26 20:51:03,2025-10-17 06:55:48,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Hikaru%20Utada/Fant%C3%B4me/08%20Kouya%20No%20Ookami.mp3,,2341,BC1FAF5404D77CC8,7,3846154829,2025-11-16 22:20:29,,100,,,44100,8846955,,,,,,,11,6535,8,File,2016
One Last Kiss,Hikaru Utada,J-Pop,One Last Kiss,4:12,PRE_RAW,01 One Last Kiss.mp3,Hikaru Utada,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Hikaru Utada.xml,Hikaru Utada,100,,1,112,256,Se encuentra en spotify,,Hikaru Utada,2024-09-26 20:51:09,2025-10-17 06:55:47,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Hikaru%20Utada/One%20Last%20Kiss/01%20One%20Last%20Kiss.mp3,,1841,51814E10CDE2517B,6,3845446005,2025-11-08 17:26:45,,100,,,44100,8146277,,,,,,,8,6595,1,File,2020
Ultra Blue (Remastered 2018),Hikaru Utada,J-Pop,This Is Love (Remastered 2018),4:58,PRE_RAW,01 This Is Love (Remastered 2018).mp3,Hikaru Utada,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Hikaru Utada.xml,Hikaru Utada,100,,1,116,256,Se encuentra en spotify,,Hikaru Utada,2024-09-26 20:51:54,2025-10-17 06:55:46,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Hikaru%20Utada/Ultra%20Blue%20(Remastered%202018)/01%20This%20Is%20Love%20(Remastered%202018).mp3,,6766,D6D759A8B04019BA,5,3841816662,2025-09-27 16:17:42,,100,,,44100,9628010,,,,,,,14,6655,1,File,2006
Ultra Blue (Remastered 2018),Hikaru Utada,J-Pop,Sanctuary (Opening),4:32,PRE_RAW,14 Sanctuary (Opening).mp3,Hikaru Utada,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Hikaru Utada.xml,Hikaru Utada,100,,1,109,256,Se encuentra en spotify,,Utada,2024-09-26 20:51:54,2025-10-17 06:55:46,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Hikaru%20Utada/Ultra%20Blue%20(Remastered%202018)/14%20Sanctuary%20(Opening).mp3,,4296,6E99FBD8907DF59F,3,3846402419,2025-11-19 19:06:59,,100,,,44100,8782050,,,,,,,14,6679,14,File,2006
Utada Hikaru Single Collection Vol.2 (2014 Remastered),Hikaru Utada,J-Pop,Show Me Love (Not A Dream),4:17,PRE_RAW,2-02 Show Me Love (Not A Dream).mp3,Hikaru Utada,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Hikaru Utada.xml,Hikaru Utada,100,,1,110,256,Se encuentra en spotify,,Hikaru Utada,2024-09-26 20:51:58,2025-10-17 06:55:46,2,2,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Hikaru%20Utada/Utada%20Hikaru%20Single%20Collection%20Vol.2%20(20/2-02%20Show%20Me%20Love%20(Not%20A%20Dream).mp3,,4063,D212AEEFF7FA6D5E,8,3835771804,2025-07-19 17:10:04,,100,,,44100,8309597,,,,,,,5,6715,2,File,2004
