Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Compartamos Tumbas - Single,JotDog,Pop,Compartamos Tumbas,3:29,PRE_RAW,01 Compartamos Tumbas.mp3,Jotdog,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Jotdog.xml,JotDog,100,,1,180,256,Se encuentra en spotify,,,2024-09-26 20:52:46,2025-10-30 00:15:51,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/JotDog/Compartamos%20Tumbas%20-%20Single/01%20Compartamos%20Tumbas.mp3,,4265,BD43A182B803C11E,2,3844514844,2025-10-28 22:47:24,,100,,,44100,6772124,,,,,,,1,7205,1,File,2017
Jotdog,JotDog,Pop,Las Pequeñas Cosas,3:52,PRE_RAW,04 Las Pequeñas Cosas.mp3,Jotdog,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Jotdog.xml,JotDog,100,,1,80,256,Se encuentra en spotify,,"Jorge ""Chiquis"" Amaro & María Barracuda",2024-09-26 20:52:47,2025-10-30 00:15:40,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/JotDog/Jotdog/04%20Las%20Peque%C3%B1as%20Cosas.mp3,,4522,5ACB02B0289EA737,3,3844504539,2025-10-28 19:55:39,,100,,,44100,7554030,,,,,,Pequeñas Cosas,11,7219,4,File,2009
Jotdog,JotDog,Pop,Pobrecito,3:48,PRE_RAW,07 Pobrecito.mp3,Jotdog,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Jotdog.xml,JotDog,100,,1,120,256,Se encuentra en spotify,,"Jorge ""Chiquis"" Amaro & Mar￭a Barracuda",2024-09-26 20:52:48,2025-10-30 00:15:42,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/JotDog/Jotdog/07%20Pobrecito.mp3,,7636,F969DA91A9C6B774,1,3844505211,2025-10-28 20:06:51,,100,,,44100,7431120,,,,,,,11,7225,7,File,2009
Jotdog,JotDog,Pop,Baila Sin Parar,3:48,PRE_RAW,10 Baila Sin Parar.mp3,Jotdog,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Jotdog.xml,JotDog,100,,1,122,256,Se encuentra en spotify,,"Jorge ""Chiquis"" Amaro & María Barracuda",2024-09-26 20:52:48,2025-10-30 00:15:43,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/JotDog/Jotdog/10%20Baila%20Sin%20Parar.mp3,,7959,E0D609CAFCF1BE9D,3,3845988231,2025-11-15 00:03:51,,100,,,44100,7426948,,,,,,,11,7231,10,File,2009
Nada Me Importa (Owned Version) - Single,JotDog,Pop/Rock,Nada Me Importa (Owned Version),3:45,PRE_RAW,01 Nada Me Importa (Owned Version).mp3,Jotdog,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Jotdog.xml,JotDog,100,,1,118,256,Se encuentra en spotify,,,2024-09-26 20:52:49,2025-10-30 00:15:57,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/JotDog/Nada%20Me%20Importa%20(Owned%20Version)%20-%20Single/01%20Nada%20Me%20Importa%20(Owned%20Version).mp3,,3204,B36871A06935AAC9,4,3844604987,2025-10-29 23:49:47,,100,,,44100,7269699,,,,,,,1,7235,1,File,2023
Turista del Amor,JotDog,Pop,Turista del Amor,4:01,PRE_RAW,01 Turista del Amor.mp3,Jotdog,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Jotdog.xml,JotDog,100,,1,116,256,Se encuentra en spotify,,"Jorge ""Chiquis"" Amaro & Maria Barracuda",2024-09-26 20:52:49,2025-10-30 00:15:44,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/JotDog/Turista%20del%20Amor/01%20Turista%20del%20Amor.mp3,,7821,F7C1889AD274B487,3,3844506140,2025-10-28 20:22:20,,100,,,44100,7825702,,,,,,,11,7241,1,File,2011
Turista del Amor,JotDog,Pop,Corazón de Metal,3:47,PRE_RAW,03 Corazón de Metal.mp3,Jotdog,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Jotdog.xml,JotDog,100,,1,155,256,Se encuentra en spotify,,"Jorge ""Chiquis"" Amaro & Maria Barracuda",2024-09-26 20:52:50,2025-10-30 00:15:45,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/JotDog/Turista%20del%20Amor/03%20Coraz%C3%B3n%20de%20Metal.mp3,,5112,F4ADD55216F3F8A3,8,3847186450,2025-11-28 20:54:10,,100,,,44100,7392715,,,,,,,11,7245,3,File,2011
Turista del Amor,JotDog,Pop,Nada Me Importa,3:47,PRE_RAW,04 Nada Me Importa.mp3,Jotdog,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Jotdog.xml,JotDog,100,,1,118,256,Se encuentra en spotify,,"Jorge ""Chiquis"" Amaro & Maria Barracuda",2024-09-26 20:52:50,2025-10-30 00:15:47,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/JotDog/Turista%20del%20Amor/04%20Nada%20Me%20Importa.mp3,,4858,C97E7E585898477C,3,3844508399,2025-10-28 20:59:59,,100,,,44100,7377649,1,2025-10-28 04:29:53,,,,,11,7247,4,File,2011
Turista del Amor,JotDog,Pop,Lluvia de Estrellas,3:25,PRE_RAW,07 Lluvia de Estrellas.mp3,Jotdog,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Jotdog.xml,JotDog,100,,1,80,256,Se encuentra en spotify,,"Jorge ""Chiquis"" Amaro & Maria Barracuda",2024-09-26 20:52:50,2025-10-30 00:15:48,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/JotDog/Turista%20del%20Amor/07%20Lluvia%20de%20Estrellas.mp3,,4916,A0FF470DAD14B98B,8,3844509212,2025-10-28 21:13:32,,100,,,44100,6681333,,,,,,,11,7253,7,File,2011
Turista del Amor,JotDog,Pop,Dame Tu Cariño,3:47,PRE_RAW,11 Dame Tu Cariño.mp3,Jotdog,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Jotdog.xml,JotDog,100,,1,176,256,Se encuentra en spotify,,"Jorge ""Chiquis"" Amaro & Maria Barracuda",2024-09-26 20:52:51,2025-10-30 00:15:49,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/JotDog/Turista%20del%20Amor/11%20Dame%20Tu%20Cari%C3%B1o.mp3,,6126,BB77852266C89BA3,3,3847101535,2025-11-27 21:18:55,,100,,,44100,7390205,,,,,,,11,7261,11,File,2011
