Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
R∃-MEMBER,SawanoHiroyuki[nZk] feat. LiSA,Anime,narrative,4:20,PRE_RAW,04 narrative.mp3,LiSA,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\LiSA.xml,SawanoHiroyuki[nZk],100,,1,83,256,Se encuentra en spotify,,,2024-09-26 21:00:13,2025-10-17 06:54:09,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SawanoHiroyuki%5BnZk%5D/R%E2%88%83-MEMBER/04%20narrative.mp3,,9546,A8823F0F3AED35CB,4,3835610675,2025-07-17 20:24:35,,100,,,44100,8490310,,,,,,,11,9797,4,File,2018
from the edge - Single,FictionJunction feat. LiSA,Anime,from the edge,4:38,PRE_RAW,01 from the edge.m4a,LiSA,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\LiSA.xml,FictionJunction feat. LiSA,100,,1,162,319,Se encuentra en spotify,,Yuki Kajiura,2025-01-17 18:19:47,2025-10-17 06:56:03,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/FictionJunction%20feat.%20LiSA/from%20the%20edge%20-%20Single/01%20from%20the%20edge.m4a,,9698,24F36DB6FCAE1D4E,5,3837339625,2025-08-06 20:40:25,,100,,2019-09-02 12:00:00,48000,11336803,,,,,,,1,13681,1,File,2019
LEO-NiNE,LiSA feat. Pablo,J-Pop,play the world!,4:19,PRE_RAW,01 play the world!.m4a,LiSA,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\LiSA.xml,LiSA,100,,1,161,322,Se encuentra en spotify,,PABLO a.k.a. WTF!?,2025-01-17 18:19:47,2025-10-17 06:55:14,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/LEO-NiNE/01%20play%20the%20world!.m4a,,10140,9A7CB60857CE9D8C,3,3844086495,2025-10-23 22:48:15,,100,,2020-09-09 12:00:00,48000,10556698,,,,,,,13,13691,1,File,2020
LADYBUG,LiSA,J-Pop,Another Great Day!!,4:58,PRE_RAW,02 Another Great Day!!.m4a,LiSA,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\LiSA.xml,LiSA,100,,1,103,321,Se encuentra en spotify,,松本孝弘,2025-01-17 18:19:47,2025-10-17 06:55:19,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/LADYBUG/02%20Another%20Great%20Day!!.m4a,,15893,B8C8B779470D6C33,4,3845978897,2025-11-14 21:28:17,,100,,2021-04-20 12:00:00,48000,12155763,,,,,,,7,13707,2,File,2021
LiTTLE DEViL PARADE,LiSA,Anime,LOSER 〜希望と未来に無縁のカタルシス〜,3:33,PRE_RAW,03 LOSER 〜希望と未来に無縁のカタルシス〜.m4a,LiSA,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\LiSA.xml,LiSA,100,,1,110,325,Se encuentra en spotify,,カヨコ,2025-01-17 18:19:47,2025-10-17 06:55:17,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/LiTTLE%20DEViL%20PARADE/03%20LOSER%20%E3%80%9C%E5%B8%8C%E6%9C%9B%E3%81%A8%E6%9C%AA%E6%9D%A5%E3%81%AB%E7%84%A1%E7%B8%81%E3%81%AE%E3%82%AB%E3%82%BF%E3%83%AB%E3%82%B7%E3%82%B9%E3%80%9C.m4a,,15407,4F815046EE4DD6C6,4,3842293124,2025-10-03 04:38:44,,100,,2017-05-24 12:00:00,48000,8904325,,,,,,,13,13737,3,File,2017
LANDSPACE,LiSA,Anime,DOCTOR,3:04,PRE_RAW,04 DOCTOR.m4a,LiSA,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\LiSA.xml,LiSA,100,,1,185,321,Se encuentra en spotify,,kayoko,2025-01-17 18:19:47,2025-10-17 06:55:18,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/LANDSPACE/04%20DOCTOR.m4a,,11986,3F2427CE47F3E291,3,3843562832,2025-10-17 21:20:32,,100,,2013-10-30 12:00:00,48000,7576738,,,,,,,12,13755,4,File,2013
LADYBUG,LiSA,J-Pop,GL,3:00,PRE_RAW,04 GL.m4a,LiSA,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\LiSA.xml,LiSA,100,,1,133,325,Se encuentra en spotify,,Avu Barazono,2025-01-17 18:19:47,2025-10-17 06:55:19,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/LADYBUG/04%20GL.m4a,,3098,ADF648411B2F689C,5,3845733271,2025-11-12 01:14:31,,100,,2021-05-19 12:00:00,48000,7488138,,,,,,,7,13759,4,File,2021
Launcher,LiSA,Anime,蜜,3:34,PRE_RAW,04 蜜.m4a,LiSA,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\LiSA.xml,LiSA,100,,1,91,320,Se encuentra en spotify,,kayoko,2025-01-17 18:19:47,2025-10-17 06:55:18,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/Launcher/04%20%E8%9C%9C.m4a,,11448,403DF985CDAB7E11,2,3834412203,2025-07-03 23:30:03,,100,,2015-03-04 12:00:00,48000,8718359,,,,,,,14,13771,4,File,2015
LEO-NiNE,LiSA,J-Pop,cancellation,4:11,PRE_RAW,05 cancellation.m4a,LiSA,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\LiSA.xml,LiSA,100,,1,91,318,Se encuentra en spotify,,PABLO a.k.a. WTF!?,2025-01-17 18:19:48,2025-10-17 06:55:18,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/LEO-NiNE/05%20cancellation.m4a,,11539,398989B5513B1426,4,3844185851,2025-10-25 02:24:11,,100,,2020-10-14 12:00:00,48000,10123298,,,,,,,13,13775,5,File,2020
LADYBUG,LiSA,J-Pop,ViVA LA MiDALA,4:04,PRE_RAW,05 ViVA LA MiDALA.m4a,LiSA,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\LiSA.xml,LiSA,100,,1,90,318,Se encuentra en spotify,,MAH,2025-01-17 18:19:48,2025-10-17 06:55:18,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/LADYBUG/05%20ViVA%20LA%20MiDALA.m4a,,10599,15570599B1163DBF,3,3844173674,2025-10-24 23:01:14,,100,,2021-05-19 12:00:00,48000,9883173,,,,,,,7,13783,5,File,2021
LANDSPACE,LiSA,Anime,ヒトリワラッテ,2:44,PRE_RAW,07 ヒトリワラッテ.m4a,LiSA,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\LiSA.xml,LiSA,100,,1,88,319,Se encuentra en spotify,,wowaka,2025-01-17 18:19:48,2025-10-17 06:55:18,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/LANDSPACE/07%20%E3%83%92%E3%83%88%E3%83%AA%E3%83%AF%E3%83%A9%E3%83%83%E3%83%86.m4a,,10914,DDEBA23CF0BE8CC4,3,3834411504,2025-07-03 23:18:24,,100,,2013-10-30 12:00:00,48000,6688073,,,,,,,12,13831,7,File,2013
