Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
#4,Ling tosite sigure,J-Rock,鮮やかな殺人,4:45,PRE_RAW,01 鮮やかな殺人.mp3,Ling Tosite Sigure,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ling Tosite Sigure.xml,Ling tosite sigure,100,True,1,98,256,Se encuentra en spotify,,北嶋徹,2024-09-26 20:53:02,2025-10-17 06:55:25,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ling%20tosite%20sigure/%234/01%20%E9%AE%AE%E3%82%84%E3%81%8B%E3%81%AA%E6%AE%BA%E4%BA%BA.mp3,,13703,2236D83E7BB8EC8D,7,3843565878,2025-10-17 22:11:18,,100,,,44100,9184719,,,,,,,10,7383,1,File,2005
#4,Ling tosite sigure,J-Rock,Sadistic Summer,4:26,PRE_RAW,03 Sadistic Summer.mp3,Ling Tosite Sigure,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ling Tosite Sigure.xml,Ling tosite sigure,100,True,1,99,256,Se encuentra en spotify,,北嶋徹,2024-09-26 20:53:03,2025-10-17 06:55:25,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ling%20tosite%20sigure/%234/03%20Sadistic%20Summer.mp3,,13301,05DB26FEB1CD16E0,2,3825579265,2025-03-23 18:54:25,,100,,,44100,8573697,1,2025-09-29 18:06:56,,,,,10,7387,3,File,2005
#4,Ling tosite sigure,J-Rock,ターボチャージャーON,5:17,PRE_RAW,04 ターボチャージャーON.mp3,Ling Tosite Sigure,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ling Tosite Sigure.xml,Ling tosite sigure,100,True,1,131,256,Se encuentra en spotify,,北嶋徹,2024-09-26 20:53:03,2025-10-17 06:55:25,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ling%20tosite%20sigure/%234/04%20%E3%82%BF%E3%83%BC%E3%83%9C%E3%83%81%E3%83%A3%E3%83%BC%E3%82%B8%E3%83%A3%E3%83%BCON.mp3,,15085,8BA94E761C9F3F34,4,3847097505,2025-11-27 20:11:45,,100,,,44100,10227122,,,,,,,10,7389,4,File,2005
#4,Ling tosite sigure,J-Rock,TK in the 夕景,4:22,PRE_RAW,10 TK in the 夕景.mp3,Ling Tosite Sigure,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ling Tosite Sigure.xml,Ling tosite sigure,100,True,1,143,256,Se encuentra en spotify,,北嶋徹,2024-09-26 20:53:04,2025-10-17 06:55:25,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ling%20tosite%20sigure/%234/10%20TK%20in%20the%20%E5%A4%95%E6%99%AF.mp3,,14937,84998DD835258383,4,3845291480,2025-11-06 22:31:20,,100,,,44100,8444944,,,,,,,10,7401,10,File,2005
#5,Ling tosite sigure,J-Rock,Ultra Overcorrection,4:44,PRE_RAW,01 Ultra Overcorrection.mp3,Ling Tosite Sigure,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ling Tosite Sigure.xml,Ling tosite sigure,100,True,1,136,256,Se encuentra en spotify,,TK,2024-09-26 20:53:04,2025-10-17 06:55:24,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ling%20tosite%20sigure/%235/01%20Ultra%20Overcorrection.mp3,,19180,A32B69E91294E04E,3,3833719816,2025-06-25 23:10:16,,100,,,44100,9249060,,,,,,,10,7403,1,File,2018
#5,Ling tosite sigure,J-Rock,Chocolate Passion,4:16,PRE_RAW,02 Chocolate Passion.mp3,Ling Tosite Sigure,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ling Tosite Sigure.xml,Ling tosite sigure,100,True,1,100,256,Se encuentra en spotify,,TK,2024-09-26 20:53:04,2025-10-17 06:55:23,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ling%20tosite%20sigure/%235/02%20Chocolate%20Passion.mp3,,16553,571A87B9080E1CBC,4,3840619780,2025-09-13 19:49:40,,100,,,44100,8366110,,,,,,,10,7405,2,File,2018
#5,Ling tosite sigure,J-Rock,Tornado Minority,4:37,PRE_RAW,03 Tornado Minority.mp3,Ling Tosite Sigure,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ling Tosite Sigure.xml,Ling tosite sigure,100,True,1,136,256,Se encuentra en spotify,,TK,2024-09-26 20:53:04,2025-10-17 06:55:23,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ling%20tosite%20sigure/%235/03%20Tornado%20Minority.mp3,,18413,32991D6B98F67C29,4,3840379540,2025-09-11 01:05:40,,100,,,44100,9038187,,,,,,,10,7407,3,File,2018
#5,Ling tosite sigure,J-Rock,Who's WhoFO,4:57,PRE_RAW,04 Who's WhoFO.mp3,Ling Tosite Sigure,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ling Tosite Sigure.xml,Ling tosite sigure,100,True,1,143,256,Se encuentra en spotify,,TK,2024-09-26 20:53:05,2025-10-17 06:55:23,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ling%20tosite%20sigure/%235/04%20Who's%20WhoFO.mp3,,9820,909E89EE5A7EFDDA,3,3840730202,2025-09-15 02:30:02,,100,,,44100,9681004,,,,,,,10,7409,4,File,2018
#5,Ling tosite sigure,J-Rock,ten to ten,5:31,PRE_RAW,06 ten to ten.mp3,Ling Tosite Sigure,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ling Tosite Sigure.xml,Ling tosite sigure,100,True,1,81,256,Se encuentra en spotify,,TK,2024-09-26 20:53:05,2025-10-17 06:55:23,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ling%20tosite%20sigure/%235/06%20ten%20to%20ten.mp3,,14700,6BB86ED3D44C9CD0,9,3845547741,2025-11-09 21:42:21,,100,,,44100,10744291,,,,,,,10,7413,6,File,2018
#5,Ling tosite sigure,J-Rock,High Energy Vacuum,3:53,PRE_RAW,09 High Energy Vacuum.mp3,Ling Tosite Sigure,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ling Tosite Sigure.xml,Ling tosite sigure,100,True,1,167,256,Se encuentra en spotify,,TK,2024-09-26 20:53:06,2025-10-17 06:55:23,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ling%20tosite%20sigure/%235/09%20High%20Energy%20Vacuum.mp3,,15489,AFB37AC4FD8D9461,7,3834416912,2025-07-04 00:48:32,,100,,,44100,7607097,,,,,,,10,7419,9,File,2018
