Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
juice box - Single,MAISONdes feat. aruma & 案山子,J-Pop,juice box,3:58,PRE_RAW,01 juice box.mp3,Maisondes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Maisondes.xml,MAISONdes feat. aruma & 案山子,100,True,1,111,256,Se encuentra en spotify,,,2024-09-26 20:53:23,2025-10-17 06:55:13,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/MAISONdes%20feat.%20aruma%20&%20%E6%A1%88%E5%B1%B1%E5%AD%90/juice%20box%20-%20Single/01%20juice%20box.mp3,,9342,F749EE3649DC5F67,6,3846786442,2025-11-24 05:47:22,,100,,,44100,7730342,,,,,,,1,7563,1,File,2022
いえない - Single,"MAISONdes feat. 堂村璃羽, 301 & GeG",J-Pop,いえない,3:36,PRE_RAW,01 いえない.mp3,Maisondes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Maisondes.xml,"MAISONdes feat. 堂村璃羽, 301 & GeG",100,True,1,94,256,Se encuentra en spotify,,,2024-09-26 20:53:23,2025-10-17 06:55:12,1,1,,,5,Archivo de audio MPEG,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/MAISONdes%20feat.%20%E5%A0%82%E6%9D%91%E7%92%83%E7%BE%BD,%20301%20&%20GeG/%E3%81%84%E3%81%88%E3%81%AA%E3%81%84%20-%20Single/01%20%E3%81%84%E3%81%88%E3%81%AA%E3%81%84.mp3",,3806,496B7168F9439C73,4,3841340856,2025-09-22 04:07:36,,100,,,44100,7018520,,,,,,,1,7567,1,File,2021
アイウエ - Single,MAISONdes feat. 美波 & SAKURAmoti,Alternativa,アイウエ,3:42,PRE_RAW,01 アイウエ.mp3,Maisondes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Maisondes.xml,MAISONdes feat. 美波 & SAKURAmoti,100,True,1,84,256,Se encuentra en spotify,,,2024-09-26 20:53:25,2025-10-17 06:55:12,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/MAISONdes%20feat.%20%E7%BE%8E%E6%B3%A2%20&%20SAKURAmoti/%E3%82%A2%E3%82%A4%E3%82%A6%E3%82%A8%20-%20Single/01%20%E3%82%A2%E3%82%A4%E3%82%A6%E3%82%A8.mp3,,20317,A10C1F983E721D9F,2,3834418522,2025-07-04 01:15:22,,100,,,44100,7244934,,,,,,,1,7587,1,File,2022
アイタリナイ - Single,MAISONdes feat. yama & ニト。,Alternativa,アイタリナイ,2:42,PRE_RAW,01 アイタリナイ.mp3,Maisondes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Maisondes.xml,MAISONdes feat. yama & ニト。,100,True,1,84,256,Se encuentra en spotify,,,2024-09-26 20:53:25,2025-10-17 06:55:13,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/MAISONdes%20feat.%20yama%20&%20%E3%83%8B%E3%83%88%E3%80%82/%E3%82%A2%E3%82%A4%E3%82%BF%E3%83%AA%E3%83%8A%E3%82%A4%20-%20Single/01%20%E3%82%A2%E3%82%A4%E3%82%BF%E3%83%AA%E3%83%8A%E3%82%A4.mp3,,9259,2C76A9B37B4538D6,5,3846910071,2025-11-25 16:07:51,,100,,,44100,5311458,,,,,,,1,7589,1,File,2023
アイワナムチュー - Single,MAISONdes feat. asmi & すりぃ,Alternativa,アイワナムチュー,3:25,PRE_RAW,01 アイワナムチュー.mp3,Maisondes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Maisondes.xml,MAISONdes feat. asmi & すりぃ,100,True,1,79,256,Se encuentra en spotify,,,2024-09-26 20:53:25,2025-10-17 06:55:13,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/MAISONdes%20feat.%20asmi%20&%20%E3%81%99%E3%82%8A%E3%81%83/%E3%82%A2%E3%82%A4%E3%83%AF%E3%83%8A%E3%83%A0%E3%83%81%E3%83%A5%E3%83%BC%20-%20Single/01%20%E3%82%A2%E3%82%A4%E3%83%AF%E3%83%8A%E3%83%A0%E3%83%81%E3%83%A5%E3%83%BC.mp3,,10312,140A4885861A22AF,3,3839864542,2025-09-05 02:02:22,,100,,,44100,6707855,,,,,,,1,7591,1,File,2023
ダンス・ダンス・ダダ - Single,MAISONdes feat. EMA & たなか,J-Pop,ダンス・ダンス・ダダ,3:49,PRE_RAW,01 ダンス・ダンス・ダダ.mp3,Maisondes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Maisondes.xml,MAISONdes feat. EMA & たなか,100,True,1,103,256,Se encuentra en spotify,,,2024-09-26 20:53:26,2025-10-17 06:55:13,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/MAISONdes%20feat.%20EMA%20&%20%E3%81%9F%E3%81%AA%E3%81%8B/%E3%83%80%E3%83%B3%E3%82%B9%E3%83%BB%E3%83%80%E3%83%B3%E3%82%B9%E3%83%BB%E3%83%80%E3%83%80%20-%20Single/01%20%E3%83%80%E3%83%B3%E3%82%B9%E3%83%BB%E3%83%80%E3%83%B3%E3%82%B9%E3%83%BB%E3%83%80%E3%83%80.mp3,,5287,6AEAE07486A20CAF,3,3841994032,2025-09-29 17:33:52,,100,,,44100,7465133,,,,,,,1,7597,1,File,2021
トウキョウ・シャンディ・ランデヴ - Single,MAISONdes feat. 花譜 & ツミキ,Alternativa,トウキョウ・シャンディ・ランデヴ,3:04,PRE_RAW,01 トウキョウ・シャンディ・ランデヴ.mp3,Maisondes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Maisondes.xml,MAISONdes feat. 花譜 & ツミキ,100,True,1,137,256,Se encuentra en spotify,,,2024-09-26 20:53:26,2025-10-17 06:55:12,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/MAISONdes%20feat.%20%E8%8A%B1%E8%AD%9C%20&%20%E3%83%84%E3%83%9F%E3%82%AD/%E3%83%88%E3%82%A6%E3%82%AD%E3%83%A7%E3%82%A6%E3%83%BB%E3%82%B7%E3%83%A3%E3%83%B3%E3%83%87%E3%82%A3%E3%83%BB%E3%83%A9%E3%83%B3%E3%83%87%E3%83%B4%20-%20Single/01%20%E3%83%88%E3%82%A6%E3%82%AD%E3%83%A7%E3%82%A6%E3%83%BB%E3%82%B7%E3%83%A3%E3%83%B3%E3%83%87%E3%82%A3%E3%83%BB%E3%83%A9%E3%83%B3%E3%83%87%E3%83%B4.mp3,,11269,61B0FCA9F3BBA5F8,4,3842431988,2025-10-04 19:13:08,,100,,,44100,6023598,,,,,,,1,7603,1,File,2022
バイマイダーリン - Single,MAISONdes feat. みきまりあ & ニト。,Alternativa,バイマイダーリン,2:40,PRE_RAW,01 バイマイダーリン.mp3,Maisondes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Maisondes.xml,MAISONdes feat. みきまりあ & ニト。,100,True,1,137,256,Se encuentra en spotify,,,2024-09-26 20:53:28,2025-10-17 06:55:13,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/MAISONdes%20feat.%20%E3%81%BF%E3%81%8D%E3%81%BE%E3%82%8A%E3%81%82%20&%20%E3%83%8B%E3%83%88%E3%80%82/%E3%83%90%E3%82%A4%E3%83%9E%E3%82%A4%E3%83%80%E3%83%BC%E3%83%AA%E3%83%B3%20-%20Single/01%20%E3%83%90%E3%82%A4%E3%83%9E%E3%82%A4%E3%83%80%E3%83%BC%E3%83%AA%E3%83%B3.mp3,,11126,524B92DFEA2973DA,2,3841241183,2025-09-21 00:26:23,,100,,,44100,5221427,,,,,,,1,7617,1,File,2024
ヨワネハキ - Single,MAISONdes feat. 和ぬか & asmi,J-Pop,ヨワネハキ,2:47,PRE_RAW,01 ヨワネハキ.mp3,Maisondes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Maisondes.xml,MAISONdes feat. 和ぬか & asmi,100,True,1,108,256,Se encuentra en spotify,,,2024-09-26 20:53:28,2025-10-17 06:55:13,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/MAISONdes%20feat.%20%E5%92%8C%E3%81%AC%E3%81%8B%20&%20asmi/%E3%83%A8%E3%83%AF%E3%83%8D%E3%83%8F%E3%82%AD%20-%20Single/01%20%E3%83%A8%E3%83%AF%E3%83%8D%E3%83%8F%E3%82%AD.mp3,,7576,5D7187FDC9259DF0,2,3847187317,2025-11-28 21:08:37,,100,,,44100,5456115,,,,,,,1,7621,1,File,2021
ラリー、ラリー - Single,MAISONdes feat. Pii & meiyo,J-Pop,ラリー、ラリー,2:36,PRE_RAW,01 ラリー、ラリー.mp3,Maisondes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Maisondes.xml,MAISONdes feat. Pii & meiyo,100,True,1,112,256,Se encuentra en spotify,,,2024-09-26 20:53:29,2025-10-17 06:55:13,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/MAISONdes%20feat.%20Pii%20&%20meiyo/%E3%83%A9%E3%83%AA%E3%83%BC%E3%80%81%E3%83%A9%E3%83%AA%E3%83%BC%20-%20Single/01%20%E3%83%A9%E3%83%AA%E3%83%BC%E3%80%81%E3%83%A9%E3%83%AA%E3%83%BC.mp3,,4279,B1A44610A48E8395,4,3846909287,2025-11-25 15:54:47,,100,,,44100,5069424,,,,,,,1,7627,1,File,2021
