Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
35xxxv,ONE OK ROCK,J-Pop,Take me to the top,3:15,PRE_RAW,02 Take me to the top.m4a,One Ok Rock,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\One Ok Rock.xml,ONE OK ROCK,100,True,1,98,2304,Se encuentra en spotify,,TakaColin Cunningham,2024-09-26 20:54:46,2025-10-17 06:54:46,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/35xxxv/02%20Take%20me%20to%20the%20top.m4a,,17340,2E9D72FD670044AE,2,3844158077,2025-10-24 18:41:17,,100,,,48000,46673176,,,,,,,13,8351,2,File,2015
35xxxv,ONE OK ROCK,J-Pop,Cry out,3:48,PRE_RAW,03 Cry out.m4a,One Ok Rock,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\One Ok Rock.xml,ONE OK ROCK,100,True,1,84,2304,Se encuentra en spotify,,ONE OK ROCKColin Cunningham,2024-09-26 20:54:48,2025-10-17 06:54:46,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/35xxxv/03%20Cry%20out.m4a,,20036,B9A000861C0861D2,2,3837243656,2025-08-05 18:00:56,,100,,,48000,55689227,,,,,,,13,8353,3,File,2015
35xxxv,ONE OK ROCK,J-Pop,Suddenly,3:03,PRE_RAW,04 Suddenly.m4a,One Ok Rock,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\One Ok Rock.xml,ONE OK ROCK,100,True,1,91,2304,Se encuentra en spotify,,TakaToruakkin,2024-09-26 20:54:49,2025-10-17 06:54:45,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/35xxxv/04%20Suddenly.m4a,,13471,09AAB571BDAAF03A,3,3825962539,2025-03-28 05:22:19,,100,,,48000,43932013,,,,,,,13,8355,4,File,2015
35xxxv,ONE OK ROCK,J-Pop,Mighty Long Fall,4:03,PRE_RAW,05 Mighty Long Fall.m4a,One Ok Rock,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\One Ok Rock.xml,ONE OK ROCK,100,True,1,79,2304,Se encuentra en spotify,,ONE OK ROCKJ. Feldmann,2024-09-26 20:54:50,2025-10-17 06:54:45,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/35xxxv/05%20Mighty%20Long%20Fall.m4a,,11223,01AC9A146D06972E,5,3837425964,2025-08-07 20:39:24,,100,,,48000,58946093,,,,,,,13,8357,5,File,2015
35xxxv,ONE OK ROCK,J-Pop,Memories,3:21,PRE_RAW,07 Memories.m4a,One Ok Rock,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\One Ok Rock.xml,ONE OK ROCK,100,True,1,175,2304,Se encuentra en spotify,,TakaJ. Feldmann,2024-09-26 20:54:53,2025-10-17 06:54:45,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/35xxxv/07%20Memories.m4a,,12592,D1176E747B550AD0,2,3843652658,2025-10-18 22:17:38,,100,,,48000,47655990,,,,,,,13,8361,7,File,2015
35xxxv,ONE OK ROCK,J-Pop,Good Goodbye,3:44,PRE_RAW,10 Good Goodbye.m4a,One Ok Rock,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\One Ok Rock.xml,ONE OK ROCK,100,True,1,102,2304,Se encuentra en spotify,,TakaColin Cunningham,2024-09-26 20:54:57,2025-10-17 06:54:45,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/35xxxv/10%20Good%20Goodbye.m4a,,6056,F9B095256E9FDAE1,5,3834414637,2025-07-04 00:10:37,,100,,,48000,50316712,,,,,,,13,8367,10,File,2015
35xxxv,ONE OK ROCK,J-Pop,One by One,3:39,PRE_RAW,11 One by One.m4a,One Ok Rock,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\One Ok Rock.xml,ONE OK ROCK,100,True,1,99,2304,Se encuentra en spotify,,TakaJ. Feldmann,2024-09-26 20:54:58,2025-10-17 06:54:45,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/35xxxv/11%20One%20by%20One.m4a,,11889,1747E498EBB8767E,2,3834406512,2025-07-03 21:55:12,,100,,,48000,52488774,,,,,,,13,8369,11,File,2015
35xxxv,ONE OK ROCK,J-Pop,Stuck in the middle,3:32,PRE_RAW,12 Stuck in the middle.m4a,One Ok Rock,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\One Ok Rock.xml,ONE OK ROCK,100,True,1,95,2304,Se encuentra en spotify,,J. Feldmann,2024-09-26 20:54:59,2025-10-17 06:54:45,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/35xxxv/12%20Stuck%20in%20the%20middle.m4a,,15583,D93B663B81DCD0A0,4,3845979105,2025-11-14 21:31:45,,100,,,48000,51900322,1,2025-10-03 02:11:42,,,,,13,8371,12,File,2015
35xxxv,ONE OK ROCK,J-Pop,Fight the night,4:16,PRE_RAW,13 Fight the night.m4a,One Ok Rock,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\One Ok Rock.xml,ONE OK ROCK,100,True,1,135,2304,Se encuentra en spotify,,TakaJ. Cole,2024-09-26 20:55:01,2025-10-17 06:54:45,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/35xxxv/13%20Fight%20the%20night.m4a,,4799,433C4D34A662B4C6,2,3845447786,2025-11-08 17:56:26,,100,,,48000,56096063,,,,,,,13,8373,13,File,2015
35xxxv (Deluxe Edition),ONE OK ROCK,J-Rock,The Way Back,3:02,PRE_RAW,15 The Way Back.m4a,One Ok Rock,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\One Ok Rock.xml,ONE OK ROCK,100,True,1,150,2304,Se encuentra en spotify,,John Feldmann & Taka,2024-09-26 20:55:20,2025-10-17 06:54:44,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/35xxxv%20(Deluxe%20Edition)/15%20The%20Way%20Back.m4a,,7309,576760C18C2FE398,5,3829465248,2025-05-07 17:20:48,,100,,,48000,43222773,,,,,ONE OK ROCK,The Way Back,15,8403,15,File,2015
