Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
MALVAS - Single,Leo Rizzi & Paty Cantú,Pop,MALVAS,3:03,PRE_RAW,01 MALVAS.mp3,Paty Cantú,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Paty Cantú.xml,Leo Rizzi & Paty Cantú,100,True,1,68,256,Se encuentra en spotify,,,2024-09-26 20:53:02,2025-10-17 06:55:29,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Leo%20Rizzi%20&%20Paty%20Cant%C3%BA/MALVAS%20-%20Single/01%20MALVAS.mp3,,5955,DCCD2526EA2C50CF,5,3845720142,2025-11-11 21:35:42,,100,,,44100,5962289,,,,,,,1,7381,1,File,2024
En el Alma - Single,Motel & Paty Cantú,Pop,En El Alma,3:46,PRE_RAW,01 En El Alma.mp3,Paty Cantú,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Paty Cantú.xml,Motel & Paty Cantú,100,True,1,100,256,Se encuentra en spotify,,,2024-09-26 20:53:56,2025-10-17 06:55:00,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Motel%20&%20Paty%20Cant%C3%BA/En%20el%20Alma%20-%20Single/01%20En%20El%20Alma.mp3,,4024,9A0B5AE6B624D1A0,8,3845722467,2025-11-11 22:14:27,,100,,,44100,10420821,,,,,,,1,7907,1,File,2023
#333 (Edición Deluxe),Paty Cantú,Pop en español,Vete,3:29,PRE_RAW,04 Vete.mp3,Paty Cantú,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Paty Cantú.xml,Paty Cantú,100,True,1,174,256,Se encuentra en spotify,,"Paty Cantú, Mats Hedstrom, Ángela Dávalos & Eric Palmqwist",2024-09-26 20:58:32,2025-10-17 06:54:32,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Paty%20Cant%C3%BA/%23333%20(Edici%C3%B3n%20Deluxe)/04%20Vete.mp3,,9059,BB10BF243195B525,5,3835427920,2025-07-15 17:38:40,,100,,,44100,6757045,2,2025-09-23 19:20:52,,,,,29,8793,4,File,2018
#333 (Edición Deluxe),Paty Cantú,Pop en español,Vuelve A Respirar,4:07,PRE_RAW,05 Vuelve A Respirar.mp3,Paty Cantú,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Paty Cantú.xml,Paty Cantú,100,True,1,120,256,Se encuentra en spotify,,Paty Cantú & Ángela Dávalos,2024-09-26 20:58:32,2025-10-17 06:54:32,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Paty%20Cant%C3%BA/%23333%20(Edici%C3%B3n%20Deluxe)/05%20Vuelve%20A%20Respirar.mp3,,4323,E6EFE26C70B27B10,7,3842461652,2025-10-05 03:27:32,,100,,,44100,7967468,,,,,,,29,8795,5,File,2018
#333 (Edición Deluxe),Paty Cantú,Pop en español,Cuervo,4:07,PRE_RAW,09 Cuervo.mp3,Paty Cantú,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Paty Cantú.xml,Paty Cantú,100,True,1,80,256,Se encuentra en spotify,,Paty Cantú & Ángela Dávalos,2024-09-26 20:58:32,2025-10-17 06:54:32,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Paty%20Cant%C3%BA/%23333%20(Edici%C3%B3n%20Deluxe)/09%20Cuervo.mp3,,7801,F6DE186CF62B3EED,3,3826360986,2025-04-01 20:03:06,,100,,,44100,7966621,,,,,,,29,8803,9,File,2018
Afortunadamente No Eres Tú (Edición Especial),Paty Cantú,Pop,Afortunadamente No Eres Tú,3:08,PRE_RAW,01 Afortunadamente No Eres Tú.mp3,Paty Cantú,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Paty Cantú.xml,Paty Cantú,100,True,1,131,256,Se encuentra en spotify,,"Juan Carlos Moguel, Bruno Danza & Paty Cantú",2024-09-26 20:58:33,2025-10-17 06:54:37,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Paty%20Cant%C3%BA/Afortunadamente%20No%20Eres%20T%C3%BA%20(Edici%C3%B3n%20Espe/01%20Afortunadamente%20No%20Eres%20T%C3%BA.mp3,,3983,270E3C34150113C3,2,3826361933,2025-04-01 20:18:53,,100,,,44100,6106309,,,,,,,17,8833,1,File,2010
Afortunadamente No Eres Tú (Edición Especial),Paty Cantú,Pop,Goma de Mascar,2:59,PRE_RAW,02 Goma de Mascar.mp3,Paty Cantú,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Paty Cantú.xml,Paty Cantú,100,True,1,133,256,Se encuentra en spotify,,"Paty Cantú, Angela Davalos & Daniel Ramirez",2024-09-26 20:58:34,2025-10-17 06:54:37,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Paty%20Cant%C3%BA/Afortunadamente%20No%20Eres%20T%C3%BA%20(Edici%C3%B3n%20Espe/02%20Goma%20de%20Mascar.mp3,,2172,9C91AAE59D7DF15E,7,3831278966,2025-05-28 17:09:26,,100,,,44100,5804502,,,,,,,17,8835,2,File,2010
Afortunadamente No Eres Tú (Edición Especial),Paty Cantú,Pop,Clavo Que Saca Otro Clavo,3:15,PRE_RAW,03 Clavo Que Saca Otro Clavo.mp3,Paty Cantú,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Paty Cantú.xml,Paty Cantú,100,True,1,84,256,Se encuentra en spotify,,"Bruno Danza, Paty Cantú & Jules Ramillano",2024-09-26 20:58:34,2025-10-17 06:54:37,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Paty%20Cant%C3%BA/Afortunadamente%20No%20Eres%20T%C3%BA%20(Edici%C3%B3n%20Espe/03%20Clavo%20Que%20Saca%20Otro%20Clavo.mp3,,3607,17E547123EAD564E,4,3834405060,2025-07-03 21:31:00,,100,,,44100,6316931,,,,,,,17,8837,3,File,2010
Afortunadamente No Eres Tú (Edición Especial),Paty Cantú,Pop,Se Desintegra el Amor,3:35,PRE_RAW,04 Se Desintegra el Amor.mp3,Paty Cantú,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Paty Cantú.xml,Paty Cantú,100,True,1,130,256,Se encuentra en spotify,,"Paty Cantú, Angela Davalos & Gustavo Guevara",2024-09-26 20:58:34,2025-10-17 06:54:36,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Paty%20Cant%C3%BA/Afortunadamente%20No%20Eres%20T%C3%BA%20(Edici%C3%B3n%20Espe/04%20Se%20Desintegra%20el%20Amor.mp3,,1445,B25842EEC1FBB8B3,6,3845984561,2025-11-14 23:02:41,,100,,,44100,6970615,,,,,,,17,8839,4,File,2010
Afortunadamente No Eres Tú (Edición Especial),Paty Cantú,Pop,Vuelve a Amarme,3:32,PRE_RAW,05 Vuelve a Amarme.mp3,Paty Cantú,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Paty Cantú.xml,Paty Cantú,100,True,1,82,256,Se encuentra en spotify,,"Maria Bernal, Michkin Boyzo & Paty Cantú",2024-09-26 20:58:34,2025-10-17 06:54:36,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Paty%20Cant%C3%BA/Afortunadamente%20No%20Eres%20T%C3%BA%20(Edici%C3%B3n%20Espe/05%20Vuelve%20a%20Amarme.mp3,,2874,703F644C5BC5B62B,10,3846779580,2025-11-24 03:53:00,,100,,,44100,6865283,,,,,,,17,8841,5,File,2010
