Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Perder para Ganar,Sabino,Hip Hop/Rap,Perder para Ganar,3:02,PRE_RAW,05 Perder para Ganar.mp3,Sabino,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sabino.xml,Sabino,100,True,1,97,256,Se encuentra en spotify,,,2024-09-26 20:59:50,2025-10-17 06:54:16,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Sabino/Perder%20para%20Ganar/05%20Perder%20para%20Ganar.mp3,,2931,59AFCA84C1366BE7,3,3847096039,2025-11-27 19:47:19,,100,,,44100,6000163,,,,,,,14,9571,5,File,2023
Yang,Sabino,Hip Hop/Rap,Culpablo,2:05,PRE_RAW,01 Culpablo.mp3,Sabino,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sabino.xml,Sabino,100,,1,80,256,Se encuentra en spotify,,,2024-09-26 20:59:51,2025-10-17 06:54:15,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Sabino/Yang/01%20Culpablo.mp3,,3324,637C6295CC712114,3,3835428046,2025-07-15 17:40:46,,100,,,44100,4064617,,,,,,,15,9591,1,File,2021
Yang,Sabino,Hip Hop/Rap,¡Súbele a la Mú!,2:33,PRE_RAW,02 ¡Súbele a la Mú!.mp3,Sabino,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sabino.xml,Sabino,100,,1,90,256,Se encuentra en spotify,,,2024-09-26 20:59:51,2025-10-17 06:54:15,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Sabino/Yang/02%20%C2%A1S%C3%BAbele%20a%20la%20M%C3%BA!.mp3,,4571,2571152B700B7043,3,3842958170,2025-10-10 21:22:50,,100,,,44100,4940686,,,,,,,15,9593,2,File,2021
Yang,Sabino,Hip Hop/Rap,El Tiempo a Mi Favor,2:58,PRE_RAW,05 El Tiempo a Mi Favor.mp3,Sabino,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sabino.xml,Sabino,100,,1,82,256,Se encuentra en spotify,,Pablo Castañeda & Oliver García Cerón,2024-09-26 20:59:52,2025-10-17 06:54:15,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Sabino/Yang/05%20El%20Tiempo%20a%20Mi%20Favor.mp3,,5145,B3C58C750A5B43B4,1,3842958348,2025-10-10 21:25:48,,100,,,44100,5749840,,,,,,Tiempo a Mi Favor,15,9599,5,File,2021
Yang,Sabino,Hip Hop/Rap,Mala,3:09,PRE_RAW,08 Mala.mp3,Sabino,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sabino.xml,Sabino,100,,1,113,256,Se encuentra en spotify,,,2024-09-26 20:59:52,2025-10-17 06:54:15,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Sabino/Yang/08%20Mala.mp3,,3761,53DD57B5F01332F4,1,3842958736,2025-10-10 21:32:16,,100,,,44100,6117629,,,,,,,15,9605,8,File,2021
Yang,Sabino,Hip Hop/Rap,Niño Adentro,3:12,PRE_RAW,14 Niño Adentro.mp3,Sabino,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sabino.xml,Sabino,100,,1,68,256,Se encuentra en spotify,,,2024-09-26 20:59:53,2025-10-17 06:54:15,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Sabino/Yang/14%20Ni%C3%B1o%20Adentro.mp3,,2184,4D9B7E41EF88F2BB,3,3842960507,2025-10-10 22:01:47,,100,,,44100,6205424,,,,,,,15,9617,14,File,2021
Yin,Sabino,Hip Hop/Rap,La Magia,2:49,PRE_RAW,01 La Magia.mp3,Sabino,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sabino.xml,Sabino,100,,1,92,256,Se encuentra en spotify,,Pablo Castañeda Amutio & Daniel Salazar García,2024-09-26 20:59:54,2025-10-17 06:54:14,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Sabino/Yin/01%20La%20Magia.mp3,,3244,F7FC7F49D02AE236,2,3842907599,2025-10-10 07:19:59,,100,,,44100,5510126,,,,,,Magia,8,9621,1,File,2019
Yin,Sabino,Hip Hop/Rap,Película,3:56,PRE_RAW,04 Película.mp3,Sabino,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sabino.xml,Sabino,100,,1,130,256,Se encuentra en spotify,,"Pablo Castañeda Amutio, Daniel Salazar García & Manuel De Jesus Ferraz Rojas",2024-09-26 20:59:54,2025-10-17 06:54:14,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Sabino/Yin/04%20Pel%C3%ADcula.mp3,,2707,B23FA8A276138CAB,1,3842945605,2025-10-10 17:53:25,,100,,,44100,7670150,,,,,,,8,9627,4,File,2019
Yin,Sabino,Hip Hop/Rap,Tú,3:31,PRE_RAW,06 Tú.mp3,Sabino,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sabino.xml,Sabino,100,,1,186,256,Se encuentra en spotify,,Pablo Castañeda Amutio & Manuel De Jesus Ferraz Rojas,2024-09-26 20:59:55,2025-10-17 06:54:14,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Sabino/Yin/06%20T%C3%BA.mp3,,3278,A1CECE7AA542AB1B,3,3847103135,2025-11-27 21:45:35,,100,,,44100,6870165,,,,,,,8,9631,6,File,2019
GRAN,Sabino,Rap latino,Con Todo Respeto,2:13,PRE_RAW,01 Con Todo Respeto.m4a,Sabino,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sabino.xml,Sabino,100,,1,106,336,Se encuentra en spotify,,,2025-01-17 04:48:02,2025-10-17 06:54:16,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Sabino/GRAN/01%20Con%20Todo%20Respeto.m4a,,6080,91CC54B0623C163C,5,3842973777,2025-10-11 01:42:57,,100,,2024-11-29 12:00:00,48000,5681627,,,,,,,11,12851,1,File,2024
GRAN,Sabino,Alternativa y rock en español,Café Sin Ti,2:50,PRE_RAW,02 Café Sin Ti.m4a,Sabino,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sabino.xml,Sabino,100,,1,95,324,Se encuentra en spotify,,,2025-01-17 04:48:02,2025-10-17 06:54:16,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Sabino/GRAN/02%20Caf%C3%A9%20Sin%20Ti.m4a,,4316,E6F72019824A0F43,1,3842973947,2025-10-11 01:45:47,,100,,2024-11-01 12:00:00,48000,6975467,,,,,,,11,12857,2,File,2024
