Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Adapt,sakanaction,J-Rock,Caravan,4:19,PRE_RAW,02 Caravan.mp3,Sakanaction,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sakanaction.xml,sakanaction,100,,1,90,256,Se encuentra en spotify,,,2024-09-26 21:00:03,2025-10-17 06:54:13,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/sakanaction/Adapt/02%20Caravan.mp3,,7140,F28A6E9BA218D294,3,3845294139,2025-11-06 23:15:39,,100,,,44100,8412140,1,2025-08-04 22:11:04,,,,,8,9693,2,File,2022
Adapt,sakanaction,J-Rock,Tsuki No Wan,4:10,PRE_RAW,03 Tsuki No Wan.mp3,Sakanaction,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sakanaction.xml,sakanaction,100,,1,132,256,Se encuentra en spotify,,sakanaction & Yamaguchi Ichiro,2024-09-26 21:00:03,2025-10-17 06:54:13,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/sakanaction/Adapt/03%20Tsuki%20No%20Wan.mp3,,5064,337BFD89AAED6656,2,3843571045,2025-10-17 23:37:25,,100,,,44100,8119574,,,,,,,8,9695,3,File,2022
Good-Bye - Eureka - Single,sakanaction,J-Rock,Good-Bye,4:41,PRE_RAW,01 Good-Bye.mp3,Sakanaction,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sakanaction.xml,sakanaction,100,,1,152,256,Se encuentra en spotify,,山口　一郎,2024-09-26 21:00:03,2025-10-17 06:54:12,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/sakanaction/Good-Bye%20-%20Eureka%20-%20Single/01%20Good-Bye.mp3,,8688,61BF680486E370F4,5,3845282910,2025-11-06 20:08:30,,100,,,44100,9044147,,,,,,,3,9707,1,File,2014
Good-Bye - Eureka - Single,sakanaction,J-Rock,Eureka,5:33,PRE_RAW,02 Eureka.mp3,Sakanaction,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sakanaction.xml,sakanaction,100,,1,124,256,Se encuentra en spotify,,山口　一郎,2024-09-26 21:00:03,2025-10-17 06:54:12,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/sakanaction/Good-Bye%20-%20Eureka%20-%20Single/02%20Eureka.mp3,,3729,9EEDE345F4539DBA,9,3840191158,2025-09-08 20:45:58,,100,,,44100,10708458,,,,,,,3,9709,2,File,2014
Plateau - Single,sakanaction,J-Rock,Plateau,4:23,PRE_RAW,01 Plateau.mp3,Sakanaction,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sakanaction.xml,sakanaction,100,True,1,81,256,Se encuentra en spotify,,,2024-09-26 21:00:03,2025-10-17 06:54:11,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/sakanaction/Plateau%20-%20Single/01%20Plateau.mp3,,3065,1CF818EDE9C17E5B,4,3847199012,2025-11-29 00:23:32,,100,,,44100,8520229,1,2025-08-04 20:41:59,,,,,1,9713,1,File,2021
Sakanaction,sakanaction,J-Rock,Nantettatte Haru,4:28,PRE_RAW,05 Nantettatte Haru.mp3,Sakanaction,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sakanaction.xml,sakanaction,100,,1,126,256,Se encuentra en spotify,,Yamaguchi Ichiro,2024-09-26 21:00:05,2025-10-17 06:54:11,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/sakanaction/Sakanaction/05%20Nantettatte%20Haru.mp3,,1671,DBD9F8E74970B4BF,2,3847262391,2025-11-29 17:59:51,,100,,,44100,8652382,,,,,,,14,9723,5,File,2013
Sakanaction,sakanaction,J-Rock,M,3:52,PRE_RAW,07 M.mp3,Sakanaction,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sakanaction.xml,sakanaction,100,,1,136,256,Se encuentra en spotify,,Yamaguchi Ichiro,2024-09-26 21:00:05,2025-10-17 06:54:11,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/sakanaction/Sakanaction/07%20M.mp3,,2673,CBAE6D73523444FF,3,3841339434,2025-09-22 03:43:54,,100,,,44100,7490441,,,,,,,14,9727,7,File,2013
Sakanaction,sakanaction,J-Rock,Aoi,4:16,PRE_RAW,08 Aoi.mp3,Sakanaction,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sakanaction.xml,sakanaction,100,,1,82,256,Se encuentra en spotify,,Yamaguchi Ichiro,2024-09-26 21:00:05,2025-10-17 06:54:11,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/sakanaction/Sakanaction/08%20Aoi.mp3,,9192,EE9ED61A1A11397E,5,3839675303,2025-09-02 21:28:23,,100,,,44100,8249457,,,,,,,14,9729,8,File,2013
Shin Takara Jima - EP,sakanaction,J-Rock,Shin Takara Jima,5:06,PRE_RAW,01 Shin Takara Jima.mp3,Sakanaction,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sakanaction.xml,sakanaction,100,,1,158,256,Se encuentra en spotify,,Yamaguchi Ichiro,2024-09-26 21:00:07,2025-10-17 06:54:11,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/sakanaction/Shin%20Takara%20Jima%20-%20EP/01%20Shin%20Takara%20Jima.mp3,,11504,238023DC092E17AA,3,3844691312,2025-10-30 23:48:32,,100,,,44100,9890739,,,,,,,4,9743,1,File,2015
Shin Takara Jima - EP,sakanaction,J-Rock,'Kikitakatta Dance Music Liquidroom Ni',4:00,PRE_RAW,02 'Kikitakatta Dance Music Liquidro.mp3,Sakanaction,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sakanaction.xml,sakanaction,100,,1,120,256,Se encuentra en spotify,,山口　一郎,2024-09-26 21:00:07,2025-10-17 06:54:11,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/sakanaction/Shin%20Takara%20Jima%20-%20EP/02%20'Kikitakatta%20Dance%20Music%20Liquidro.mp3,,2579,0CC5786BB919720B,2,3836994242,2025-08-02 20:44:02,,100,,,44100,7780904,,,,,,,4,9745,2,File,2015
Shock! - Single,sakanaction,J-Rock,Shock!,5:05,PRE_RAW,01 Shock!.mp3,Sakanaction,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sakanaction.xml,sakanaction,100,True,1,136,256,Se encuentra en spotify,,,2024-09-26 21:00:08,2025-10-17 06:54:11,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/sakanaction/Shock!%20-%20Single/01%20Shock!.mp3,,8380,D1EBE3E5B65EB607,2,3839667863,2025-09-02 19:24:23,,100,,,44100,9849086,,,,,,,1,9751,1,File,2022
