Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
BABY ACTION,SCANDAL,J-Pop,BURN,5:19,PRE_RAW,05 BURN.mp3,Scandal,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Scandal.xml,SCANDAL,100,True,1,92,256,Se encuentra en spotify,,Youtorilon,2024-09-26 21:00:18,2025-10-17 06:54:06,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SCANDAL/BABY%20ACTION/05%20BURN.mp3,,13708,0F789B38D7BF2979,5,3848050339,2025-12-08 20:52:19,,100,,,44100,10283741,,,,,,,12,9845,5,File,2011
BABY ACTION,SCANDAL,J-Pop,アップルたちの伝言,4:18,PRE_RAW,06 アップルたちの伝言.mp3,Scandal,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Scandal.xml,SCANDAL,100,True,1,84,256,Se encuentra en spotify,,Keita Kawaguchi,2024-09-26 21:00:19,2025-10-17 06:54:06,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SCANDAL/BABY%20ACTION/06%20%E3%82%A2%E3%83%83%E3%83%97%E3%83%AB%E3%81%9F%E3%81%A1%E3%81%AE%E4%BC%9D%E8%A8%80.mp3,,16033,664EF5CC6CA0A7D7,5,3847276867,2025-11-29 22:01:07,,100,,,44100,8338576,,,,,,,12,9847,6,File,2011
BEST★SCANDAL,SCANDAL,J-Rock,SCANDAL BABY,5:04,PRE_RAW,01 SCANDAL BABY.mp3,Scandal,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Scandal.xml,SCANDAL,100,True,1,130,256,Se encuentra en spotify,,田鹿ゆういち,2024-09-26 21:00:20,2025-10-17 06:54:06,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SCANDAL/BEST%E2%98%85SCANDAL/01%20SCANDAL%20BABY.mp3,,13717,08341309135C2360,6,3848051104,2025-12-08 21:05:04,,100,,,44100,9858966,,,,,,,13,9861,1,File,2009
BEST★SCANDAL,SCANDAL,J-Rock,アナタガマワル,4:19,PRE_RAW,06 アナタガマワル.mp3,Scandal,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Scandal.xml,SCANDAL,100,True,1,95,256,Se encuentra en spotify,,A×S×E/一色徳保/TOMOMI＋一色徳保,2024-09-26 21:00:21,2025-10-17 06:54:06,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SCANDAL/BEST%E2%98%85SCANDAL/06%20%E3%82%A2%E3%83%8A%E3%82%BF%E3%82%AC%E3%83%9E%E3%83%AF%E3%83%AB.mp3,,11267,F1F206765341A436,6,3847091608,2025-11-27 18:33:28,,100,,,44100,8432895,,,,,,,13,9871,6,File,2009
BEST★SCANDAL,SCANDAL,J-Rock,マボロシナイト,3:50,PRE_RAW,09 マボロシナイト.mp3,Scandal,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Scandal.xml,SCANDAL,100,True,1,90,256,Se encuentra en spotify,,SCANDAL＋イイジマケン/イイジマケン/イイジマケン(飯島健),2024-09-26 21:00:22,2025-10-17 06:54:06,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SCANDAL/BEST%E2%98%85SCANDAL/09%20%E3%83%9E%E3%83%9C%E3%83%AD%E3%82%B7%E3%83%8A%E3%82%A4%E3%83%88.mp3,,13515,13DFE41EE640EE63,3,3829905969,2025-05-12 19:46:09,,100,,,44100,7489143,,,,,,,13,9877,9,File,2009
BEST★SCANDAL,SCANDAL,J-Rock,ひとつだけ,3:20,PRE_RAW,11 ひとつだけ.mp3,Scandal,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Scandal.xml,SCANDAL,100,True,1,168,256,Se encuentra en spotify,,HARUNA/蔦谷好位置/Tomohiro Okubo,2024-09-26 21:00:22,2025-10-17 06:54:06,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SCANDAL/BEST%E2%98%85SCANDAL/11%20%E3%81%B2%E3%81%A8%E3%81%A4%E3%81%A0%E3%81%91.mp3,,18114,EB7D3DCF8042D890,2,3825836731,2025-03-26 18:25:31,,100,,,44100,6547896,,,,,,,13,9881,11,File,2009
BEST★SCANDAL,SCANDAL,J-Rock,カゲロウ-album mix-,4:27,PRE_RAW,13 カゲロウ-album mix-.mp3,Scandal,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Scandal.xml,SCANDAL,100,True,1,167,256,Se encuentra en spotify,,Jin NAKAMURA,2024-09-26 21:00:22,2025-10-17 06:54:06,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SCANDAL/BEST%E2%98%85SCANDAL/13%20%E3%82%AB%E3%82%B2%E3%83%AD%E3%82%A6-album%20mix-.mp3,,14269,C79B9B762EABDE56,2,3846913658,2025-11-25 17:07:38,,100,,,44100,8671984,,,,,,,13,9885,13,File,2009
Count ZERO  Runners high 〜戦国BASARA4 EP〜,SCANDAL,J-Pop,Runners high,3:57,PRE_RAW,02 Runners high.mp3,Scandal,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Scandal.xml,Various Artists,100,True,1,84,256,Se encuentra en spotify,True,Yuichi Tajika,2024-09-26 21:00:23,2025-10-17 06:54:06,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Compilations/Count%20ZERO%20%20Runners%20high%20%E3%80%9C%E6%88%A6%E5%9B%BDBASARA4%20EP%E3%80%9C/02%20Runners%20high.mp3,,6580,9AD7561D4C269561,4,3834336111,2025-07-03 02:21:51,,100,,,44100,7726109,,,,,,,4,9887,2,File,2014
Departure - Single,SCANDAL,J-Rock,Departure,4:43,PRE_RAW,01 Departure.mp3,Scandal,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Scandal.xml,SCANDAL,100,True,1,125,256,Se encuentra en spotify,,MAMI,2024-09-26 21:00:23,2025-10-17 06:54:05,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SCANDAL/Departure%20-%20Single/01%20Departure.mp3,,9118,7E96A7E09391D885,4,3843124859,2025-10-12 19:40:59,,100,,,44100,9193165,,,,,,,3,9891,1,File,2009
Departure - Single,SCANDAL,J-Rock,Rainy,3:54,PRE_RAW,02 Rainy.mp3,Scandal,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Scandal.xml,SCANDAL,100,True,1,180,256,Se encuentra en spotify,,SCANDAL,2024-09-26 21:00:23,2025-10-17 06:54:05,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SCANDAL/Departure%20-%20Single/02%20Rainy.mp3,,8010,4FDA7CEBE1B6D447,3,3843584284,2025-10-18 03:18:04,,100,,,44100,7600736,,,,,,,3,9893,2,File,2014
