Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Anti-Hero - Single,SEKAI NO OWARI,J-Pop,Anti-Hero,3:35,PRE_RAW,01 Anti-Hero.mp3,Sekai no Owari,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sekai no Owari.xml,SEKAI NO OWARI,100,True,1,105,256,Se encuentra en spotify,,Fukase & Nakajin,2024-09-26 21:01:33,2025-10-17 06:53:59,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SEKAI%20NO%20OWARI/Anti-Hero%20-%20Single/01%20Anti-Hero.mp3,,4818,8B3D9172BBDBE327,8,3842278908,2025-10-03 00:41:48,,100,,,44100,7014362,,,,,,,3,10319,1,File,2015
Death Disco - Single,SEKAI NO OWARI,J-Pop,Death Disco,4:13,PRE_RAW,01 Death Disco.mp3,Sekai no Owari,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sekai no Owari.xml,SEKAI NO OWARI,100,True,1,130,256,Se encuentra en spotify,,"Nakajin, Fukase",2024-09-26 21:01:33,2025-10-17 06:53:59,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SEKAI%20NO%20OWARI/Death%20Disco%20-%20Single/01%20Death%20Disco.mp3,,5191,BA39FC316D352B85,6,3846486530,2025-11-20 18:28:50,,100,,,44100,8190530,,,,,,,1,10325,1,File,2013
Dragon Night - Single,SEKAI NO OWARI,J-Pop,Love the warz - rearranged,5:12,PRE_RAW,03 Love the warz - rearranged.mp3,Sekai no Owari,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sekai no Owari.xml,SEKAI NO OWARI,100,True,1,113,256,Se encuentra en spotify,,Nakajin/Fukase,2024-09-26 21:01:33,2025-10-17 06:53:58,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SEKAI%20NO%20OWARI/Dragon%20Night%20-%20Single/03%20Love%20the%20warz%20-%20rearranged.mp3,,7322,F59281BCDEEA68D1,3,3831496550,2025-05-31 05:35:50,,100,,,44100,10091795,,,,,,,3,10331,3,File,2014
Dropout - Single,SEKAI NO OWARI,J-Pop,Dropout,4:01,PRE_RAW,01 Dropout.mp3,Sekai no Owari,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sekai no Owari.xml,SEKAI NO OWARI,100,True,1,124,256,Se encuentra en spotify,,Fukase,2024-09-26 21:01:33,2025-10-17 06:53:58,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SEKAI%20NO%20OWARI/Dropout%20-%20Single/01%20Dropout.mp3,,8851,5287CE56978EC395,2,3841480720,2025-09-23 18:58:40,,100,,,44100,7835085,,,,,,,1,10333,1,File,2020
Earth,SEKAI NO OWARI,J-Pop,世界平和,4:59,PRE_RAW,06 世界平和.mp3,Sekai no Owari,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sekai no Owari.xml,SEKAI NO OWARI,100,True,1,90,256,Se encuentra en spotify,,深瀬慧,2024-09-26 21:01:34,2025-10-17 06:53:58,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SEKAI%20NO%20OWARI/Earth/06%20%E4%B8%96%E7%95%8C%E5%B9%B3%E5%92%8C.mp3,,6097,70F58DD5F2E96378,3,3847084911,2025-11-27 16:41:51,,100,,,44100,9629160,,,,,,,7,10345,6,File,2010
Eye,SEKAI NO OWARI,J-Pop,Love Song,4:00,PRE_RAW,01 Love Song.mp3,Sekai no Owari,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sekai no Owari.xml,SEKAI NO OWARI,100,True,1,112,256,Se encuentra en spotify,,"Saori, Nakajin & Fukase",2024-09-26 21:01:39,2025-10-17 06:53:58,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SEKAI%20NO%20OWARI/Eye/01%20Love%20Song.mp3,,6570,8E129EA53CE17305,6,3847088063,2025-11-27 17:34:23,,100,,,44100,7808382,,,,,,,13,10381,1,File,2019
Eye,SEKAI NO OWARI,J-Pop,Blue Flower,3:11,PRE_RAW,02 Blue Flower.mp3,Sekai no Owari,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sekai no Owari.xml,SEKAI NO OWARI,100,True,1,107,256,Se encuentra en spotify,,Fukase,2024-09-26 21:01:39,2025-10-17 06:53:58,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SEKAI%20NO%20OWARI/Eye/02%20Blue%20Flower.mp3,,3030,618D64AA1523660C,2,3843123806,2025-10-12 19:23:26,,100,,,44100,6258591,,,,,,,13,10383,2,File,2019
Habit - Single,SEKAI NO OWARI,J-Pop,Habit,4:15,PRE_RAW,01 Habit.mp3,Sekai no Owari,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sekai no Owari.xml,SEKAI NO OWARI,100,True,1,118,256,Se encuentra en spotify,,NAKAJIN,2024-09-26 21:01:42,2025-10-17 06:53:58,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SEKAI%20NO%20OWARI/Habit%20-%20Single/01%20Habit.mp3,,5024,573171A3186D14FF,4,3843584055,2025-10-18 03:14:15,,100,,,44100,8343497,,,,,,,3,10407,1,File,2022
Habit - Single,SEKAI NO OWARI,J-Pop,Eve,4:04,PRE_RAW,02 Eve.mp3,Sekai no Owari,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sekai no Owari.xml,SEKAI NO OWARI,100,True,1,110,256,Se encuentra en spotify,,Nakajin,2024-09-26 21:01:42,2025-10-17 06:53:58,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SEKAI%20NO%20OWARI/Habit%20-%20Single/02%20Eve.mp3,,2404,BDB98A6F45280E7B,3,3837782995,2025-08-11 23:49:55,,100,,,44100,7981542,,,,,,,3,10409,2,File,2022
INORI - Single,SEKAI NO OWARI,J-Pop,Never Ending World,4:30,PRE_RAW,03 Never Ending World.mp3,Sekai no Owari,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Sekai no Owari.xml,SEKAI NO OWARI,100,True,1,95,256,Se encuentra en spotify,,藤崎彩織,2024-09-26 21:01:42,2025-10-17 06:53:58,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SEKAI%20NO%20OWARI/INORI%20-%20Single/03%20Never%20Ending%20World.mp3,,8055,DF77065016378B5C,6,3839943474,2025-09-05 23:57:54,,100,,,44100,8684326,,,,,,,3,10417,3,File,2011
