Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
"Thank God, There Are Hundreds of Ways To Kill Enemies",SiM,J-Rock,Baseball Bat,4:06,PRE_RAW,05 Baseball Bat.m4a,SiM,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\SiM.xml,SiM,100,,1,90,323,Se encuentra en spotify,,ＳｉＭ,2025-01-17 17:05:38,2025-10-17 06:53:53,1,1,,,5,Archivo de audio AAC,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/Thank%20God,%20There%20Are%20Hundreds%20of%20Ways%20To/05%20Baseball%20Bat.m4a",,18410,62C2209693844A1B,6,3845730274,2025-11-12 00:24:34,,100,,2020-04-01 12:00:00,48000,10145127,,,,,,,17,13671,5,File,2020
Pandora,SiM,J-Rock,"Boring People, Fucking Grays",3:24,PRE_RAW,"06 Boring People, Fucking Grays.m4a",SiM,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\SiM.xml,SiM,100,,1,92,322,Se encuentra en spotify,,SiM,2025-01-17 18:19:48,2025-10-17 06:53:54,1,1,,,5,Archivo de audio AAC,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/Pandora/06%20Boring%20People,%20Fucking%20Grays.m4a",,9160,B402B8DD5EFE125D,3,3847191963,2025-11-28 22:26:03,,100,,2013-10-23 12:00:00,48000,8369726,,,,,,,13,13797,6,File,2013
Pandora,SiM,J-Rock,Rosso & Dry,4:59,PRE_RAW,09 Rosso & Dry.m4a,SiM,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\SiM.xml,SiM,100,,1,164,324,Se encuentra en spotify,,SiM,2025-01-17 18:19:49,2025-10-17 06:53:54,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/Pandora/09%20Rosso%20&%20Dry.m4a,,6055,292C64BCD3F69D50,4,3841340170,2025-09-22 03:56:10,,100,,2013-10-23 12:00:00,48000,12273089,,,,,,,13,13861,9,File,2013
"Thank God, There Are Hundreds of Ways To Kill Enemies",SiM,J-Rock,Captain Hook,3:39,PRE_RAW,10 Captain Hook.m4a,SiM,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\SiM.xml,SiM,100,,1,120,324,Se encuentra en spotify,,ＳｉＭ,2025-01-17 18:19:49,2025-10-17 06:53:52,1,1,,,5,Archivo de audio AAC,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/Thank%20God,%20There%20Are%20Hundreds%20of%20Ways%20To/10%20Captain%20Hook.m4a",,15251,757683F24B0CF065,3,3845974302,2025-11-14 20:11:42,,100,,2020-06-17 12:00:00,48000,9061533,,,,,,,17,13881,10,File,2020
Playdead (Deluxe Edition),SiM,J-Rock,Red,3:54,PRE_RAW,02 Red.m4a,SiM,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\SiM.xml,SiM,100,,1,90,319,Se encuentra en spotify,,邦楽,2025-01-17 19:33:32,2025-10-17 06:53:54,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/Playdead%20(Deluxe%20Edition)/02%20Red.m4a,,16030,D2925E439F97C318,1,3840902542,2025-09-17 02:22:22,,100,,2023-07-14 12:00:00,48000,9536611,1,2025-09-17 02:13:59,,,,,17,14153,2,File,2023
Playdead (Deluxe Edition),SiM,J-Rock,Sweet Dreams,3:31,PRE_RAW,04 Sweet Dreams.m4a,SiM,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\SiM.xml,SiM,100,,1,93,326,Se encuentra en spotify,,邦楽,2025-01-17 19:33:32,2025-10-17 06:53:53,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/Playdead%20(Deluxe%20Edition)/04%20Sweet%20Dreams.m4a,,14475,C3C29C400F7FC856,2,3841227392,2025-09-20 20:36:32,,100,,2023-09-27 12:00:00,48000,8774823,,,,,,,17,14157,4,File,2023
Playdead (Deluxe Edition),SiM,J-Rock,Too Late,2:41,PRE_RAW,06 Too Late.m4a,SiM,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\SiM.xml,SiM,100,,1,89,321,Se encuentra en spotify,,邦楽,2025-01-17 19:33:32,2025-10-17 06:53:53,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/Playdead%20(Deluxe%20Edition)/06%20Too%20Late.m4a,,10869,67B593FEF8AF4AC7,1,3840903269,2025-09-17 02:34:29,,100,,2023-09-27 12:00:00,48000,6629186,,,,,,,17,14161,6,File,2023
Playdead (Deluxe Edition),SiM,J-Rock,Under the Tree,4:31,PRE_RAW,12 Under the Tree.m4a,SiM,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\SiM.xml,SiM,100,,1,80,320,Se encuentra en spotify,,SiM,2025-01-17 19:33:32,2025-10-17 06:53:53,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/Playdead%20(Deluxe%20Edition)/12%20Under%20the%20Tree.m4a,,13986,55BEDCE72EAD22AD,3,3847104604,2025-11-27 22:10:04,,100,,2023-09-27 12:00:00,48000,11066459,,,,,,,17,14173,12,File,2023
Champions - Single,SiM,J-Rock,Champions,4:01,PRE_RAW,01 Champions.m4a,SiM,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\SiM.xml,SiM,100,True,1,154,324,Se encuentra en spotify,,,2025-02-22 21:02:47,2025-10-17 06:53:56,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/Champions%20-%20Single/01%20Champions.m4a,,13772,3A9155E88140A5B8,2,3840904505,2025-09-17 02:55:05,,100,,2025-02-19 12:00:00,48000,9948208,,,,,,,1,19305,1,File,2025
LiFE and DEATH,SiM,Punk,"Get up, Get up",3:55,PRE_RAW,"01 Get up, Get up.mp3",SiM,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\SiM.xml,SiM,100,,1,160,320,Se encuentra en spotify,,SiM,2025-02-23 20:48:02,2025-10-17 06:53:54,1,1,,,5,Archivo de audio MPEG,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/LiFE%20and%20DEATH/01%20Get%20up,%20Get%20up.mp3",,14130,62A0F8F866119859,1,3840466682,2025-09-12 01:18:02,,100,,,44100,9529407,,,,,,,6,21621,1,File,2012
