Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
As long as I love - Scratch - EP,TK from 凛として時雨 with 稲葉浩志,J-Rock,As long as I love,4:10,PRE_RAW,01 As long as I love.mp3,TK from 凛として時雨,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\TK from 凛として時雨.xml,TK from 凛として時雨 with 稲葉浩志,100,True,1,168,256,Se encuentra en spotify,,,2024-09-26 21:02:14,2025-10-17 06:53:43,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TK%20from%20%E5%87%9B%E3%81%A8%E3%81%97%E3%81%A6%E6%99%82%E9%9B%A8%20with%20%E7%A8%B2%E8%91%89%E6%B5%A9%E5%BF%97/As%20long%20as%20I%20love%20-%20Scratch%20-%20EP/01%20As%20long%20as%20I%20love.mp3,,8653,82BDBBB324EC25A3,5,3844095500,2025-10-24 01:18:20,,100,,,44100,8177885,,,,,,,4,10685,1,File,2022
contrast - EP,TK from 凛として時雨,J-Rock,contrast,4:59,PRE_RAW,01 contrast.mp3,TK from 凛として時雨,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\TK from 凛として時雨.xml,TK from 凛として時雨,100,True,1,138,256,Se encuentra en spotify,,北嶋徹,2024-09-26 21:02:15,2025-10-17 06:53:47,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TK%20from%20%E5%87%9B%E3%81%A8%E3%81%97%E3%81%A6%E6%99%82%E9%9B%A8/contrast%20-%20EP/01%20contrast.mp3,,8801,2BCABE9E688F8AA7,4,3845730574,2025-11-12 00:29:34,,100,,,44100,9639263,,,,,,,5,10693,1,File,2014
contrast - EP,TK from 凛として時雨,J-Rock,Dramatic Slow Motion,3:53,PRE_RAW,02 Dramatic Slow Motion.mp3,TK from 凛として時雨,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\TK from 凛として時雨.xml,TK from 凛として時雨,100,True,1,150,256,Se encuentra en spotify,,北嶋徹,2024-09-26 21:02:15,2025-10-17 06:53:47,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TK%20from%20%E5%87%9B%E3%81%A8%E3%81%97%E3%81%A6%E6%99%82%E9%9B%A8/contrast%20-%20EP/02%20Dramatic%20Slow%20Motion.mp3,,9589,4242A699CD83DC9B,8,3843653973,2025-10-18 22:39:33,,100,,,44100,7510412,,,,,,,5,10695,2,File,2014
contrast - EP,TK from 凛として時雨,J-Rock,Crazy Tampern,3:21,PRE_RAW,03 Crazy Tampern.mp3,TK from 凛として時雨,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\TK from 凛として時雨.xml,TK from 凛として時雨,100,True,1,93,256,Se encuentra en spotify,,北嶋徹,2024-09-26 21:02:15,2025-10-17 06:53:47,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TK%20from%20%E5%87%9B%E3%81%A8%E3%81%97%E3%81%A6%E6%99%82%E9%9B%A8/contrast%20-%20EP/03%20Crazy%20Tampern.mp3,,17095,2D4E9A3D52A54BCA,6,3846407010,2025-11-19 20:23:30,,100,,,44100,6488375,,,,,,,5,10697,3,File,2014
egomaniac feedback,TK from 凛として時雨 with milet,J-Rock,Future Tone Bender,3:52,PRE_RAW,2-09 Future Tone Bender.mp3,TK from 凛として時雨,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\TK from 凛として時雨.xml,TK from 凛として時雨,100,True,1,77,256,Se encuentra en spotify,,,2024-09-26 21:02:21,2025-10-17 06:53:43,2,2,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TK%20from%20%E5%87%9B%E3%81%A8%E3%81%97%E3%81%A6%E6%99%82%E9%9B%A8/egomaniac%20feedback/2-09%20Future%20Tone%20Bender.mp3,,11319,F07FD9F06C3BBD1E,6,3847197627,2025-11-29 00:00:27,,100,,,44100,7509598,,,,,,,11,10735,9,File,2021
egomaniac feedback,TK from 凛として時雨,J-Rock,Wonder Palette,5:05,PRE_RAW,1-09 Wonder Palette.mp3,TK from 凛として時雨,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\TK from 凛として時雨.xml,TK from 凛として時雨,100,True,1,137,256,Se encuentra en spotify,,北嶋徹,2024-09-26 21:02:21,2025-10-17 06:53:47,2,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TK%20from%20%E5%87%9B%E3%81%A8%E3%81%97%E3%81%A6%E6%99%82%E9%9B%A8/egomaniac%20feedback/1-09%20Wonder%20Palette.mp3,,8374,1F813984CAD5D063,8,3845733771,2025-11-12 01:22:51,,100,,,44100,9852660,,,,,,,16,10737,9,File,2016
egomaniac feedback,TK from 凛として時雨,J-Rock,memento,6:36,PRE_RAW,1-11 memento.mp3,TK from 凛として時雨,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\TK from 凛として時雨.xml,TK from 凛として時雨,100,True,1,75,256,Se encuentra en spotify,,TK,2024-09-26 21:02:21,2025-10-17 06:53:47,2,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TK%20from%20%E5%87%9B%E3%81%A8%E3%81%97%E3%81%A6%E6%99%82%E9%9B%A8/egomaniac%20feedback/1-11%20memento.mp3,,5972,975291CAAF86C87D,3,3843122831,2025-10-12 19:07:11,,100,,,44100,12755799,,,,,,,16,10743,11,File,2018
Fantastic Magic,TK from 凛として時雨,J-Rock,Fantastic Magic,4:09,PRE_RAW,01 Fantastic Magic.mp3,TK from 凛として時雨,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\TK from 凛として時雨.xml,TK from 凛として時雨,100,True,1,148,256,Se encuentra en spotify,,,2024-09-26 21:02:23,2025-10-17 06:53:46,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TK%20from%20%E5%87%9B%E3%81%A8%E3%81%97%E3%81%A6%E6%99%82%E9%9B%A8/Fantastic%20Magic/01%20Fantastic%20Magic.mp3,,17456,C5734E1ECED9C8C8,3,3845981213,2025-11-14 22:06:53,,100,,,44100,8024028,,,,,,,10,10755,1,File,2014
Fantastic Magic,TK from 凛として時雨,J-Rock,kalei de scope,3:17,PRE_RAW,03 kalei de scope.mp3,TK from 凛として時雨,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\TK from 凛として時雨.xml,TK from 凛として時雨,100,True,1,136,256,Se encuentra en spotify,,北嶋徹,2024-09-26 21:02:23,2025-10-17 06:53:46,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TK%20from%20%E5%87%9B%E3%81%A8%E3%81%97%E3%81%A6%E6%99%82%E9%9B%A8/Fantastic%20Magic/03%20kalei%20de%20scope.mp3,,17870,555DAE73AAD5565D,4,3839677777,2025-09-02 22:09:37,,100,,,44100,6386463,,,,,,,10,10759,3,File,2014
Fantastic Magic,TK from 凛として時雨,J-Rock,an artist,4:01,PRE_RAW,04 an artist.mp3,TK from 凛として時雨,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\TK from 凛として時雨.xml,TK from 凛として時雨,100,True,1,129,256,Se encuentra en spotify,,北嶋徹,2024-09-26 21:02:24,2025-10-17 06:53:46,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TK%20from%20%E5%87%9B%E3%81%A8%E3%81%97%E3%81%A6%E6%99%82%E9%9B%A8/Fantastic%20Magic/04%20an%20artist.mp3,,9527,58CC2A775E330DE1,2,3834836680,2025-07-08 21:24:40,,100,,,44100,7783278,,,,,,artist,10,10761,4,File,2014
Fantastic Magic,TK from 凛として時雨,J-Rock,Shinkiro,5:04,PRE_RAW,06 Shinkiro.mp3,TK from 凛として時雨,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\TK from 凛として時雨.xml,TK from 凛として時雨,100,True,1,103,256,Se encuentra en spotify,,北嶋徹,2024-09-26 21:02:24,2025-10-17 06:53:46,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TK%20from%20%E5%87%9B%E3%81%A8%E3%81%97%E3%81%A6%E6%99%82%E9%9B%A8/Fantastic%20Magic/06%20Shinkiro.mp3,,3222,5D04EFEF76C4546C,4,3844173429,2025-10-24 22:57:09,,100,,,44100,9781958,,,,,,,10,10765,6,File,2014
Fantastic Magic,TK from 凛として時雨,J-Rock,Spiral Parade,4:14,PRE_RAW,08 Spiral Parade.mp3,TK from 凛として時雨,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\TK from 凛として時雨.xml,TK from 凛として時雨,100,True,1,141,256,Se encuentra en spotify,,北嶋徹,2024-09-26 21:02:25,2025-10-17 06:53:46,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TK%20from%20%E5%87%9B%E3%81%A8%E3%81%97%E3%81%A6%E6%99%82%E9%9B%A8/Fantastic%20Magic/08%20Spiral%20Parade.mp3,,9207,30CB8494F1771A9F,2,3837339346,2025-08-06 20:35:46,,100,,,44100,8206256,,,,,,,10,10769,8,File,2014
first death - Single,TK from 凛として時雨,J-Rock,first death,4:01,PRE_RAW,01 first death.mp3,TK from 凛として時雨,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\TK from 凛として時雨.xml,TK from 凛として時雨,100,True,1,82,256,Se encuentra en spotify,,,2024-09-26 21:02:25,2025-10-17 06:53:46,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TK%20from%20%E5%87%9B%E3%81%A8%E3%81%97%E3%81%A6%E6%99%82%E9%9B%A8/first%20death%20-%20Single/01%20first%20death.mp3,,17593,1ED2348CBE791E65,5,3844689822,2025-10-30 23:23:42,,100,,,44100,7862489,,,,,,,1,10775,1,File,2022
flowering,TK from 凛として時雨,J-Rock,flower,4:39,PRE_RAW,01 flower.mp3,TK from 凛として時雨,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\TK from 凛として時雨.xml,TK from 凛として時雨,100,True,1,135,256,Se encuentra en spotify,,Toru Kitajima,2024-09-26 21:02:25,2025-10-17 06:53:46,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TK%20from%20%E5%87%9B%E3%81%A8%E3%81%97%E3%81%A6%E6%99%82%E9%9B%A8/flowering/01%20flower.mp3,,8248,8EEE56F106EC96A6,4,3844175643,2025-10-24 23:34:03,,100,,,44100,8999816,,,,,,,10,10777,1,File,2012
flowering,TK from 凛として時雨,J-Rock,Abnormal trick,4:01,PRE_RAW,02 Abnormal trick.mp3,TK from 凛として時雨,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\TK from 凛として時雨.xml,TK from 凛として時雨,100,True,1,83,256,Se encuentra en spotify,,,2024-09-26 21:02:25,2025-10-17 06:53:46,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TK%20from%20%E5%87%9B%E3%81%A8%E3%81%97%E3%81%A6%E6%99%82%E9%9B%A8/flowering/02%20Abnormal%20trick.mp3,,18573,EC88CA6D23314DB3,3,3837429467,2025-08-07 21:37:47,,100,,,44100,7771860,,,,,,,10,10779,2,File,2012
