Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
ファタール - Fatal - EP,"GEMN, Kento Nakajima & Tatsuya Kitani",Alternativa,ファタール - Fatal,3:40,PRE_RAW,01 ファタール - Fatal.m4a,Tatsuya Kitani,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Tatsuya Kitani.xml,"GEMN, Kento Nakajima & Tatsuya Kitani",100,True,,78,326,Se encuentra en spotify,,Tatsuya Kitani,2025-01-16 05:57:12,2025-10-17 06:55:54,1,1,,,5,Archivo de audio AAC,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/GEMN,%20Kento%20Nakajima%20&%20Tatsuya%20Kitani/%E3%83%95%E3%82%A1%E3%82%BF%E3%83%BC%E3%83%AB%20-%20Fatal%20-%20EP/01%20%E3%83%95%E3%82%A1%E3%82%BF%E3%83%BC%E3%83%AB%20-%20Fatal.m4a",,9079,E27284FF19D60F2B,2,3831321737,2025-05-29 05:02:17,,100,,2024-07-04 12:00:00,48000,9041049,,,,,,,4,12609,1,File,2024
いらないもの - EP,Tatsuya Kitani & natori,Alternativa,いらないもの,3:06,PRE_RAW,01 いらないもの.m4a,Tatsuya Kitani,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Tatsuya Kitani.xml,,100,True,1,88,324,Se encuentra en spotify,True,,2025-01-17 05:56:59,2025-10-17 06:53:47,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Compilations/%E3%81%84%E3%82%89%E3%81%AA%E3%81%84%E3%82%82%E3%81%AE%20-%20EP/01%20%E3%81%84%E3%82%89%E3%81%AA%E3%81%84%E3%82%82%E3%81%AE.m4a,,8727,5B0EEEC5141F45FE,2,3827240031,2025-04-11 23:13:51,,100,,2024-10-04 12:00:00,48000,7768781,,,,,,,4,12975,1,File,2024
ROUNDABOUT,Tatsuya Kitani,Alternativa,Moonthief,2:32,PRE_RAW,03 Moonthief.m4a,Tatsuya Kitani,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Tatsuya Kitani.xml,Tatsuya Kitani,100,True,1,76,336,Se encuentra en spotify,,,2025-01-17 16:19:15,2025-10-17 06:53:49,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Tatsuya%20Kitani/ROUNDABOUT/03%20Moonthief.m4a,,6253,AE4E4B694460315E,5,3846152779,2025-11-16 21:46:19,,100,,2023-11-29 12:00:00,48000,6561099,,,,,,,10,13515,3,File,2023
BIPOLAR,Tatsuya Kitani,Alternativa,PINK,2:56,PRE_RAW,02 PINK.m4a,Tatsuya Kitani,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Tatsuya Kitani.xml,Tatsuya Kitani,100,True,1,104,331,Se encuentra en spotify,,,2025-01-17 19:18:39,2025-10-17 06:53:49,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Tatsuya%20Kitani/BIPOLAR/02%20PINK.m4a,,5585,864B7B69A0196E88,3,3844091431,2025-10-24 00:10:31,,100,,2022-05-25 12:00:00,48000,7456246,,,,,,,10,14113,2,File,2022
BIPOLAR,Tatsuya Kitani,Alternativa,夜警,3:09,PRE_RAW,06 夜警.m4a,Tatsuya Kitani,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Tatsuya Kitani.xml,Tatsuya Kitani,100,True,1,162,319,Se encuentra en spotify,,,2025-01-17 19:18:41,2025-10-17 06:53:49,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Tatsuya%20Kitani/BIPOLAR/06%20%E5%A4%9C%E8%AD%A6.m4a,,6914,C4C6B1B745E130CD,5,3845287953,2025-11-06 21:32:33,,100,,2022-05-25 12:00:00,48000,7743222,,,,,,,10,14133,6,File,2022
I DO (NOT) LOVE YOU.,Tatsuya Kitani,Alternativa,I DO NOT LOVE YOU.,3:27,PRE_RAW,13 I DO NOT LOVE YOU..m4a,Tatsuya Kitani,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Tatsuya Kitani.xml,Tatsuya Kitani,100,True,1,75,329,Se encuentra en spotify,,,2025-02-17 16:09:35,2025-10-17 06:53:49,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Tatsuya%20Kitani/I%20DO%20(NOT)%20LOVE%20YOU_/13%20I%20DO%20NOT%20LOVE%20YOU..m4a,,12629,013A9BF3F199F242,2,3840377819,2025-09-11 00:36:59,,100,,2018-09-26 12:00:00,48000,8671321,,,,,,,13,17537,13,File,2018
Rapport - Single,Tatsuya Kitani,Alternativa,Rapport,3:37,PRE_RAW,01 Rapport.m4a,Tatsuya Kitani,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Tatsuya Kitani.xml,Tatsuya Kitani,100,True,1,124,324,Se encuentra en spotify,,,2025-02-17 16:09:37,2025-10-17 06:53:49,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Tatsuya%20Kitani/Rapport%20-%20Single/01%20Rapport.m4a,,9326,24B8D6C9029BBECE,3,3842284297,2025-10-03 02:11:37,,100,,2021-11-23 12:00:00,48000,8912245,,,,,,,1,17655,1,File,2021
スカー - EP,Tatsuya Kitani,Alternativa,スカー,4:20,PRE_RAW,01 スカー.m4a,Tatsuya Kitani,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Tatsuya Kitani.xml,Tatsuya Kitani,100,True,1,97,323,Se encuentra en spotify,,Tatsuya Kitani,2025-02-17 16:09:38,2025-10-17 06:53:48,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Tatsuya%20Kitani/%E3%82%B9%E3%82%AB%E3%83%BC%20-%20EP/01%20%E3%82%B9%E3%82%AB%E3%83%BC.m4a,,9072,A0CA8458A29D77D1,3,3847113353,2025-11-28 00:35:53,,100,,2022-10-18 12:00:00,48000,10693010,,,,,,,5,17705,1,File,2022
タナトフォビア - Single,Tatsuya Kitani,Alternativa,タナトフォビア,3:35,PRE_RAW,01 タナトフォビア.m4a,Tatsuya Kitani,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Tatsuya Kitani.xml,Tatsuya Kitani,100,True,1,110,329,Se encuentra en spotify,,Tatsuya Kitani,2025-02-17 16:09:38,2025-10-17 06:53:48,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Tatsuya%20Kitani/%E3%82%BF%E3%83%8A%E3%83%88%E3%83%95%E3%82%A9%E3%83%93%E3%82%A2%20-%20Single/01%20%E3%82%BF%E3%83%8A%E3%83%88%E3%83%95%E3%82%A9%E3%83%93%E3%82%A2.m4a,,5634,96E0B58387DD5E1E,1,3829846241,2025-05-12 03:10:41,,100,,2021-12-18 12:00:00,48000,8954536,,,,,,,1,17707,1,File,2021
冷たい渦 - Single,Tatsuya Kitani,Alternativa,冷たい渦,3:25,PRE_RAW,01 冷たい渦.m4a,Tatsuya Kitani,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Tatsuya Kitani.xml,Tatsuya Kitani,100,True,1,128,327,Se encuentra en spotify,,,2025-02-17 16:09:38,2025-10-17 06:53:48,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Tatsuya%20Kitani/%E5%86%B7%E3%81%9F%E3%81%84%E6%B8%A6%20-%20Single/01%20%E5%86%B7%E3%81%9F%E3%81%84%E6%B8%A6.m4a,,4556,5BE211916559BBC0,4,3845649420,2025-11-11 01:57:00,,100,,2022-02-10 12:00:00,48000,8543595,,,,,,,2,17715,1,File,2022
