Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Amy - Single,THE ORAL CIGARETTES,J-Rock,Get Back,3:35,PRE_RAW,02 Get Back.mp3,The Oral Cigarettes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\The Oral Cigarettes.xml,THE ORAL CIGARETTES,100,True,1,96,256,Se encuentra en spotify,,山中 拓也,2024-09-26 21:01:50,2025-10-17 06:54:43,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/THE%20ORAL%20CIGARETTES/Amy%20-%20Single/02%20Get%20Back.mp3,,17676,5CE2FF4CD6370ABC,3,3841994247,2025-09-29 17:37:27,,100,,,44100,7045822,,,,ORAL CIGARETTES,ORAL CIGARETTES,,3,10473,2,File,2015
Black Memory - Single,THE ORAL CIGARETTES,J-Rock,Black Memory,4:11,PRE_RAW,01 Black Memory.mp3,The Oral Cigarettes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\The Oral Cigarettes.xml,THE ORAL CIGARETTES,100,True,1,91,256,Se encuentra en spotify,,山中拓也,2024-09-26 21:01:51,2025-10-17 06:54:43,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/THE%20ORAL%20CIGARETTES/Black%20Memory%20-%20Single/01%20Black%20Memory.mp3,,12225,B0E12D4FAC3C37EA,1,3819956509,2025-01-17 17:01:49,,100,,,44100,8104015,,,,ORAL CIGARETTES,ORAL CIGARETTES,,3,10477,1,File,2017
Black Memory - Single,THE ORAL CIGARETTES,J-Rock,Sesshoku,4:02,PRE_RAW,03 Sesshoku.mp3,The Oral Cigarettes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\The Oral Cigarettes.xml,THE ORAL CIGARETTES,100,True,1,98,256,Se encuentra en spotify,,山中 拓也,2024-09-26 21:01:51,2025-10-17 06:54:43,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/THE%20ORAL%20CIGARETTES/Black%20Memory%20-%20Single/03%20Sesshoku.mp3,,11112,DCB87E15A51908F3,3,3833723610,2025-06-26 00:13:30,,100,,,44100,7822306,,,,ORAL CIGARETTES,ORAL CIGARETTES,,3,10481,3,File,2017
Bug - Single,THE ORAL CIGARETTES,J-Rock,Bug,3:51,PRE_RAW,01 Bug.mp3,The Oral Cigarettes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\The Oral Cigarettes.xml,THE ORAL CIGARETTES,100,True,1,91,256,Se encuentra en spotify,,Takuya Yamanaka & JOGO,2024-09-26 21:01:51,2025-10-17 06:54:43,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/THE%20ORAL%20CIGARETTES/Bug%20-%20Single/01%20Bug.mp3,,7075,01595890A59A4389,10,3844362077,2025-10-27 04:21:17,,100,,,44100,7530090,,,,ORAL CIGARETTES,ORAL CIGARETTES,,1,10483,1,File,2022
Bullets Into the Pipe - EP,THE ORAL CIGARETTES feat. Kamui,J-Rock,Enemy,3:13,PRE_RAW,01 Enemy.mp3,The Oral Cigarettes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\The Oral Cigarettes.xml,THE ORAL CIGARETTES,100,True,1,149,256,Se encuentra en spotify,,,2024-09-26 21:01:52,2025-10-17 06:54:38,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/THE%20ORAL%20CIGARETTES/Bullets%20Into%20the%20Pipe%20-%20EP/01%20Enemy.mp3,,7888,15903F5EEFD50BDD,3,3846402151,2025-11-19 19:02:31,,100,,,44100,6321453,,,,ORAL CIGARETTES,ORAL CIGARETTES feat. Kamui,,4,10485,1,File,2022
Bullets Into the Pipe - EP,THE ORAL CIGARETTES feat. SKY-HI,J-Rock,Kantannakoto,3:33,PRE_RAW,02 Kantannakoto.mp3,The Oral Cigarettes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\The Oral Cigarettes.xml,THE ORAL CIGARETTES,100,True,1,134,256,Se encuentra en spotify,,,2024-09-26 21:01:52,2025-10-17 06:54:37,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/THE%20ORAL%20CIGARETTES/Bullets%20Into%20the%20Pipe%20-%20EP/02%20Kantannakoto.mp3,,24185,313866CDDEE13F95,1,3823772010,2025-03-02 20:53:30,,100,,,44100,6944220,,,,ORAL CIGARETTES,ORAL CIGARETTES feat. SKY-HI,,4,10487,2,File,2022
Bullets Into the Pipe - EP,THE ORAL CIGARETTES feat. Hiro,J-Rock,Black Memory,4:07,PRE_RAW,03 Black Memory.mp3,The Oral Cigarettes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\The Oral Cigarettes.xml,THE ORAL CIGARETTES,100,True,1,182,256,Se encuentra en spotify,,,2024-09-26 21:01:52,2025-10-17 06:54:38,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/THE%20ORAL%20CIGARETTES/Bullets%20Into%20the%20Pipe%20-%20EP/03%20Black%20Memory.mp3,,8886,08626DDF25DA7D71,5,3841995041,2025-09-29 17:50:41,,100,,,44100,8054318,,,,ORAL CIGARETTES,ORAL CIGARETTES feat. Hiro,,4,10489,3,File,2022
Bullets Into the Pipe - EP,THE ORAL CIGARETTES feat. MAH,J-Rock,Catch Me,3:23,PRE_RAW,04 Catch Me.mp3,The Oral Cigarettes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\The Oral Cigarettes.xml,THE ORAL CIGARETTES,100,True,1,92,256,Se encuentra en spotify,,,2024-09-26 21:01:52,2025-10-17 06:54:38,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/THE%20ORAL%20CIGARETTES/Bullets%20Into%20the%20Pipe%20-%20EP/04%20Catch%20Me.mp3,,13255,526B3BC39CBF178B,5,3842126531,2025-10-01 06:22:11,,100,,,44100,6644118,,,,ORAL CIGARETTES,ORAL CIGARETTES feat. MAH,,4,10491,4,File,2022
Don't you think - Single,THE ORAL CIGARETTES feat. Lozareena,J-Rock,Don't you think,4:18,PRE_RAW,01 Don't you think.mp3,The Oral Cigarettes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\The Oral Cigarettes.xml,THE ORAL CIGARETTES feat. Lozareena,100,True,1,90,256,Se encuentra en spotify,,,2024-09-26 21:01:52,2025-10-17 06:54:38,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/THE%20ORAL%20CIGARETTES%20feat.%20Lozareena/Don't%20you%20think%20-%20Single/01%20Don't%20you%20think.mp3,,7738,B77E903F02287406,2,3835886799,2025-07-21 01:06:39,,100,,,44100,8411319,,,,ORAL CIGARETTES feat. Lozareena,ORAL CIGARETTES feat. Lozareena,,1,10493,1,File,2019
Enchant - Single,THE ORAL CIGARETTES,J-Rock,Enchant,2:44,PRE_RAW,01 Enchant.mp3,The Oral Cigarettes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\The Oral Cigarettes.xml,THE ORAL CIGARETTES,100,True,1,85,256,Se encuentra en spotify,,Takuya Yamanaka & Yuki Tsujimura,2024-09-26 21:01:52,2025-10-17 06:53:47,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/THE%20ORAL%20CIGARETTES/Enchant%20-%20Single/01%20Enchant.mp3,,11367,C5A278DB8CDDFD45,1,3820349675,2025-01-22 06:14:35,,100,,,44100,5290011,,,Enchant - Single,ORAL CIGARETTES,THE ORAL CIGARETTES,Enchant,1,10495,1,File,2023
Fixion,THE ORAL CIGARETTES,J-Rock,Kizukeyo Baby,4:13,PRE_RAW,01 Kizukeyo Baby.mp3,The Oral Cigarettes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\The Oral Cigarettes.xml,THE ORAL CIGARETTES,100,True,1,142,256,Se encuentra en spotify,,山中拓也/THE ORAL CIGARETTES,2024-09-26 21:01:53,2025-10-17 06:54:42,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/THE%20ORAL%20CIGARETTES/Fixion/01%20Kizukeyo%20Baby.mp3,,14417,9CB0BA75F51BF73B,1,3831535323,2025-05-31 16:22:03,,100,,,44100,8253710,,,,ORAL CIGARETTES,ORAL CIGARETTES,,10,10497,1,File,2015
Fixion,THE ORAL CIGARETTES,J-Rock,Mirror,3:35,PRE_RAW,03 Mirror.mp3,The Oral Cigarettes,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\The Oral Cigarettes.xml,THE ORAL CIGARETTES,100,True,1,101,256,Se encuentra en spotify,,山中拓也/THE ORAL CIGARETTES,2024-09-26 21:01:53,2025-10-17 06:54:42,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/THE%20ORAL%20CIGARETTES/Fixion/03%20Mirror.mp3,,14904,8B89DAE7357923FC,1,3826715800,2025-04-05 22:36:40,,100,,,44100,7016544,,,,ORAL CIGARETTES,ORAL CIGARETTES,,10,10501,3,File,2016
