Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Caught It - Single,"VOILÀ, Chrissy Costanza & Against The Current",Rock,Caught It,2:57,PRE_RAW,01 Caught It.mp3,Voilá,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Voilá.xml,"VOILÀ, Chrissy Costanza & Against The Current",100,True,1,140,256,Se encuentra en spotify,,"Chrissy Costanza, Gus Ross & Luke Eisner",2024-09-26 21:03:27,2025-10-17 06:53:33,1,1,,,5,Archivo de audio MPEG,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/VOIL%C3%80,%20Chrissy%20Costanza%20&%20Against%20The%20Cu/Caught%20It%20-%20Single/01%20Caught%20It.mp3",,9798,1C8BE9B4A3408DBA,8,3845995366,2025-11-15 02:02:46,,100,,,44100,5722904,,,,,,,1,11373,1,File,2024
Long Story Short,VOILÀ,Pop,Figure You Out,2:43,PRE_RAW,03 Figure You Out.m4a,Voilá,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Voilá.xml,VOILÀ,100,True,1,95,256,Se encuentra en spotify,,"Gus Ross, Luke Eisner, Lisa Hickox & Jackson Wise",2025-01-15 23:45:36,2025-10-17 06:53:35,1,1,,,5,Archivo de audio AAC comprado,1,file://localhost/F:/iTunes/iTunes%20Media/Music/VOIL%C3%80/Long%20Story%20Short/03%20Figure%20You%20Out.m4a,,5490,5377BB20109C627A,6,3846401225,2025-11-19 18:47:05,True,100,,2020-04-10 12:00:00,44100,6032084,1,2025-11-20 18:32:44,Long Story Short,,VOILÀ,Figure You Out,8,11797,3,File,2020
VII,Chrissy Costanza & VOILÀ,Rock,7 Minutes in Hell,3:06,PRE_RAW,02 7 Minutes in Hell.m4a,Voilá,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Voilá.xml,Chrissy Costanza,100,,1,82,320,Se encuentra en spotify,,"Chrissy Costanza, Luke Eisner, Gus Ross & Hosu",2025-02-10 01:51:15,2025-10-17 06:56:43,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Chrissy%20Costanza/VII/02%207%20Minutes%20in%20Hell.m4a,,7194,D1F5BBBB23AFCED1,6,3847192845,2025-11-28 22:40:45,,100,,2024-07-19 12:00:00,48000,7538845,,,,,,,7,16149,2,File,2024
after(h)ours - Single,VOILÀ & Chri$tian Gate$,Pop,after(h)ours,2:49,PRE_RAW,01 after(h)ours.m4a,Voilá,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Voilá.xml,VOILÀ & Chri$tian Gate$,100,True,1,165,329,Se encuentra en spotify,,,2025-02-22 21:02:47,2025-10-17 06:53:34,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/VOIL%C3%80%20&%20Chri$tian%20Gate$/after(h)ours%20-%20Single/01%20after(h)ours.m4a,,6096,31F8C56A870626B1,14,3845993719,2025-11-15 01:35:19,,100,,2025-02-21 12:00:00,48000,7076219,,,,,,,1,19301,1,File,2025
Better Off - Single,VOILÀ,Pop,Better Off,2:24,PRE_RAW,01 Better Off.m4a,Voilá,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Voilá.xml,VOILÀ,100,True,1,81,333,Se encuentra en spotify,,,2025-02-22 21:02:47,2025-10-17 06:53:36,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/VOIL%C3%80/Better%20Off%20-%20Single/01%20Better%20Off.m4a,,2640,16E3186A4E032120,5,3845993370,2025-11-15 01:29:30,,100,,2025-01-31 12:00:00,48000,6121232,,,,,,,1,19303,1,File,2025
imposter - Single,angelbaby & VOILÀ,Alternativa,imposter,2:28,PRE_RAW,01 imposter.m4a,Voilá,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Voilá.xml,angelbaby & VOILÀ,100,True,1,85,328,Se encuentra en spotify,,,2025-03-15 03:27:37,2025-10-17 06:57:23,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/angelbaby%20&%20VOIL%C3%80/imposter%20-%20Single/01%20imposter.m4a,,4294,83B2380A25F52A2B,6,3845992578,2025-11-15 01:16:18,,100,,2025-03-07 12:00:00,48000,6183558,,,,,,,1,24491,1,File,2025
I Hope That It’s Fatal - Single,VOILÀ,Rock,I Hope That It’s Fatal,3:32,PRE_RAW,01 I Hope That It_s Fatal.m4a,Voilá,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Voilá.xml,VOILÀ,100,True,1,130,322,Se encuentra en spotify,,,2025-03-23 18:02:22,2025-10-17 06:53:35,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/VOIL%C3%80/I%20Hope%20That%20It_s%20Fatal%20-%20Single/01%20I%20Hope%20That%20It_s%20Fatal.m4a,,7384,3AC6E15A7CBE95B2,12,3846052153,2025-11-15 17:49:13,,100,,2025-03-14 12:00:00,48000,8712705,,,,,,,1,24497,1,File,2025
Déjà Vu - EP,VOILÀ,Pop,Take a Number,3:01,PRE_RAW,01 Take a Number.m4a,Voilá,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Voilá.xml,VOILÀ,100,True,1,94,328,Se encuentra en spotify,,,2025-04-15 04:14:34,2025-10-17 06:53:36,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/VOIL%C3%80/D%C3%A9j%C3%A0%20Vu%20-%20EP/01%20Take%20a%20Number.m4a,,3169,383FF8FD50856796,4,3845992252,2025-11-15 01:10:52,,100,,2019-08-16 12:00:00,48000,7580051,,,,,,,6,24789,1,File,2019
Déjà Vu - EP,VOILÀ,Pop,Déjà Vu,2:57,PRE_RAW,02 Déjà Vu.m4a,Voilá,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Voilá.xml,VOILÀ,100,True,1,135,330,Se encuentra en spotify,,,2025-04-15 04:14:34,2025-10-17 06:53:36,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/VOIL%C3%80/D%C3%A9j%C3%A0%20Vu%20-%20EP/02%20D%C3%A9j%C3%A0%20Vu.m4a,,3699,CD1D52826647C561,5,3845992429,2025-11-15 01:13:49,,100,,2019-10-25 12:00:00,48000,7462674,,,,,,,6,24791,2,File,2019
Déjà Vu - EP,VOILÀ,Pop,Bad For Me,3:07,PRE_RAW,03 Bad For Me.m4a,Voilá,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Voilá.xml,VOILÀ,100,True,1,94,330,Se encuentra en spotify,,,2025-04-15 04:16:16,2025-10-17 06:53:36,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/VOIL%C3%80/D%C3%A9j%C3%A0%20Vu%20-%20EP/03%20Bad%20For%20Me.m4a,,4392,70F7EB7DD61C2EF6,6,3845994229,2025-11-15 01:43:49,,100,,2019-10-25 12:00:00,48000,7838828,,,,,,,6,24793,3,File,2019
