Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
UNDEAD - Single,YOASOBI,J-Pop,UNDEAD,3:02,PRE_RAW,01 UNDEAD.mp3,Yoasobi,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Yoasobi.xml,YOASOBI,100,True,1,144,256,Se encuentra en spotify,,Ayase,2024-09-26 21:03:36,2025-10-17 06:53:32,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/YOASOBI/UNDEAD%20-%20Single/01%20UNDEAD.mp3,,14097,CBE9A8FAF064C10B,6,3844249971,2025-10-25 20:12:51,,100,,,44100,5955083,,,,,,,1,11477,1,File,2024
モノトーン - Single,YOASOBI,J-Pop,モノトーン,3:30,PRE_RAW,01 モノトーン.m4a,Yoasobi,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Yoasobi.xml,YOASOBI,100,True,1,125,327,Se encuentra en spotify,,Ayase,2025-01-16 05:57:12,2025-10-17 06:53:30,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/YOASOBI/%E3%83%A2%E3%83%8E%E3%83%88%E3%83%BC%E3%83%B3%20-%20Single/01%20%E3%83%A2%E3%83%8E%E3%83%88%E3%83%BC%E3%83%B3.m4a,,9954,9F6A0C204A4DF6B8,2,3835096855,2025-07-11 21:40:55,,100,,2024-10-01 12:00:00,48000,8741185,,,,,,,1,12611,1,File,2024
Biri-Biri - Single,YOASOBI,J-Pop,Biri-Biri,3:07,PRE_RAW,01 Biri-Biri.m4a,Yoasobi,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Yoasobi.xml,YOASOBI,100,True,1,86,337,Se encuentra en spotify,,Ayase,2025-01-17 17:01:53,2025-10-17 06:53:32,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/YOASOBI/Biri-Biri%20-%20Single/01%20Biri-Biri.m4a,,4660,FD61861CDADE26ED,3,3827295115,2025-04-12 14:31:55,,100,,2023-11-18 12:00:00,48000,8013303,,,,,,,2,13529,1,File,2023
怪物 - Single,YOASOBI,J-Pop,怪物,3:26,PRE_RAW,01 怪物.m4a,Yoasobi,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Yoasobi.xml,YOASOBI,100,True,1,170,326,Se encuentra en spotify,,Ayase,2025-02-08 06:36:29,2025-10-17 06:53:29,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/YOASOBI/%E6%80%AA%E7%89%A9%20-%20Single/01%20%E6%80%AA%E7%89%A9.m4a,,6758,D080A9D34901635B,3,3846153464,2025-11-16 21:57:44,,100,,2021-01-06 12:00:00,48000,8477979,,,,,,,1,15683,1,File,2021
Romance - Single,YOASOBI,J-Pop,Romance,2:48,PRE_RAW,01 Romance.m4a,Yoasobi,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Yoasobi.xml,YOASOBI,100,True,1,130,330,Se encuentra en spotify,,Ayase,2025-02-08 06:37:03,2025-10-17 06:53:32,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/YOASOBI/Romance%20-%20Single/01%20Romance.m4a,,8252,02604F74ACAE7223,5,3842205587,2025-10-02 04:19:47,,100,,2021-09-15 12:00:00,48000,7086961,,,,,,,1,15685,1,File,2021
アイドル - Single,YOASOBI,J-Pop,アイドル,3:33,PRE_RAW,01 アイドル.m4a,Yoasobi,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Yoasobi.xml,YOASOBI,100,True,1,166,329,Se encuentra en spotify,,Ayase,2025-02-08 06:38:55,2025-10-17 06:53:32,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/YOASOBI/%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB%20-%20Single/01%20%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB.m4a,,8774,B7F856C01E06C060,4,3846178597,2025-11-17 04:56:37,,100,,2023-04-12 12:00:00,48000,8908834,,,,,,,1,15687,1,File,2023
祝福 - Single,YOASOBI,J-Pop,祝福,3:16,PRE_RAW,01 祝福.m4a,Yoasobi,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Yoasobi.xml,YOASOBI,100,True,1,170,328,Se encuentra en spotify,,Ayase,2025-02-08 06:40:53,2025-10-17 06:53:29,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/YOASOBI/%E7%A5%9D%E7%A6%8F%20-%20Single/01%20%E7%A5%9D%E7%A6%8F.m4a,,8392,F896A2A8280E571A,3,3841307144,2025-09-21 18:45:44,,100,,2022-10-01 12:00:00,48000,8200923,,,,,,,1,15689,1,File,2022
ハルジオン - Single,YOASOBI,J-Pop,ハルジオン,3:18,PRE_RAW,01 ハルジオン.mp3,Yoasobi,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Yoasobi.xml,YOASOBI,100,True,1,130,256,Se encuentra en spotify,,Ayase,2025-04-29 18:47:55,2025-10-17 06:53:31,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/YOASOBI/%E3%83%8F%E3%83%AB%E3%82%B8%E3%82%AA%E3%83%B3%20-%20Single/01%20%E3%83%8F%E3%83%AB%E3%82%B8%E3%82%AA%E3%83%B3.mp3,,9017,BE7E071F4F4E9D90,1,3833360208,2025-06-21 19:16:48,,100,,,44100,6396599,,,,,,,1,25589,1,File,2020
夜に駆ける - Single,YOASOBI,J-Pop,夜に駆ける,4:21,PRE_RAW,01 夜に駆ける.mp3,Yoasobi,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Yoasobi.xml,YOASOBI,100,True,1,130,256,Se encuentra en spotify,,Ayase,2025-04-29 18:47:55,2025-10-17 06:53:29,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/YOASOBI/%E5%A4%9C%E3%81%AB%E9%A7%86%E3%81%91%E3%82%8B%20-%20Single/01%20%E5%A4%9C%E3%81%AB%E9%A7%86%E3%81%91%E3%82%8B.mp3,,8113,2965897477359945,1,3832689013,2025-06-14 00:50:13,,100,,,44100,8419847,,,,,,,1,25591,1,File,2019
たぶん - Single,YOASOBI,J-Pop,たぶん,4:18,PRE_RAW,01 たぶん.mp3,Yoasobi,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Yoasobi.xml,YOASOBI,100,True,1,90,256,Se encuentra en spotify,,Ayase,2025-04-29 18:48:26,2025-10-17 06:53:31,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/YOASOBI/%E3%81%9F%E3%81%B6%E3%82%93%20-%20Single/01%20%E3%81%9F%E3%81%B6%E3%82%93.mp3,,3419,B7DA3441D70BA20A,4,3847112851,2025-11-28 00:27:31,,100,,,44100,8379706,,,,,,,1,25593,1,File,2020
