Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
ANTHESIS - EP,ナノ,J-Rock,AUTOBIOGRAPHY,4:32,PRE_RAW,01 AUTOBIOGRAPHY.mp3,ナノ,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\ナノ.xml,ナノ,100,True,1,128,256,Se encuentra en spotify,,,2024-09-26 20:54:13,2025-10-17 06:53:20,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/ANTHESIS%20-%20EP/01%20AUTOBIOGRAPHY.mp3,,9622,A1E7B121F7273024,6,3845722241,2025-11-11 22:10:41,,100,,,44100,8804415,,,,,,,6,8073,1,File,2021
ANTHESIS - EP,ナノ,J-Rock,All I Need,3:57,PRE_RAW,02 All I Need.mp3,ナノ,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\ナノ.xml,ナノ,100,True,1,104,256,Se encuentra en spotify,,,2024-09-26 20:54:13,2025-10-17 06:53:20,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/ANTHESIS%20-%20EP/02%20All%20I%20Need.mp3,,4920,46943ABC8D1135F3,5,3841242996,2025-09-21 00:56:36,,100,,,44100,7674250,,,,,,,6,8075,2,File,2021
ANTHESIS - EP,ナノ,J-Rock,LINE OF FIRE,4:34,PRE_RAW,03 LINE OF FIRE.mp3,ナノ,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\ナノ.xml,ナノ,100,True,1,106,256,Se encuentra en spotify,,,2024-09-26 20:54:14,2025-10-17 06:53:20,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/ANTHESIS%20-%20EP/03%20LINE%20OF%20FIRE.mp3,,7303,3F5C155DFDF56AE5,4,3834326198,2025-07-02 23:36:38,,100,,,44100,8885498,,,,,,,6,8077,3,File,2021
ANTHESIS - EP,ナノ,J-Rock,Hourglass Story,5:04,PRE_RAW,04 Hourglass Story.mp3,ナノ,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\ナノ.xml,ナノ,100,True,1,85,256,Se encuentra en spotify,,,2024-09-26 20:54:14,2025-10-17 06:53:19,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/ANTHESIS%20-%20EP/04%20Hourglass%20Story.mp3,,6271,3700A57CA4A0ACD7,4,3846410971,2025-11-19 21:29:31,,100,,,44100,9835104,1,2025-09-23 18:25:56,,,,,6,8079,4,File,2021
ANTHESIS - EP,ナノ,J-Rock,Remember again.,4:34,PRE_RAW,05 Remember again..mp3,ナノ,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\ナノ.xml,ナノ,100,True,1,113,256,Se encuentra en spotify,,,2024-09-26 20:54:14,2025-10-17 06:53:19,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/ANTHESIS%20-%20EP/05%20Remember%20again..mp3,,6604,B873207F6E100221,3,3844418062,2025-10-27 19:54:22,,100,,,44100,8873798,,,,,,,6,8081,5,File,2021
Born to Be (Mahou Sensou Ver.) - Single,ナノ,Anime,Born to Be,3:34,PRE_RAW,01 Born to Be.mp3,ナノ,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\ナノ.xml,ナノ,100,True,1,96,256,Se encuentra en spotify,,WEST GROUND,2024-09-26 20:54:14,2025-10-17 06:53:19,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/Born%20to%20Be%20(Mahou%20Sensou%20Ver.)%20-%20Single/01%20Born%20to%20Be.mp3,,10244,85A3964E368317D4,2,3829915142,2025-05-12 22:19:02,,100,,,44100,6971242,,,,,,,2,8085,1,File,2014
Born to Be (Mahou Sensou Ver.) - Single,ナノ,Anime,New World,3:28,PRE_RAW,02 New World.mp3,ナノ,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\ナノ.xml,ナノ,100,True,1,140,256,Se encuentra en spotify,,Nano,2024-09-26 20:54:15,2025-10-17 06:53:19,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/Born%20to%20Be%20(Mahou%20Sensou%20Ver.)%20-%20Single/02%20New%20World.mp3,,9337,326DC0A09ED406F7,1,3832968121,2025-06-17 06:22:01,,100,,,44100,6757246,,,,,,,2,8087,2,File,2014
Born to Be (nano Ver.) - Single,ナノ,Anime,Happy Ending Simulator,3:56,PRE_RAW,02 Happy Ending Simulator.mp3,ナノ,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\ナノ.xml,ナノ,100,True,1,178,256,Se encuentra en spotify,,Nano,2024-09-26 20:54:15,2025-10-17 06:53:19,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/Born%20to%20Be%20(nano%20Ver.)%20-%20Single/02%20Happy%20Ending%20Simulator.mp3,,7675,FBE801CC63580CB8,2,3835864255,2025-07-20 18:50:55,,100,,,44100,7728197,,,,,,,2,8091,2,File,2014
Bull's Eye (Anime Ver.) - Single,ナノ,Anime,Last Refrain,4:50,PRE_RAW,02 Last Refrain.mp3,ナノ,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\ナノ.xml,ナノ,100,True,1,62,256,Se encuentra en spotify,,WEST GROUND,2024-09-26 20:54:16,2025-10-17 06:53:19,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/Bull's%20Eye%20(Anime%20Ver.)%20-%20Single/02%20Last%20Refrain.mp3,,3899,E6692EC5A5F46452,5,3843574012,2025-10-18 00:26:52,,100,,,44100,9411511,,,,,,,2,8095,2,File,2015
Bull's Eye (nano Ver.) - Single,ナノ,Anime,Bull's Eye,3:49,PRE_RAW,01 Bull's Eye.mp3,ナノ,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\ナノ.xml,ナノ,100,True,1,99,256,Se encuentra en spotify,,WEST GROUND,2024-09-26 20:54:16,2025-10-17 06:53:19,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/Bull's%20Eye%20(nano%20Ver.)%20-%20Single/01%20Bull's%20Eye.mp3,,14365,426D6B114AFD6F98,4,3830155841,2025-05-15 17:10:41,,100,,,44100,7431124,,,,,,,2,8097,1,File,2015
