Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Ototune,フレデリック,J-Rock,Future Ice Cream,5:05,PRE_RAW,01 Future Ice Cream.m4a,フレデリック,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\フレデリック.xml,フレデリック,100,True,1,90,2304,Se encuentra en spotify,,,2024-09-26 20:50:33,2025-10-17 06:53:10,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%95%E3%83%AC%E3%83%87%E3%83%AA%E3%83%83%E3%82%AF/Ototune/01%20Future%20Ice%20Cream.m4a,,10036,431284E8A372B70D,10,3847102042,2025-11-27 21:27:22,,100,,2015-11-25 12:00:00,48000,71511437,,,,,,,8,6337,1,File,2015
Ototune,フレデリック,J-Rock,For You Ufo,4:12,PRE_RAW,02 For You Ufo.m4a,フレデリック,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\フレデリック.xml,フレデリック,100,True,1,135,2304,Se encuentra en spotify,,,2024-09-26 20:50:35,2025-10-17 06:53:10,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%95%E3%83%AC%E3%83%87%E3%83%AA%E3%83%83%E3%82%AF/Ototune/02%20For%20You%20Ufo.m4a,,9943,617BF64A7372C77D,13,3837790881,2025-08-12 02:01:21,,100,,2015-11-25 12:00:00,48000,59588808,,,,,,,8,6339,2,File,2015
Ototune,フレデリック,J-Rock,Uso,4:44,PRE_RAW,05 Uso.m4a,フレデリック,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\フレデリック.xml,フレデリック,100,True,1,127,2304,Se encuentra en spotify,,,2024-09-26 20:50:40,2025-10-17 06:53:10,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%95%E3%83%AC%E3%83%87%E3%83%AA%E3%83%83%E3%82%AF/Ototune/05%20Uso.m4a,,4442,489AB2F423E9CB27,12,3846150989,2025-11-16 21:16:29,,100,,2015-11-25 12:00:00,48000,65533879,,,,,,,8,6345,5,File,2015
Owarase Night,フレデリック,J-Rock,Owarase Night,4:23,PRE_RAW,01 Owarase Night.mp3,フレデリック,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\フレデリック.xml,フレデリック,100,True,1,150,256,Se encuentra en spotify,,三原 康司,2024-09-26 20:50:44,2025-10-17 06:53:10,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%95%E3%83%AC%E3%83%87%E3%83%AA%E3%83%83%E3%82%AF/Owarase%20Night/01%20Owarase%20Night.mp3,,7421,751552DAFE40C535,5,3846408621,2025-11-19 20:50:21,,100,,,44100,8539492,,,,,,,7,6353,1,File,2015
Owarase Night,フレデリック,J-Rock,DNA Desu,3:38,PRE_RAW,02 DNA Desu.mp3,フレデリック,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\フレデリック.xml,フレデリック,100,True,1,160,256,Se encuentra en spotify,,[Source from www.alljpnews.com],2024-09-26 20:50:44,2025-10-17 06:53:09,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%95%E3%83%AC%E3%83%87%E3%83%AA%E3%83%83%E3%82%AF/Owarase%20Night/02%20DNA%20Desu.mp3,,8055,E3977B91B0C0FB08,6,3845720361,2025-11-11 21:39:21,,100,,,44100,7095856,,,,,,,7,6355,2,File,2015
Owarase Night,フレデリック,J-Rock,Sweater Wo Nugasanaide,4:19,PRE_RAW,05 Sweater Wo Nugasanaide.mp3,フレデリック,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\フレデリック.xml,フレデリック,100,True,1,128,256,Se encuentra en spotify,,[Source from www.alljpnews.com],2024-09-26 20:50:44,2025-10-17 06:53:09,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%95%E3%83%AC%E3%83%87%E3%83%AA%E3%83%83%E3%82%AF/Owarase%20Night/05%20Sweater%20Wo%20Nugasanaide.mp3,,6382,EF2C1926872ECBD9,1,3820350239,2025-01-22 06:23:59,,100,,,44100,8406590,,,,,,,7,6361,5,File,2015
Owarase Night,フレデリック,J-Rock,Ai No Meiwaku,3:26,PRE_RAW,06 Ai No Meiwaku.mp3,フレデリック,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\フレデリック.xml,フレデリック,100,True,1,94,256,Se encuentra en spotify,,[Source from www.alljpnews.com],2024-09-26 20:50:44,2025-10-17 06:53:09,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%95%E3%83%AC%E3%83%87%E3%83%AA%E3%83%83%E3%82%AF/Owarase%20Night/06%20Ai%20No%20Meiwaku.mp3,,6781,FCB5E4DEC4207F7C,3,3841831173,2025-09-27 20:19:33,,100,,,44100,6704651,,,,,,,7,6363,6,File,2015
Owarase Night,フレデリック,J-Rock,Sayonara Curtain,4:14,PRE_RAW,07 Sayonara Curtain.mp3,フレデリック,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\フレデリック.xml,フレデリック,100,True,1,130,256,Se encuentra en spotify,,[Source from www.alljpnews.com],2024-09-26 20:50:45,2025-10-17 06:53:09,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%95%E3%83%AC%E3%83%87%E3%83%AA%E3%83%83%E3%82%AF/Owarase%20Night/07%20Sayonara%20Curtain.mp3,,6263,A0CE266B0C8AED39,7,3841474786,2025-09-23 17:19:46,,100,,,44100,8261134,,,,,,,7,6365,7,File,2015
Peppermint Gum - Single,フレデリック,J-Rock,Peppermint Gum,3:50,PRE_RAW,01 Peppermint Gum.m4a,フレデリック,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\フレデリック.xml,フレデリック,100,True,1,100,2304,Se encuentra en spotify,,,2024-09-26 20:50:46,2025-10-17 06:53:09,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%95%E3%83%AC%E3%83%87%E3%83%AA%E3%83%83%E3%82%AF/Peppermint%20Gum%20-%20Single/01%20Peppermint%20Gum.m4a,,3083,F2E45302B8FE7FAF,6,3847097737,2025-11-27 20:15:37,,100,,2023-11-08 12:00:00,48000,48593316,,,,,,,1,6367,1,File,2023
Sparkle Dancer - Single,フレデリック,J-Rock,Sparkle Dancer,3:28,PRE_RAW,01 Sparkle Dancer.mp3,フレデリック,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\フレデリック.xml,フレデリック,100,True,1,141,256,Se encuentra en spotify,,,2024-09-26 20:50:47,2025-10-17 06:53:09,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%95%E3%83%AC%E3%83%87%E3%83%AA%E3%83%83%E3%82%AF/Sparkle%20Dancer%20-%20Single/01%20Sparkle%20Dancer.mp3,,8322,CD19967785F83D81,5,3840620741,2025-09-13 20:05:41,,100,,,44100,6791369,,,,,,,1,6369,1,File,2023
