Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Clean,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Composer,Sort Name,Track Count,Track ID,Track Number,Track Type,Work,Year
Bullying - Single,4x3,Rock,Bullying,3:29,RAW,01 Bullying.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,4x3,100,True,1,76,256,,Se encuentra en spotify,,,2024-09-26 20:45:45,2025-10-17 06:52:50,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/4x3/Bullying%20-%20Single/01%20Bullying.mp3,,2821,B78D2F71BF90E6A7,2,3842284085,2025-10-03 02:08:05,,100,,,44100,6815834,,,,,,,,1,4255,1,File,,2023
Ado's Utattemita Album,Ado,J-Pop,Dried Flowers,4:48,RAW,01 Dried Flowers.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Ado,100,,1,74,256,,Se encuentra en spotify,,,2024-09-26 20:47:05,2025-10-17 06:58:14,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Ado's%20Utattemita%20Album/01%20Dried%20Flowers.mp3,,6239,231AD0DF37853FD8,6,3839941651,2025-09-05 23:27:31,,100,,,44100,9329863,,,,,,,,10,4315,1,File,,2023
Ado's Utattemita Album,Ado,J-Pop,Kazarijyanainoyonamidawa,4:12,RAW,02 Kazarijyanainoyonamidawa.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Ado,100,,1,89,256,,Se encuentra en spotify,,,2024-09-26 20:47:05,2025-10-17 06:58:14,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Ado's%20Utattemita%20Album/02%20Kazarijyanainoyonamidawa.mp3,,9618,1BE817E3E054AF4B,8,3847110323,2025-11-27 23:45:23,,100,,,44100,8171291,,,,,,,,10,4317,2,File,,2023
Ado's Utattemita Album,Ado,J-Pop,Aishite Aishite Aishite,4:18,RAW,03 Aishite Aishite Aishite.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Ado,100,,1,115,256,,Se encuentra en spotify,,Kikuo,2024-09-26 20:47:06,2025-10-17 06:58:13,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Ado's%20Utattemita%20Album/03%20Aishite%20Aishite%20Aishite.mp3,,11299,1677AC31F75FA944,6,3842283880,2025-10-03 02:04:40,,100,,,44100,8356864,,,,,,,,10,4319,3,File,,2023
Ado's Utattemita Album,Ado,J-Pop,Kawaikute Gomen,3:39,RAW,05 Kawaikute Gomen.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Ado,100,,1,160,256,,Se encuentra en spotify,,,2024-09-26 20:47:06,2025-10-17 06:58:13,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Ado's%20Utattemita%20Album/05%20Kawaikute%20Gomen.mp3,,11204,5C8A1F414C330436,4,3844415846,2025-10-27 19:17:26,,100,,,44100,7101306,,,,,,,,10,4323,5,File,,2023
Ado's Utattemita Album,Ado,J-Pop,unravel,3:58,RAW,08 unravel.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Ado,100,,1,135,256,,Se encuentra en spotify,,Tōru Kitajima,2024-09-26 20:47:06,2025-10-17 06:58:13,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Ado's%20Utattemita%20Album/08%20unravel.mp3,,12369,CA66767F6218BD15,7,3845707321,2025-11-11 18:02:01,,100,,,44100,7716534,,,,,,,,10,4329,8,File,,2023
Ado's Utattemita Album,Ado,J-Pop,Buriki No Dance,3:19,RAW,09 Buriki No Dance.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Ado,100,,1,172,256,,Se encuentra en spotify,,,2024-09-26 20:47:07,2025-10-17 06:58:13,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Ado's%20Utattemita%20Album/09%20Buriki%20No%20Dance.mp3,,15169,51E0F1BFE8B4DBFE,3,3837409214,2025-08-07 16:00:14,,100,,,44100,6452634,,,,,,,,10,4331,9,File,,2023
MIRROR - Single,Ado,J-Pop,MIRROR,2:58,RAW,01 MIRROR.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Ado,100,,1,89,256,,Se encuentra en spotify,,CHINOZO,2024-09-26 20:47:07,2025-10-17 06:58:09,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/MIRROR%20-%20Single/01%20MIRROR.mp3,,4960,3972EB07B7D1409E,8,3848053594,2025-12-08 21:46:34,,100,,,44100,5816637,,,,,,,,1,4335,1,File,,2024
Value - Single,Ado,J-Pop,Value,3:05,RAW,01 Value.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Ado,100,,1,80,256,,Se encuentra en spotify,,ポリスピカデリー,2024-09-26 20:47:07,2025-10-17 06:58:07,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Value%20-%20Single/01%20Value.mp3,,7385,4512D3B966F86D9F,3,3830722036,2025-05-22 06:27:16,,100,,,44100,5967774,,,,,,,,1,4337,1,File,,2024
'good guy' - Single,Against The Current,Alternativa,'good guy',3:28,RAW,01 'good guy'.mp3,Favoritas,D:\Códigos\Musica-Analisis\files\xml\RAW\Favoritas.xml,Against The Current,100,True,1,156,256,,Se encuentra en spotify,,"Cassandra Ströberg, Chrissy Costanza, Dan Gow & Will Ferri",2024-09-26 20:47:08,2025-10-17 06:58:01,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/'good%20guy'%20-%20Single/01%20'good%20guy'.mp3,,11210,9093C84040942D2C,8,3845109000,2025-11-04 19:50:00,,100,,,44100,7036804,,,,,,,,1,4341,1,File,,2023
