filename,filepath,title,artist,album,album_artist,genre,date,duration_seconds,bpm,beaTunes_tempo_COLOR,beaTunes_SPECTRUM,beaTunes_COLOR,beaTunes_tempo_timbre_COLOR,MOOD_DANCEABILITY,Tuning,has_lyrics,lyrics_text
01 QUESTION.m4a,E:\iTunes\iTunes Media\Music\3年E組うた担\QUESTION - EP\01 QUESTION.m4a,QUESTION,3年E組うた担(渚&茅野&業&磯貝&前原),QUESTION - EP,3年E組うた担,Anime,2016-02-24,266.31,89,020305,38.586617;88.866135;73.27559;48.720474;50.669292;44.43307;59.244095;37.027557;40.925198;46.38189;44.04331;48.330708;55.34646;87.30708;79.90157;74.444885;99.0;79.90157;77.95276;80.6811;82.62992;88.47638;50.669292;0.0;,e53e56,8a7667,27,1,No,
02 3年E組ヌルヌル音頭.m4a,E:\iTunes\iTunes Media\Music\3年E組うた担\QUESTION - EP\02 3年E組ヌルヌル音頭.m4a,3年E組ヌルヌル音頭,3年E組ヌル担(渚&業&寺坂&中村),QUESTION - EP,3年E組うた担,Anime,2016-02-24,177.02,135,b7abd5,28.84252;99.0;50.669292;53.397636;44.822834;44.04331;61.972443;59.244095;74.444885;67.81889;58.854332;65.09055;53.7874;60.413383;58.464565;66.25984;70.54724;78.732285;70.15748;67.03937;79.90157;93.15354;61.582676;0.0;,e2326b,7e6258,77,13,No,
03 QUESTION(Instrumental).m4a,E:\iTunes\iTunes Media\Music\3年E組うた担\QUESTION - EP\03 QUESTION(Instrumental).m4a,QUESTION(Instrumental),3年E組うた担(渚&茅野&業&磯貝&前原),QUESTION - EP,3年E組うた担,Anime,2016-02-24,266.15,89,010302,44.43307;99.0;51.44882;40.925198;37.027557;24.165356;28.452757;24.165356;27.67323;33.519684;36.24803;41.31496;47.55118;84.18898;81.85039;60.413383;87.69685;70.93701;76.3937;72.1063;60.80315;54.56693;28.062992;0.0;,de5932,8e8a77,29,1,No,
04 3年E組ヌルヌル音頭(Instrumental).m4a,E:\iTunes\iTunes Media\Music\3年E組うた担\QUESTION - EP\04 3年E組ヌルヌル音頭(Instrumental).m4a,3年E組ヌルヌル音頭(Instrumental),3年E組ヌル担(渚&業&寺坂&中村),QUESTION - EP,3年E組うた担,Anime,2016-02-24,178.02,135,bca2cc,29.232285;99.0;39.755905;28.062992;20.657482;19.098427;27.67323;28.452757;43.26378;33.519684;26.114174;29.622047;22.996063;24.944883;30.79134;35.468506;29.232285;36.24803;41.31496;40.925198;41.31496;39.366142;21.047245;0.0;,d4af2d,3e232f,43,,No,
04 月光(Instrumental).m4a,E:\iTunes\iTunes Media\Music\3年E組うた担\バイバイ YESTERDAY - EP\04 月光(Instrumental).m4a,月光(Instrumental),宮脇詩音,バイバイ YESTERDAY - EP,3年E組うた担,Anime,2016-05-25,294.1,75,28212c,9.354332;28.452757;45.602364;74.055115;99.0;89.64567;66.649605;36.24803;26.893702;40.925198;29.622047;16.370079;19.098427;15.590553;7.015751;6.625984;6.2362213;4.677166;3.1181107;2.7283478;2.7283478;2.7283478;2.7283478;0.0;,0778a7,050850,20,1,No,
01 バイバイ YESTERDAY.m4a,E:\iTunes\iTunes Media\Music\3年E組うた担\バイバイ YESTERDAY - EP\01 バイバイ YESTERDAY.m4a,バイバイ YESTERDAY,3年E組うた担(渚&茅野&業&磯貝&前原),バイバイ YESTERDAY - EP,3年E組うた担,Anime,2016-05-25,248.87,90,040408,73.66535;98.220474;80.291336;72.1063;64.31102;64.31102;69.37795;65.480316;62.362206;51.059055;52.228348;65.480316;76.00394;95.49213;76.3937;90.03543;99.0;72.885826;53.397636;52.61811;49.5;59.633858;37.027557;0.0;,9f262a,633a36,33,1,No,
03 バイバイ YESTERDAY(Instrumental).m4a,E:\iTunes\iTunes Media\Music\3年E組うた担\バイバイ YESTERDAY - EP\03 バイバイ YESTERDAY(Instrumental).m4a,バイバイ YESTERDAY(Instrumental),3年E組うた担(渚&茅野&業&磯貝&前原),バイバイ YESTERDAY - EP,3年E組うた担,Anime,2016-05-25,248.94,90,030408,81.46063;99.0;55.73622;44.04331;34.688976;23.385828;24.555119;22.6063;27.283466;29.232285;32.740158;44.822834;52.61811;81.85039;60.413383;56.125984;54.56693;44.43307;44.822834;43.65354;33.519684;34.299213;17.149609;0.0;,c07d12,0a0f0b,34,1,No,
02 月光.m4a,E:\iTunes\iTunes Media\Music\3年E組うた担\バイバイ YESTERDAY - EP\02 月光.m4a,月光,宮脇詩音,バイバイ YESTERDAY - EP,3年E組うた担,Anime,2016-05-25,293.61,75,1c2016,5.8464584;19.877954;63.531494;95.49213;99.0;65.09055;66.25984;74.055115;32.350395;42.09449;48.720474;27.67323;33.90945;44.822834;17.539371;19.877954;31.570868;37.417324;33.90945;20.267717;29.232285;63.921257;47.16142;0.0;,2f45d0,048905,13,5,No,
01 Nobody Like U.m4a,E:\iTunes\iTunes Media\Music\4 TOWN (From Disney and Pixar_s Turning\Turning Red (Original Motion Picture Sou\01 Nobody Like U.m4a,Nobody Like U,"4 TOWN (From Disney and Pixar’s Turning Red), Jordan Fisher, Finneas O’Connell, Josh Levi, Topher Ng",Turning Red (Original Motion Picture Soundtrack),"4 TOWN (From Disney and Pixar’s Turning Red), Jordan Fisher, Finneas O’Connell, Josh Levi, Topher Ng",Bandas sonoras,2022-02-24,161.03,105,5715b7,84.18898;99.0;58.464565;35.078743;24.165356;38.97638;45.602364;27.67323;31.570868;33.519684;35.468506;39.366142;33.519684;37.417324;31.570868;36.637794;39.366142;46.771652;50.279526;52.61811;52.61811;58.464565;30.401575;0.0;,e9b957,4e4550,27,1,No,
01 Bullying.mp3,E:\iTunes\iTunes Media\Music\4x3\Bullying - Single\01 Bullying.mp3,Bullying,4x3,Bullying - Single,4x3,Rock,2023-09-30,209.37,76,050906,70.15748;99.0;60.80315;35.078743;31.570868;47.16142;28.84252;31.96063;30.011812;35.468506;26.893702;28.062992;31.96063;42.874016;26.893702;40.535435;37.027557;51.44882;48.720474;42.484253;42.874016;38.97638;24.165356;0.0;,cdba2d,641d36,43,2,No,
