Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Ado's Utattemita Album,Ado,J-Pop,Aishite Aishite Aishite,4:18,Setlist,03 Aishite Aishite Aishite.mp3,Ado_ WORLD TOUR 2025 Hibana,D:\Códigos\Musica-Analisis\files\xml\Setlist\Ado_ WORLD TOUR 2025 Hibana.xml,Ado,100,,1,115,256,Se encuentra en spotify,,Kikuo,2024-09-26 20:47:06,2025-10-17 06:58:13,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Ado's%20Utattemita%20Album/03%20Aishite%20Aishite%20Aishite.mp3,,11299,1677AC31F75FA944,6,3842283880,2025-10-03 02:04:40,,100,,,44100,8356864,,,,,,,10,4319,3,File,2023
MIRROR - Single,Ado,J-Pop,MIRROR,2:58,Setlist,01 MIRROR.mp3,Ado_ WORLD TOUR 2025 Hibana,D:\Códigos\Musica-Analisis\files\xml\Setlist\Ado_ WORLD TOUR 2025 Hibana.xml,Ado,100,,1,89,256,Se encuentra en spotify,,CHINOZO,2024-09-26 20:47:07,2025-10-17 06:58:09,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/MIRROR%20-%20Single/01%20MIRROR.mp3,,4960,3972EB07B7D1409E,8,3848053594,2025-12-08 21:46:34,,100,,,44100,5816637,,,,,,,1,4335,1,File,2024
Value - Single,Ado,J-Pop,Value,3:05,Setlist,01 Value.mp3,Ado_ WORLD TOUR 2025 Hibana,D:\Códigos\Musica-Analisis\files\xml\Setlist\Ado_ WORLD TOUR 2025 Hibana.xml,Ado,100,,1,80,256,Se encuentra en spotify,,ポリスピカデリー,2024-09-26 20:47:07,2025-10-17 06:58:07,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Value%20-%20Single/01%20Value.mp3,,7385,4512D3B966F86D9F,3,3830722036,2025-05-22 06:27:16,,100,,,44100,5967774,,,,,,,1,4337,1,File,2024
Episode X,Ado,J-Pop,Episode X,3:23,Setlist,01 Episode X.mp3,Ado_ WORLD TOUR 2025 Hibana,D:\Códigos\Musica-Analisis\files\xml\Setlist\Ado_ WORLD TOUR 2025 Hibana.xml,Ado,100,,1,87,320,Se encuentra en spotify,,,2025-01-15 21:39:34,2025-10-17 06:58:11,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Episode%20X/01%20Episode%20X.mp3,,18617,A483D3609EFB06F5,6,3846402617,2025-11-19 19:10:17,,100,,,44100,8534720,,,,,,,1,11717,1,File,2024
ウタの歌 ONE PIECE FILM RED,Ado,J-Pop,逆光,3:57,Setlist,03 逆光.mp3,Ado_ WORLD TOUR 2025 Hibana,D:\Códigos\Musica-Analisis\files\xml\Setlist\Ado_ WORLD TOUR 2025 Hibana.xml,Ado,100,,1,145,320,,,Ado,2025-01-15 22:34:11,2025-09-23 04:50:44,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/%E3%82%A6%E3%82%BF%E3%81%AE%E6%AD%8C%20ONE%20PIECE%20FILM%20RED/03%20%E9%80%86%E5%85%89.mp3,,11924,433BF3737CB8D38A,4,3825847357,2025-03-26 21:22:37,,20,,,44100,11667359,,,,,,,8,11725,3,File,2022
ウタの歌 ONE PIECE FILM RED,Ado,J-Pop,ウタカタララバイ,2:53,Setlist,04 ウタカタララバイ.mp3,Ado_ WORLD TOUR 2025 Hibana,D:\Códigos\Musica-Analisis\files\xml\Setlist\Ado_ WORLD TOUR 2025 Hibana.xml,Ado,100,,1,134,320,Se encuentra en spotify,,Ado,2025-01-15 22:34:11,2025-10-17 06:58:06,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/%E3%82%A6%E3%82%BF%E3%81%AE%E6%AD%8C%20ONE%20PIECE%20FILM%20RED/04%20%E3%82%A6%E3%82%BF%E3%82%AB%E3%82%BF%E3%83%A9%E3%83%A9%E3%83%90%E3%82%A4.mp3,,13325,8357CC4DAE134B36,4,3837409387,2025-08-07 16:03:07,,100,,,44100,9094832,,,,,,,8,11727,4,File,2022
ルル,Ado,J-Pop,ルル,3:17,Setlist,01 ルル.mp3,Ado_ WORLD TOUR 2025 Hibana,D:\Códigos\Musica-Analisis\files\xml\Setlist\Ado_ WORLD TOUR 2025 Hibana.xml,Ado,100,,1,132,320,Se encuentra en spotify,,Ado,2025-01-15 23:20:52,2025-10-17 06:58:06,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/%E3%83%AB%E3%83%AB/01%20%E3%83%AB%E3%83%AB.mp3,,18321,98A7D3E8A3A1C685,5,3837410350,2025-08-07 16:19:10,,100,,,44100,8086939,,,,,,,1,11765,1,File,2024
唱,Ado,J-Pop,唱,3:09,Setlist,01 唱.mp3,Ado_ WORLD TOUR 2025 Hibana,D:\Códigos\Musica-Analisis\files\xml\Setlist\Ado_ WORLD TOUR 2025 Hibana.xml,Ado,100,,1,132,320,Se encuentra en spotify,,Giga & TeddyLoid,2025-01-15 23:20:52,2025-10-17 06:58:05,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/%E5%94%B1/01%20%E5%94%B1.mp3,,22203,A35CF35D9E9E35B1,3,3847088523,2025-11-27 17:42:03,,100,,,44100,7806068,,,,,,,1,11767,1,File,2023
踊,Ado,Pop,踊,3:28,Setlist,01 踊.mp3,Ado_ WORLD TOUR 2025 Hibana,D:\Códigos\Musica-Analisis\files\xml\Setlist\Ado_ WORLD TOUR 2025 Hibana.xml,Ado,100,,1,128,320,Se encuentra en spotify,,TeddyLoid/Giga,2025-01-15 23:30:49,2025-10-17 06:58:04,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/%E8%B8%8A/01%20%E8%B8%8A.mp3,,19595,AC221A2E464EA1FD,6,3844162748,2025-10-24 19:59:08,,100,,,44100,8493138,1,2025-02-17 23:43:31,,,,,1,11793,1,File,2021
Elf - Single,Ado,J-Pop,Elf,4:20,Setlist,01 Elf.m4a,Ado_ WORLD TOUR 2025 Hibana,D:\Códigos\Musica-Analisis\files\xml\Setlist\Ado_ WORLD TOUR 2025 Hibana.xml,Ado,100,,1,80,320,Se encuentra en spotify,,みゆはん,2025-01-25 15:28:14,2025-10-17 06:58:11,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ado/Elf%20-%20Single/01%20Elf.m4a,,7891,D78BC250584D00A4,14,3840194767,2025-09-08 21:46:07,,100,,2025-01-24 12:00:00,48000,10621215,,,,,,,1,15257,1,File,2025
