Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Tetris (Motion Picture Soundtrack),aespa,Soundtrack,Hold On Tight,2:29,Setlist,05 Hold On Tight.m4a,Aespa_ SYNK Parallel Line - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Aespa_ SYNK Parallel Line - CDMX 2025.xml,aespa,100,True,1,120,325,Se encuentra en spotify,,"Aaron Hibell, Boy Matthews, Dave Labrel, Georgia Ku, MarV Music, Niles Edwin Roberts & Philip Von Boch Scully",2025-01-17 19:04:24,2025-10-17 06:58:03,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/aespa/Tetris%20(Motion%20Picture%20Soundtrack)/05%20Hold%20On%20Tight.m4a,,4480,AFD93940FDC3E33B,4,3831243520,2025-05-28 07:18:40,,100,,2023-03-31 12:00:00,48000,7304238,,,,,,,15,14099,5,File,2023
Drama - The 4th Mini Album,aespa,K-pop,Drama,3:35,Setlist,01 Drama.m4a,Aespa_ SYNK Parallel Line - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Aespa_ SYNK Parallel Line - CDMX 2025.xml,aespa,100,True,1,66,326,Se encuentra en spotify,,"Charlotte Wilson, EJAE, No Identity & Waker",2025-02-07 04:32:26,2025-10-17 06:58:04,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/aespa/Drama%20-%20The%204th%20Mini%20Album/01%20Drama.m4a,,11863,E0C73B9D2D9175B8,5,3845207264,2025-11-05 23:07:44,,100,,2023-11-10 12:00:00,48000,8880695,,,,,,,7,15319,1,File,2023
Armageddon - The 1st Album,aespa,K-pop,Supernova,2:58,Setlist,01 Supernova.m4a,Aespa_ SYNK Parallel Line - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Aespa_ SYNK Parallel Line - CDMX 2025.xml,aespa,100,True,1,120,328,Se encuentra en spotify,,"Kenzie, Paris Alexa & Dwayne ""Dem Jointz"" Abernathy Jr.",2025-02-07 04:32:26,2025-10-17 06:58:04,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/aespa/Armageddon%20-%20The%201st%20Album/01%20Supernova.m4a,,6765,4CBB12B0054D2568,4,3827229385,2025-04-11 20:16:25,,100,,2024-05-13 12:00:00,48000,7463527,,,,,,,10,15323,1,File,2024
SYNK - PARALLEL LINE - Special Digital Single - EP,aespa,K-pop,UP (KARINA Solo),2:46,Setlist,01 UP (KARINA Solo).m4a,Aespa_ SYNK Parallel Line - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Aespa_ SYNK Parallel Line - CDMX 2025.xml,aespa,100,True,1,99,335,,,"Slow Rabbit, Morgan Connie Smith, Taneisha Jackson, Sofia Quinn, PXPILLON, Emma-Lee Andersson, BB Elliot, Stella Jones",2025-02-07 04:32:26,2025-09-23 02:46:05,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/aespa/SYNK%20-%20PARALLEL%20LINE%20-%20Special%20Digital%20S/01%20UP%20(KARINA%20Solo).m4a,,4309,572ED13A500BA1C6,2,3821800213,2025-02-08 01:10:13,,,,2024-10-09 12:00:00,48000,7083879,,,,,,,4,15325,1,File,2024
Whiplash - The 5th Mini Album - EP,aespa,K-pop,Whiplash,3:03,Setlist,01 Whiplash.m4a,Aespa_ SYNK Parallel Line - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Aespa_ SYNK Parallel Line - CDMX 2025.xml,aespa,100,True,1,126,333,Se encuentra en spotify,,"Marcus ""MarcLo"" Lomax, Neil Ormandy, Rosina ""Soaky Siren"" Russell, Lewis Jankel & Leslie",2025-02-07 04:32:26,2025-10-17 06:58:02,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/aespa/Whiplash%20-%20The%205th%20Mini%20Album%20-%20EP/01%20Whiplash.m4a,,6499,21F4D5901C6DA7F8,4,3839677960,2025-09-02 22:12:40,,100,,2024-10-21 12:00:00,48000,7745936,,,,,,,6,15327,1,File,2024
Armageddon - The 1st Album,aespa,K-pop,Armageddon,3:16,Setlist,02 Armageddon.m4a,Aespa_ SYNK Parallel Line - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Aespa_ SYNK Parallel Line - CDMX 2025.xml,aespa,100,True,1,92,325,,,"No Identity, Bang Hye Hyun, EJAE, SUMIN & Waker",2025-02-07 04:32:26,2025-09-23 03:05:56,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/aespa/Armageddon%20-%20The%201st%20Album/02%20Armageddon.m4a,,10309,C4215CB69FE09A24,3,3843153337,2025-10-13 03:35:37,,,,2024-05-27 12:00:00,48000,8161884,,,,,,,10,15329,2,File,2024
SYNK - PARALLEL LINE - Special Digital Single - EP,aespa,K-pop,Dopamine (GISELLE Solo),3:14,Setlist,02 Dopamine (GISELLE Solo).m4a,Aespa_ SYNK Parallel Line - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Aespa_ SYNK Parallel Line - CDMX 2025.xml,aespa,100,True,1,71,323,,,Shintaro Yasuda & GISELLE & Pau Cerrilla & Paige Garabito,2025-02-07 04:32:26,2025-09-23 06:30:41,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/aespa/SYNK%20-%20PARALLEL%20LINE%20-%20Special%20Digital%20S/02%20Dopamine%20(GISELLE%20Solo).m4a,,3187,3BB069755C49BD42,2,3821800047,2025-02-08 01:07:27,,,,2024-10-09 12:00:00,48000,7987098,,,,,,,4,15331,2,File,2024
SYNK - PARALLEL LINE - Special Digital Single - EP,aespa,K-pop,Bored! (NINGNING Solo),2:51,Setlist,03 Bored! (NINGNING Solo).m4a,Aespa_ SYNK Parallel Line - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Aespa_ SYNK Parallel Line - CDMX 2025.xml,aespa,100,True,1,78,327,,,Hilda Stenmalm/Bård Bonsaksen/Dom Rivinius/TMM,2025-02-07 04:32:26,2025-09-23 06:07:24,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/aespa/SYNK%20-%20PARALLEL%20LINE%20-%20Special%20Digital%20S/03%20Bored!%20(NINGNING%20Solo).m4a,,6321,8B25DB6F7CEFAE55,3,3829944396,2025-05-13 06:26:36,,,,2024-10-09 12:00:00,48000,7119387,,,,,,,4,15339,3,File,2024
Whiplash - The 5th Mini Album - EP,aespa,K-pop,"Flights, Not Feelings",3:01,Setlist,"03 Flights, Not Feelings.m4a",Aespa_ SYNK Parallel Line - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Aespa_ SYNK Parallel Line - CDMX 2025.xml,aespa,100,True,1,92,323,,,"HONEY NOISE, Brown Panda, Frankie Day, Chanti & LEE HYEYUM",2025-02-07 04:32:26,2025-09-23 03:42:42,1,1,,,5,Archivo de audio AAC,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/aespa/Whiplash%20-%20The%205th%20Mini%20Album%20-%20EP/03%20Flights,%20Not%20Feelings.m4a",,5583,B978D082F330513D,2,3821799650,2025-02-08 01:00:50,,,,2024-10-21 12:00:00,48000,7438610,,,,,,,6,15343,3,File,2024
Armageddon - The 1st Album,aespa,K-pop,Set The Tone,3:22,Setlist,03 Set The Tone.m4a,Aespa_ SYNK Parallel Line - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Aespa_ SYNK Parallel Line - CDMX 2025.xml,aespa,100,True,1,99,329,,,"Cho Yun Kyoung, Ludwig Lindell, Daniel Caesar & Ylva Dimberg",2025-02-07 04:32:27,2025-09-23 03:21:08,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/aespa/Armageddon%20-%20The%201st%20Album/03%20Set%20The%20Tone.m4a,,6075,51A3F125E6626081,2,3821801990,2025-02-08 01:39:50,,,,2024-05-27 12:00:00,48000,8504105,,,,,,,10,15347,3,File,2024
Armageddon - The 1st Album,aespa,K-pop,Mine,3:13,Setlist,04 Mine.m4a,Aespa_ SYNK Parallel Line - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Aespa_ SYNK Parallel Line - CDMX 2025.xml,aespa,100,True,1,73,326,,,"Mike Daley, Mitchell Owens, Lee Eunhwa, Nicole “Kole” Cohen & Adrian Mckinnon",2025-02-07 04:32:27,2025-09-23 04:07:50,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/aespa/Armageddon%20-%20The%201st%20Album/04%20Mine.m4a,,4404,713C9E0E5FE571D3,3,3843142069,2025-10-13 00:27:49,,,,2024-05-27 12:00:00,48000,8055345,,,,,,,10,15353,4,File,2024
