Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
AG! Calling,ATARASHII GAKKO!,J-Pop,Fly High,3:03,Setlist,01 Fly High.mp3,Atarashii Gakko!_ World Tour Part II - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Atarashii Gakko!_ World Tour Part II - CDMX 2024.xml,ATARASHII GAKKO!,100,True,1,138,256,Se encuentra en spotify,,"ATARASHII GAKKO!, Yonkey & Yoshio Tamamura",2024-09-26 20:47:52,2025-10-17 06:57:19,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/AG!%20Calling/01%20Fly%20High.mp3,,6611,920E9601BF37200D,3,3845281333,2025-11-06 19:42:13,,100,,,44100,5988673,,,,,,,11,4817,1,File,2014
AG! Calling,ATARASHII GAKKO!,J-Pop,Omakase,2:46,Setlist,03 Omakase.mp3,Atarashii Gakko!_ World Tour Part II - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Atarashii Gakko!_ World Tour Part II - CDMX 2024.xml,ATARASHII GAKKO!,100,True,1,118,256,Se encuentra en spotify,,"ATARASHII GAKKO!, Yonkey & Yoshio Tamamura",2024-09-26 20:47:52,2025-10-17 06:57:19,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/AG!%20Calling/03%20Omakase.mp3,,5127,733590119FF7A9CD,2,3847100900,2025-11-27 21:08:20,,100,,,44100,5436966,,,,,,,11,4821,3,File,2014
AG! Calling,ATARASHII GAKKO!,J-Pop,Maji Yoroshiku,2:13,Setlist,04 Maji Yoroshiku.mp3,Atarashii Gakko!_ World Tour Part II - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Atarashii Gakko!_ World Tour Part II - CDMX 2024.xml,ATARASHII GAKKO!,100,True,1,78,256,Se encuentra en spotify,,"ATARASHII GAKKO!, Angus Leslie, Jessie Lauryn, Joshua Tavares, Miguel Olivera, Robert Douglas-Sola, Samuel Cox, Yonkey & Yoshio Tamamura",2024-09-26 20:47:52,2025-10-17 06:57:19,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/AG!%20Calling/04%20Maji%20Yoroshiku.mp3,,7928,99E472476C42904A,2,3838962273,2025-08-25 15:24:33,,100,,,44100,4383715,,,,,,,11,4823,4,File,2014
AG! Calling,ATARASHII GAKKO!,J-Pop,Essa Hoisa,2:55,Setlist,05 Essa Hoisa.mp3,Atarashii Gakko!_ World Tour Part II - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Atarashii Gakko!_ World Tour Part II - CDMX 2024.xml,ATARASHII GAKKO!,100,True,1,80,256,Se encuentra en spotify,,,2024-09-26 20:47:52,2025-10-17 06:57:19,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/AG!%20Calling/05%20Essa%20Hoisa.mp3,,6395,277EF839CA79190D,4,3842461048,2025-10-05 03:17:28,,100,,,44100,5728704,,,,,,,11,4825,5,File,2014
AG! Calling,ATARASHII GAKKO!,J-Pop,Forever Sisters,3:55,Setlist,08 Forever Sisters.mp3,Atarashii Gakko!_ World Tour Part II - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Atarashii Gakko!_ World Tour Part II - CDMX 2024.xml,ATARASHII GAKKO!,100,True,1,130,256,Se encuentra en spotify,,,2024-09-26 20:47:53,2025-10-17 06:57:18,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/AG!%20Calling/08%20Forever%20Sisters.mp3,,5916,13981551620390F8,6,3846411773,2025-11-19 21:42:53,,100,,,44100,7667204,,,,,,,11,4831,8,File,2014
AG! Calling,ATARASHII GAKKO!,J-Pop,Arigato,2:52,Setlist,09 Arigato.mp3,Atarashii Gakko!_ World Tour Part II - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Atarashii Gakko!_ World Tour Part II - CDMX 2024.xml,ATARASHII GAKKO!,100,True,1,137,256,Se encuentra en spotify,,"ATARASHII GAKKO!, Yonkey & Yoshio Tamamura",2024-09-26 20:47:53,2025-10-17 06:57:18,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/AG!%20Calling/09%20Arigato.mp3,,7186,41237F89B99EBBEC,4,3835794394,2025-07-19 23:26:34,,100,,,44100,5647617,1,2025-07-19 23:23:33,,,,,11,4833,9,File,2014
Free Your Mind (Spanish Version) - Single,ATARASHII GAKKO!,J-Pop,Free Your Mind (Spanish Version),2:57,Setlist,01 Free Your Mind (Spanish Version).mp3,Atarashii Gakko!_ World Tour Part II - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Atarashii Gakko!_ World Tour Part II - CDMX 2024.xml,ATARASHII GAKKO!,100,True,,115,256,Se encuentra en spotify,,"ATARASHII GAKKO!, Mark Ramos Nishita & Denise Janelle Gutierrez Mendoza",2024-09-26 20:47:53,2025-10-17 06:57:18,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/Free%20Your%20Mind%20(Spanish%20Version)%20-%20Singl/01%20Free%20Your%20Mind%20(Spanish%20Version).mp3,,5336,092820A641EDC2D6,4,3841211379,2025-09-20 16:09:39,,100,,,44100,5693170,1,2025-08-24 01:08:56,,,,,1,4839,1,File,2022
Ichijikikoku,ATARASHII GAKKO!,J-Pop,Giri Giri,3:05,Setlist,03 Giri Giri.mp3,Atarashii Gakko!_ World Tour Part II - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Atarashii Gakko!_ World Tour Part II - CDMX 2024.xml,ATARASHII GAKKO!,100,True,1,134,256,Se encuentra en spotify,,Yonkey,2024-09-26 20:47:54,2025-10-17 06:57:17,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/Ichijikikoku/03%20Giri%20Giri.mp3,,4925,16C243AEF4FE0C40,3,3844163966,2025-10-24 20:19:26,,100,,,44100,6024299,,,,,,,7,4849,3,File,2023
Ichijikikoku,ATARASHII GAKKO!,J-Pop,Suki Lie,3:15,Setlist,04 Suki Lie.mp3,Atarashii Gakko!_ World Tour Part II - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Atarashii Gakko!_ World Tour Part II - CDMX 2024.xml,ATARASHII GAKKO!,100,True,1,89,256,Se encuentra en spotify,,Yonkey,2024-09-26 20:47:54,2025-10-17 06:57:17,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/Ichijikikoku/04%20Suki%20Lie.mp3,,6182,5C447254EA2FA56B,10,3846911077,2025-11-25 16:24:37,,100,,,44100,6341947,,,,,,,7,4851,4,File,2023
Maenarawanai,ATARASHII GAKKO!,J-Pop,Saisyu Jinrui,4:19,Setlist,09 Saisyu Jinrui.mp3,Atarashii Gakko!_ World Tour Part II - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Atarashii Gakko!_ World Tour Part II - CDMX 2024.xml,ATARASHII GAKKO!,,,1,96,256,,,H ZETT M & Momorurugyaban,2024-09-26 20:47:57,2025-09-23 02:40:28,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/Maenarawanai/09%20Saisyu%20Jinrui.mp3,,15852,38EB05C89CA499C3,1,3846495635,2025-11-20 21:00:35,,,,,44100,8403970,,,,,,,10,4877,9,File,2018
Maningen - EP,ATARASHII GAKKO!,J-Pop,"Que Sera, Sera",3:37,Setlist,"03 Que Sera, Sera.mp3",Atarashii Gakko!_ World Tour Part II - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Atarashii Gakko!_ World Tour Part II - CDMX 2024.xml,ATARASHII GAKKO!,100,True,1,136,256,,,Yonkey,2024-09-26 20:47:58,2025-09-23 06:35:33,1,1,,,5,Archivo de audio MPEG,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/Maningen%20-%20EP/03%20Que%20Sera,%20Sera.mp3",,7468,AC52FD40A452BADE,1,3846495635,2025-11-20 21:00:35,,,,,44100,7009943,,,,,,,5,4885,3,File,2023
NAINAINAI - Single,ATARASHII GAKKO!,J-Pop,NAINAINAI,3:13,Setlist,01 NAINAINAI.mp3,Atarashii Gakko!_ World Tour Part II - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Atarashii Gakko!_ World Tour Part II - CDMX 2024.xml,ATARASHII GAKKO!,100,True,1,115,256,Se encuentra en spotify,,Yonkey & ATARASHII GAKKO!,2024-09-26 20:47:58,2025-10-17 06:57:16,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/NAINAINAI%20-%20Single/01%20NAINAINAI.mp3,,2476,0A4116F152273379,3,3847184200,2025-11-28 20:16:40,,100,,,44100,6276498,,,,,,,1,4891,1,File,2021
Otonablue - Single,ATARASHII GAKKO!,J-Pop,Otonablue,3:05,Setlist,01 Otonablue.mp3,Atarashii Gakko!_ World Tour Part II - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Atarashii Gakko!_ World Tour Part II - CDMX 2024.xml,ATARASHII GAKKO!,100,True,1,130,256,Se encuentra en spotify,,Yonkey,2024-09-26 20:47:58,2025-10-17 06:57:16,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/Otonablue%20-%20Single/01%20Otonablue.mp3,,4416,B3391C959DB0C900,4,3846154096,2025-11-16 22:08:16,,100,,,44100,6044206,,,,,,,1,4895,1,File,2020
SNACKTIME - EP,ATARASHII GAKKO!,J-Pop,CANDY,2:45,Setlist,03 CANDY.mp3,Atarashii Gakko!_ World Tour Part II - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Atarashii Gakko!_ World Tour Part II - CDMX 2024.xml,ATARASHII GAKKO!,100,True,1,129,256,Se encuentra en spotify,,TARASHII GAKKO! & Mark Ramos Nishita,2024-09-26 20:47:59,2025-10-17 06:57:16,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ATARASHII%20GAKKO!/SNACKTIME%20-%20EP/03%20CANDY.mp3,,3465,357D525BAD279C5D,5,3845293880,2025-11-06 23:11:20,,100,,,44100,5394944,,,,,ATARASHII GAKKO!,CANDY,5,4903,3,File,2021
