Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
BORN PINK,BLACKPINK,K-Pop,Pink Venom,3:07,Setlist,01 Pink Venom.mp3,BlackPink_ Born Pink World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\BlackPink_ Born Pink World Tour - CDMX 2023.xml,BLACKPINK,100,True,1,90,256,Se encuentra en spotify,,"Teddy, 24, R. Tee & Ido",2024-09-26 20:49:02,2025-10-17 06:56:53,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/BLACKPINK/BORN%20PINK/01%20Pink%20Venom.mp3,,3673,5CE4CD3BC2C27AB6,2,3838190245,2025-08-16 16:57:25,,100,,,44100,6015936,,,,,,,8,5543,1,File,2022
BORN PINK,BLACKPINK,K-Pop,Shut Down,2:56,Setlist,02 Shut Down.mp3,BlackPink_ Born Pink World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\BlackPink_ Born Pink World Tour - CDMX 2023.xml,BLACKPINK,100,True,1,110,256,Se encuentra en spotify,,Teddy & 24,2024-09-26 20:49:02,2025-10-17 06:56:53,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/BLACKPINK/BORN%20PINK/02%20Shut%20Down.mp3,,4383,DA4C698239D7F3E9,1,3833444184,2025-06-22 18:36:24,,100,,,44100,5661506,,,,,,,8,5545,2,File,2022
BORN PINK,BLACKPINK,K-Pop,Typa Girl,2:59,Setlist,03 Typa Girl.mp3,BlackPink_ Born Pink World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\BlackPink_ Born Pink World Tour - CDMX 2023.xml,BLACKPINK,100,True,1,66,256,Se encuentra en spotify,,Bekuh Boom & Dominsuk,2024-09-26 20:49:02,2025-10-17 06:56:53,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/BLACKPINK/BORN%20PINK/03%20Typa%20Girl.mp3,,3154,EA7ED58FD487CFE3,3,3830154798,2025-05-15 16:53:18,,100,,,44100,5766831,,,,,,,8,5547,3,File,2022
BORN PINK,BLACKPINK,K-Pop,Hard to Love,2:42,Setlist,05 Hard to Love.mp3,BlackPink_ Born Pink World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\BlackPink_ Born Pink World Tour - CDMX 2023.xml,BLACKPINK,100,True,1,105,256,Se encuentra en spotify,,"24, Bianca Atterberry, Freddy Wexler, Max Wolfgang, R.Tee, Teddy Park",2024-09-26 20:49:02,2025-10-17 06:56:53,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/BLACKPINK/BORN%20PINK/05%20Hard%20to%20Love.mp3,,5350,DC6B09AE6C5DD8AE,4,3843132140,2025-10-12 21:42:20,,100,,,44100,5235190,,,,,,,8,5551,5,File,2022
BORN PINK,BLACKPINK,K-Pop,Tally,3:04,Setlist,07 Tally.mp3,BlackPink_ Born Pink World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\BlackPink_ Born Pink World Tour - CDMX 2023.xml,BLACKPINK,100,True,1,65,256,,,"Nat Dunn, David Phelan, Alex Oriet, Brian Lee, Soraya Lapread & 24",2024-09-26 20:49:02,2025-09-23 05:44:57,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/BLACKPINK/BORN%20PINK/07%20Tally.mp3,,5331,8C4EA1324293504C,,,,,,,,44100,5928995,,,,,,,8,5555,7,File,2022
THE ALBUM,BLACKPINK,K-Pop,How You Like That,3:01,Setlist,01 How You Like That.mp3,BlackPink_ Born Pink World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\BlackPink_ Born Pink World Tour - CDMX 2023.xml,BLACKPINK,100,True,1,130,256,Se encuentra en spotify,,"24, R. Tee, Danny Chung & Teddy",2024-09-26 20:49:03,2025-10-17 06:56:52,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/BLACKPINK/THE%20ALBUM/01%20How%20You%20Like%20That.mp3,,5032,197AEC18CE2BCDC2,5,3842383960,2025-10-04 05:52:40,,100,,,44100,5847913,1,2025-10-02 02:07:35,,,,,8,5559,1,File,2020
THE ALBUM,BLACKPINK,K-Pop,Pretty Savage,3:19,Setlist,03 Pretty Savage.mp3,BlackPink_ Born Pink World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\BlackPink_ Born Pink World Tour - CDMX 2023.xml,BLACKPINK,100,True,1,76,256,Se encuentra en spotify,,"Teddy, Loren, Vince, Danny Chung, R. Tee & Bekuh Boom",2024-09-26 20:49:03,2025-10-17 06:56:52,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/BLACKPINK/THE%20ALBUM/03%20Pretty%20Savage.mp3,,3120,7F691E42A38AA615,5,3845724557,2025-11-11 22:49:17,,100,,,44100,6428872,,,,,,,8,5561,3,File,2020
THE ALBUM,BLACKPINK,K-Pop,Lovesick Girls,3:12,Setlist,05 Lovesick Girls.mp3,BlackPink_ Born Pink World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\BlackPink_ Born Pink World Tour - CDMX 2023.xml,BLACKPINK,100,True,1,128,256,,,"Teddy, Loren, Ji-Soo, JENNIE, Danny Chung, 24, Brian Lee, Leah Haywood, R. Tee & David Guetta",2024-09-26 20:49:03,2025-09-23 03:04:37,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/BLACKPINK/THE%20ALBUM/05%20Lovesick%20Girls.mp3,,5328,3CADED8ECA9BFB5D,,,,,,,,44100,6225745,,,,,,,8,5565,5,File,2020
THE ALBUM,BLACKPINK,K-Pop,Crazy Over You,2:42,Setlist,06 Crazy Over You.mp3,BlackPink_ Born Pink World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\BlackPink_ Born Pink World Tour - CDMX 2023.xml,BLACKPINK,100,True,1,115,256,,,"Teddy, Bekuh Boom, Danny Chung, 24, R. Tee & FUTURE BOUNCE",2024-09-26 20:49:03,2025-09-23 05:08:30,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/BLACKPINK/THE%20ALBUM/06%20Crazy%20Over%20You.mp3,,4490,709C477E1021C248,,,,,,,,44100,5239361,,,,,,,8,5567,6,File,2020
ME - Single,JISOO,K-pop,FLOWER,2:53,Setlist,01 FLOWER.m4a,BlackPink_ Born Pink World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\BlackPink_ Born Pink World Tour - CDMX 2023.xml,JISOO,100,True,1,124,322,Se encuentra en spotify,,24,2025-01-17 18:32:37,2025-10-17 06:55:39,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/JISOO/ME%20-%20Single/01%20FLOWER.m4a,,2644,6130EF48ED76DC7A,3,3837184907,2025-08-05 01:41:47,,100,,2023-03-31 12:00:00,48000,7056482,,,,,,,2,13969,1,File,2023
