Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Allure of the Dark - Single,Daoko,J-Pop,Allure of the Dark,4:08,Setlist,01 Allure of the Dark.mp3,Daoko_ World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\Daoko_ World Tour - CDMX 2023.xml,Daoko,100,True,1,158,256,Se encuentra en spotify,,,2024-09-26 20:49:18,2025-10-17 06:56:23,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Daoko/Allure%20of%20the%20Dark%20-%20Single/01%20Allure%20of%20the%20Dark.mp3,,5213,5D49D4BE00996F29,3,3847090298,2025-11-27 18:11:38,,100,,,44100,8038701,,,,,,,1,5739,1,File,2023
Anima,DAOKO,Alternativa,Ocharaketayo,4:10,Setlist,12 Ocharaketayo.mp3,Daoko_ World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\Daoko_ World Tour - CDMX 2023.xml,DAOKO,,,1,95,256,,,Daoko & pxzvc,2024-09-26 20:49:20,2025-10-04 10:04:57,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/DAOKO/Anima/12%20Ocharaketayo.mp3,,1259,340D2902AF890B13,1,3846495827,2025-11-20 21:03:47,,,,,44100,8224976,,,,,,,12,5761,12,File,2020
DAOKO,DAOKO,J-Pop,Suisei,4:33,Setlist,01 Suisei.mp3,Daoko_ World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\Daoko_ World Tour - CDMX 2023.xml,DAOKO,100,True,1,100,256,Se encuentra en spotify,,"tofubeats, DAOKO & Onomatope Daiji",2024-09-26 20:49:20,2025-10-17 06:56:23,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/DAOKO/DAOKO/01%20Suisei.mp3,,5334,B3B81E6625F59A71,2,3833805455,2025-06-26 22:57:35,,100,,,44100,8829257,,,,,,,12,5763,1,File,2015
DAOKO,DAOKO,J-Pop,Kakete Ageru,4:03,Setlist,02 Kakete Ageru.mp3,Daoko_ World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\Daoko_ World Tour - CDMX 2023.xml,DAOKO,100,True,1,109,256,Se encuentra en spotify,,DAOKO & 小島英也,2024-09-26 20:49:20,2025-10-17 06:56:23,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/DAOKO/DAOKO/02%20Kakete%20Ageru.mp3,,4319,2C07C0AD2363F6D9,1,3819979475,2025-01-17 23:24:35,,100,,,44100,7852910,,,,,,,12,5765,2,File,2015
DAOKO,DAOKO,J-Pop,Boku,4:55,Setlist,06 Boku.mp3,Daoko_ World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\Daoko_ World Tour - CDMX 2023.xml,DAOKO,100,True,1,105,256,,,DAOKO & 小島英也,2024-09-26 20:49:21,2025-10-04 10:24:39,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/DAOKO/DAOKO/06%20Boku.mp3,,3794,FC975D138C1FFC21,1,3846495828,2025-11-20 21:03:48,,,,,44100,9543965,,,,,,,12,5773,6,File,2015
ShibuyaK -SamishiiKamisama - Single,DAOKO,J-Pop,Samishii Kamisama,4:27,Setlist,02 Samishii Kamisama.mp3,Daoko_ World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\Daoko_ World Tour - CDMX 2023.xml,DAOKO,100,True,1,128,256,Se encuentra en spotify,,DAOKO & 小島英也(ORESAMA),2024-09-26 20:49:27,2025-10-17 06:56:22,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/DAOKO/ShibuyaK%20-SamishiiKamisama%20-%20Single/02%20Samishii%20Kamisama.mp3,,6773,7F335E0BFA1B3EC2,4,3845206312,2025-11-05 22:51:52,,100,,,44100,8651000,,,,,,,3,5833,2,File,2015
ShibuyaK -SamishiiKamisama - Single,DAOKO,J-Pop,Yumemitetano Atashi,4:27,Setlist,03 Yumemitetano Atashi.mp3,Daoko_ World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\Daoko_ World Tour - CDMX 2023.xml,DAOKO,100,True,1,100,256,Se encuentra en spotify,,DAOKO & 小島英也(ORESAMA),2024-09-26 20:49:27,2025-10-17 06:56:21,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/DAOKO/ShibuyaK%20-SamishiiKamisama%20-%20Single/03%20Yumemitetano%20Atashi.mp3,,4457,E217EC28F79998C1,3,3834310330,2025-07-02 19:12:10,,100,,,44100,8653099,,,,,,,3,5835,3,File,2015
Mad - EP,Daoko & Yohji Igarashi,Dance,Mad,3:29,Setlist,01 Mad.mp3,Daoko_ World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\Daoko_ World Tour - CDMX 2023.xml,Daoko & Yohji Igarashi,100,True,1,126,256,Se encuentra en spotify,,,2024-09-26 20:49:36,2025-10-17 06:56:20,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Daoko%20&%20Yohji%20Igarashi/Mad%20-%20EP/01%20Mad.mp3,,4810,BD6CBCD429D23A88,4,3845651133,2025-11-11 02:25:33,,100,,,44100,6866962,,,,,,,4,5937,1,File,2022
Mad - EP,Daoko & Yohji Igarashi,Dance,Spoopy,2:55,Setlist,02 Spoopy.mp3,Daoko_ World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\Daoko_ World Tour - CDMX 2023.xml,Daoko & Yohji Igarashi,100,True,1,126,256,Se encuentra en spotify,,,2024-09-26 20:49:37,2025-10-17 06:56:20,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Daoko%20&%20Yohji%20Igarashi/Mad%20-%20EP/02%20Spoopy.mp3,,5340,D02760A78A1463FA,2,3843574905,2025-10-18 00:41:45,,100,,,44100,5778599,,,,,,,4,5939,2,File,2022
Shitekiryoko,DAOKO × 中田ヤスタカ,J-Pop,Bokurano Network,3:37,Setlist,02 Bokurano Network.mp3,Daoko_ World Tour - CDMX 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\Daoko_ World Tour - CDMX 2023.xml,DAOKO,100,True,1,115,256,,,Yasutaka Nakata,2024-09-26 20:49:38,2025-09-23 02:58:56,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/DAOKO/Shitekiryoko/02%20Bokurano%20Network.mp3,,9479,EC792F01DED06DDE,1,3846495838,2025-11-20 21:03:58,,,,,44100,7004951,,,,,,,10,5951,2,File,2018
