Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
LADYBUG,LiSA,J-Pop,GL,3:00,Setlist,04 GL.m4a,LiSA_ Another Great Day,D:\Códigos\Musica-Analisis\files\xml\Setlist\LiSA_ Another Great Day.xml,LiSA,100,,1,133,325,Se encuentra en spotify,,Avu Barazono,2025-01-17 18:19:47,2025-10-17 06:55:19,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/LADYBUG/04%20GL.m4a,,3098,ADF648411B2F689C,5,3845733271,2025-11-12 01:14:31,,100,,2021-05-19 12:00:00,48000,7488138,,,,,,,7,13759,4,File,2021
REALiZE - Single,LiSA,Anime,REALiZE,3:10,Setlist,01 REALiZE.m4a,LiSA_ Another Great Day,D:\Códigos\Musica-Analisis\files\xml\Setlist\LiSA_ Another Great Day.xml,LiSA,100,,1,75,325,Se encuentra en spotify,,,2025-01-20 22:19:52,2025-10-17 06:55:16,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/REALiZE%20-%20Single/01%20REALiZE.m4a,,11216,B3B067EDB2034593,2,3833924937,2025-06-28 08:08:57,,100,,2023-06-14 12:00:00,48000,7908570,,,,,,,1,15065,1,File,2023
crossing field,LiSA,J-Pop,Crossing Field,4:09,Setlist,01 Crossing Field.mp3,LiSA_ Another Great Day,D:\Códigos\Musica-Analisis\files\xml\Setlist\LiSA_ Another Great Day.xml,LiSA,100,True,1,179,320,Se encuentra en spotify,,Watanabe Shou,2025-02-23 20:25:29,2025-10-17 06:55:20,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/crossing%20field/01%20Crossing%20Field.mp3,,11372,132F562CA7FB1C4D,3,3840194196,2025-09-08 21:36:36,,100,,,44100,10052945,,,,,,,4,21015,1,File,2012
Rising Hope,LiSA,Pop/Rock,Rising Hope,4:11,Setlist,01 Rising Hope.mp3,LiSA_ Another Great Day,D:\Códigos\Musica-Analisis\files\xml\Setlist\LiSA_ Another Great Day.xml,LiSA,100,True,1,95,320,Se encuentra en spotify,,Tomoya Tabuchi,2025-02-23 20:26:08,2025-10-17 06:55:16,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/Rising%20Hope/01%20Rising%20Hope.mp3,,11370,293F368093FAA56D,5,3846063768,2025-11-15 21:02:48,,100,,,44100,10121061,,,,,,,4,21079,1,File,2014
だってアタシのヒーロー。,LiSA,Anime,だってアタシのヒーロー。,3:54,Setlist,01 だってアタシのヒーロー。.mp3,LiSA_ Another Great Day,D:\Códigos\Musica-Analisis\files\xml\Setlist\LiSA_ Another Great Day.xml,LiSA,,,1,95,320,,,渡辺翔,2025-02-23 20:26:38,2025-09-23 04:11:52,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/%E3%81%A0%E3%81%A3%E3%81%A6%E3%82%A2%E3%82%BF%E3%82%B7%E3%81%AE%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%80%82/01%20%E3%81%A0%E3%81%A3%E3%81%A6%E3%82%A2%E3%82%BF%E3%82%B7%E3%81%AE%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%80%82.mp3,,19682,5001D8F227EADF85,1,3833906552,2025-06-28 03:02:32,,,,,44100,9419354,,,,,,,4,21119,1,File,2017
ReawakeR - Single,LiSA feat. Felix of Stray Kids,J-Pop,ReawakeR,3:07,Setlist,01 ReawakeR.m4a,LiSA_ Another Great Day,D:\Códigos\Musica-Analisis\files\xml\Setlist\LiSA_ Another Great Day.xml,LISA,100,,1,129,320,Se encuentra en spotify,,,2025-03-07 05:24:44,2025-10-17 06:55:14,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LISA/ReawakeR%20-%20Single/01%20ReawakeR.m4a,,4847,7124080839A33702,5,3843560724,2025-10-17 20:45:24,,100,,2025-01-05 12:00:00,48000,7653069,,,,,,,6,24173,1,File,2025
ReawakeR - Single,LiSA,J-Pop,RED ZONE,2:57,Setlist,02 RED ZONE.m4a,LiSA_ Another Great Day,D:\Códigos\Musica-Analisis\files\xml\Setlist\LiSA_ Another Great Day.xml,LISA,100,,1,122,323,Se encuentra en spotify,,,2025-03-07 05:24:44,2025-10-17 06:55:16,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/ReawakeR%20-%20Single/02%20RED%20ZONE.m4a,,7251,34CDA926AEFE7720,5,3847200695,2025-11-29 00:51:35,,100,,2025-03-05 12:00:00,48000,7305691,,,,,,,6,24181,2,File,2025
LOVER'S'MiLE,LiSA,Anime,WiLD CANDY,3:55,Setlist,05 WiLD CANDY.mp3,LiSA_ Another Great Day,D:\Códigos\Musica-Analisis\files\xml\Setlist\LiSA_ Another Great Day.xml,LiSA,100,True,1,142,256,,,礒崎健史,2025-06-26 15:58:27,2025-09-23 05:26:04,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/LOVER'S'MiLE/05%20WiLD%20CANDY.mp3,,15375,7EA8D647A052CE61,1,3833882174,2025-06-27 20:16:14,,,,,44100,7643314,,,,,,,13,27333,5,File,2012
ブラックボックス - Single,LiSA,J-pop,MAKE A MiRACLE,4:00,Setlist,02 MAKE A MiRACLE.mp3,LiSA_ Another Great Day,D:\Códigos\Musica-Analisis\files\xml\Setlist\LiSA_ Another Great Day.xml,LiSA,100,True,1,175,256,,,,2025-06-26 15:58:57,2025-07-12 08:56:29,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%E3%83%9C%E3%83%83%E3%82%AF%E3%82%B9%20-%20Single/02%20MAKE%20A%20MiRACLE.mp3,,12497,E3DFED2DEE1F5F41,1,3833926435,2025-06-28 08:33:55,,,,,44100,7771242,,,,,,,5,27527,2,File,2024
明け星 - Single,LiSA,Anime,明け星,4:29,Setlist,01 明け星.mp3,LiSA_ Another Great Day,D:\Códigos\Musica-Analisis\files\xml\Setlist\LiSA_ Another Great Day.xml,LiSA,100,True,1,95,256,Se encuentra en spotify,,梶浦由記,2025-06-26 15:59:01,2025-10-17 06:55:15,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/%E6%98%8E%E3%81%91%E6%98%9F%20-%20Single/01%20%E6%98%8E%E3%81%91%E6%98%9F.mp3,,10087,A0B3928D85EDDEC4,2,3833956321,2025-06-28 16:52:01,,100,,,44100,8682190,,,,,,,1,27557,1,File,2021
QUEEN - Single,LiSA,Anime,QUEEN,3:08,Setlist,01 QUEEN.mp3,LiSA_ Another Great Day,D:\Códigos\Musica-Analisis\files\xml\Setlist\LiSA_ Another Great Day.xml,LiSA,100,True,1,140,256,Se encuentra en spotify,,,2025-06-26 15:59:07,2025-10-17 06:55:16,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/QUEEN%20-%20Single/01%20QUEEN.mp3,,9749,7BE45FF8CC68B19E,4,3839942819,2025-09-05 23:46:59,,100,,,44100,6115983,,,,,,,3,27613,1,File,2024
oath sign - EP,LiSA,Anime,oath sign,4:09,Setlist,01 oath sign.mp3,LiSA_ Another Great Day,D:\Códigos\Musica-Analisis\files\xml\Setlist\LiSA_ Another Great Day.xml,LiSA,100,True,1,76,256,Se encuentra en spotify,,渡辺翔,2025-06-26 15:59:09,2025-10-17 06:55:17,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/oath%20sign%20-%20EP/01%20oath%20sign.mp3,,16106,E8964F04F0208D36,3,3834414887,2025-07-04 00:14:47,,100,,,44100,8053277,,,,,,,4,27621,1,File,2011
homura - EP,LiSA,Anime,homura,4:34,Setlist,01 homura.mp3,LiSA_ Another Great Day,D:\Códigos\Musica-Analisis\files\xml\Setlist\LiSA_ Another Great Day.xml,LiSA,100,True,1,76,256,Se encuentra en spotify,,Yuki Kajiura,2025-06-26 15:59:12,2025-10-17 06:55:19,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/homura%20-%20EP/01%20homura.mp3,,7522,CBAA9647ECF5CD06,3,3843633286,2025-10-18 16:54:46,,100,,,44100,8862159,,,,,,,5,27633,1,File,2020
Catch the Moment - Single,LiSA,Anime,Catch the Moment,4:42,Setlist,01 Catch the Moment.mp3,LiSA_ Another Great Day,D:\Códigos\Musica-Analisis\files\xml\Setlist\LiSA_ Another Great Day.xml,LiSA,100,True,1,95,256,Se encuentra en spotify,,田淵智也,2025-06-26 15:59:18,2025-10-17 06:55:21,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/Catch%20the%20Moment%20-%20Single/01%20Catch%20the%20Moment.mp3,,17436,A5034DCF3CF1B5EB,2,3834331547,2025-07-03 01:05:47,,100,,,44100,9122131,,,,,,,3,27653,1,File,2017
"best day,best way - EP",LiSA,Anime,"best day, best way",4:44,Setlist,"01 best day, best way.mp3",LiSA_ Another Great Day,D:\Códigos\Musica-Analisis\files\xml\Setlist\LiSA_ Another Great Day.xml,LiSA,,,1,90,256,,,田淵智也,2025-06-26 15:59:18,2025-09-23 05:04:52,1,1,,,5,Archivo de audio MPEG,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/LiSA/best%20day,best%20way%20-%20EP/01%20best%20day,%20best%20way.mp3",,17004,198834FC52E80424,1,3833889455,2025-06-27 22:17:35,,,,,44100,9199840,,,,,,,4,27659,1,File,2013
