Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Do or Die - Single,ナノ,J-Rock,Do or Die,3:42,Setlist,01 Do or Die.mp3,Nano_ World Tour 2025 - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Nano_ World Tour 2025 - CDMX 2025.xml,ナノ,100,True,1,140,256,Se encuentra en spotify,,,2024-09-26 20:54:17,2025-10-17 06:53:18,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/Do%20or%20Die%20-%20Single/01%20Do%20or%20Die.mp3,,4312,641859DF2BB6050E,1,3821781602,2025-02-07 20:00:02,,100,,,44100,8087527,,,,,,,1,8103,1,File,2024
Dreamcatcher (nano Ver.) - Single,ナノ,Anime,Dreamcatcher,3:37,Setlist,01 Dreamcatcher.mp3,Nano_ World Tour 2025 - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Nano_ World Tour 2025 - CDMX 2025.xml,ナノ,100,True,1,90,256,Se encuentra en spotify,,ウエスト グラウンド & ナノ,2024-09-26 20:54:18,2025-10-17 06:53:17,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/Dreamcatcher%20(nano%20Ver.)%20-%20Single/01%20Dreamcatcher.mp3,,11203,ACAE4C5FACE0258D,4,3843581105,2025-10-18 02:25:05,,100,,,44100,7078960,,,,,,,2,8115,1,File,2016
Infinity≠Zero - Sable (nano Ver.) - Single,ナノ,Anime,Sable,3:49,Setlist,02 Sable.mp3,Nano_ World Tour 2025 - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Nano_ World Tour 2025 - CDMX 2025.xml,ナノ,100,True,1,100,256,Se encuentra en spotify,,WEST GROUND,2024-09-26 20:54:19,2025-10-17 06:53:17,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/Infinity%E2%89%A0Zero%20-%20Sable%20(nano%20Ver.)%20-%20Sing/02%20Sable.mp3,,12248,151CF429DC074A98,3,3823519601,2025-02-27 22:46:41,,100,,,44100,7443099,,,,,,,3,8127,2,File,2014
Lost In Gray - Single,ナノ,J-Rock,Lost In Gray,3:28,Setlist,01 Lost In Gray.mp3,Nano_ World Tour 2025 - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Nano_ World Tour 2025 - CDMX 2025.xml,ナノ,100,True,1,164,256,Se encuentra en spotify,,,2024-09-26 20:54:20,2025-10-17 06:53:17,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/Lost%20In%20Gray%20-%20Single/01%20Lost%20In%20Gray.mp3,,11052,D6E065A35F9A62CB,7,3847092262,2025-11-27 18:44:22,,100,,,44100,6779413,,,,,,,1,8135,1,File,2024
N,ナノ,Anime,Nevereverland,4:46,Setlist,04 Nevereverland.mp3,Nano_ World Tour 2025 - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Nano_ World Tour 2025 - CDMX 2025.xml,ナノ,100,True,1,103,256,Se encuentra en spotify,,,2024-09-26 20:54:22,2025-10-17 06:53:16,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/N/04%20Nevereverland.mp3,,10114,C774EEC278A68601,5,3822908222,2025-02-20 20:57:02,,100,,,44100,9276371,,,,,,,13,8149,4,File,2013
nano's Remixes,ナノ,Anime,Freedom Is Yours,4:27,Setlist,01 Freedom Is Yours.mp3,Nano_ World Tour 2025 - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Nano_ World Tour 2025 - CDMX 2025.xml,ナノ,100,True,1,130,256,Se encuentra en spotify,,,2024-09-26 20:54:24,2025-10-17 06:53:15,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/nano's%20Remixes/01%20Freedom%20Is%20Yours.mp3,,13242,2DD754C6FC119FB7,5,3837783519,2025-08-11 23:58:39,,100,,,44100,8679111,,,,,,,7,8169,1,File,2016
Nanoir,ナノ,J-Pop,Hysteria,4:10,Setlist,02 Hysteria.mp3,Nano_ World Tour 2025 - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Nano_ World Tour 2025 - CDMX 2025.xml,ナノ,100,True,1,105,256,Se encuentra en spotify,,,2024-09-26 20:54:25,2025-10-17 06:53:16,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/Nanoir/02%20Hysteria.mp3,,10646,87F91C1B458EDD69,3,3842207803,2025-10-02 04:56:43,,100,,,44100,8091742,,,,,,,12,8185,2,File,2012
"No Pain, No Game  nano ver.  - Single",ナノ,Anime,"No Pain, No Game",3:22,Setlist,"01 No Pain, No Game.mp3",Nano_ World Tour 2025 - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Nano_ World Tour 2025 - CDMX 2025.xml,ナノ,100,True,1,95,256,Se encuentra en spotify,,Tsukamoto Kem,2024-09-26 20:54:28,2025-10-17 06:53:15,1,1,,,5,Archivo de audio MPEG,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/No%20Pain,%20No%20Game%20%20nano%20ver.%20%20-%20Single/01%20No%20Pain,%20No%20Game.mp3",,16903,ED9C9C1477DCCF11,7,3845650689,2025-11-11 02:18:09,,100,,,44100,6555955,,,,,,,2,8207,1,File,2012
Noixe,ナノ,Anime,Fight Song,3:28,Setlist,1-02 Fight Song.mp3,Nano_ World Tour 2025 - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Nano_ World Tour 2025 - CDMX 2025.xml,ナノ,100,True,1,91,256,Se encuentra en spotify,,,2024-09-26 20:54:29,2025-10-17 06:53:15,2,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/Noixe/1-02%20Fight%20Song.mp3,,11810,C2B0948747EBF28A,5,3821780252,2025-02-07 19:37:32,,100,,,44100,6748748,,,,,,,10,8219,2,File,2023
Oblivion - Single,ナノ,J-Rock,Oblivion,3:24,Setlist,01 Oblivion.mp3,Nano_ World Tour 2025 - CDMX 2025,D:\Códigos\Musica-Analisis\files\xml\Setlist\Nano_ World Tour 2025 - CDMX 2025.xml,ナノ,100,True,1,89,256,Se encuentra en spotify,,,2024-09-26 20:54:31,2025-10-17 06:53:14,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/%E3%83%8A%E3%83%8E/Oblivion%20-%20Single/01%20Oblivion.mp3,,7773,7E94CC03E6A7E1BE,3,3844433248,2025-10-28 00:07:28,,100,,,44100,6690530,,,,,,,1,8243,1,File,2024
