Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Ambitions,ONE OK ROCK,J-Pop,We are,4:15,Setlist,04 We are.m4a,One Ok Rock_ DETOX Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ DETOX Tour.xml,ONE OK ROCK,100,True,1,148,2304,Se encuentra en spotify,,"TORU, Colin Brittain, Taka, Nick Long, TORU, Nick Long, Colin Brittain & Taka",2024-09-26 20:55:25,2025-10-17 06:54:55,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Ambitions/04%20We%20are.m4a,,10083,09BC54F31A8E4EF1,2,3845721968,2025-11-11 22:06:08,,100,,,48000,58002235,,,,,,,14,8411,4,File,2017
Eye of the Storm,ONE OK ROCK,J-Rock,Stand Out Fit In,3:34,Setlist,02 Stand Out Fit In.m4a,One Ok Rock_ DETOX Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ DETOX Tour.xml,ONE OK ROCK,100,True,1,126,1536,Se encuentra en spotify,,"Derek Fuhrmann, Jamil Kazmi, Liam O'Donnell & Taka",2024-09-26 20:56:12,2025-10-17 06:54:52,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Eye%20of%20the%20Storm/02%20Stand%20Out%20Fit%20In.m4a,,6884,87789B50413D659F,3,3835889229,2025-07-21 01:47:09,,100,,,48000,30120699,,,,,,,13,8499,2,File,2019
Luxury Disease,ONE OK ROCK,J-Pop,Save Yourself,3:17,Setlist,01 Save Yourself.m4a,One Ok Rock_ DETOX Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ DETOX Tour.xml,ONE OK ROCK,100,True,1,165,2304,Se encuentra en spotify,,"Andrew DeCaro, Charles Roberts Nelsen, Derek Tyler Carter, Kyle Buckley, Luis SHNDO Martinez, Rob Cavallo, Sasha Sirota, Taka & Toru",2024-09-26 20:56:48,2025-10-17 06:54:51,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Luxury%20Disease/01%20Save%20Yourself.m4a,,10694,E8B80F300BD4CA31,10,3847098152,2025-11-27 20:22:32,,100,,,48000,46124315,,,,,,,15,8579,1,File,2022
Luxury Disease,ONE OK ROCK,J-Pop,Let Me Let You Go,3:00,Setlist,05 Let Me Let You Go.m4a,One Ok Rock_ DETOX Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ DETOX Tour.xml,ONE OK ROCK,100,True,1,96,2304,Se encuentra en spotify,,"Ashton Irwin, Colin Brittian, Elisha Noll, Madison Simmen & Taka",2024-09-26 20:56:53,2025-10-17 06:54:50,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Luxury%20Disease/05%20Let%20Me%20Let%20You%20Go.m4a,,8898,DAA70A95728720EC,3,3843122094,2025-10-12 18:54:54,,100,,,48000,41954477,,,,,,,15,8587,5,File,2022
Luxury Disease,ONE OK ROCK,J-Pop,Renegades,4:04,Setlist,10 Renegades.m4a,One Ok Rock_ DETOX Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ DETOX Tour.xml,ONE OK ROCK,100,True,1,154,2304,,,"David Pramik, Ed Sheeran, Janee 'Jin Jin' Bennett, Masato Hayakawa & Taka",2024-09-26 20:57:03,2025-10-04 10:44:25,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Luxury%20Disease/10%20Renegades.m4a,,6870,CC5AFB5F5E885CD8,1,3846496371,2025-11-20 21:12:51,,,,,48000,55499526,,,,,,,15,8597,10,File,2022
Make It Out Alive,ONE OK ROCK,J-Rock,Make It Out Alive,3:29,Setlist,01 Make It Out Alive.m4a,One Ok Rock_ DETOX Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ DETOX Tour.xml,ONE OK ROCK,100,True,1,137,2304,Se encuentra en spotify,,Kane Churko,2024-09-26 20:57:23,2025-10-17 06:54:49,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Make%20It%20Out%20Alive/01%20Make%20It%20Out%20Alive.m4a,,13208,2425D4C501B9A05F,3,3846785749,2025-11-24 05:35:49,,100,,,48000,50671172,1,2025-10-28 00:04:03,,,,,1,8635,1,File,2023
Niche Syndrome,ONE OK ROCK,J-Rock,Wherever You Are,4:55,Setlist,09 Wherever You Are.m4a,One Ok Rock_ DETOX Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ DETOX Tour.xml,ONE OK ROCK,100,True,1,87,1536,,,TAKA,2024-09-26 20:57:36,2025-09-23 03:49:35,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Niche%20Syndrome/09%20Wherever%20You%20Are.m4a,,10418,BE98C380FFCCDB3D,1,3829947137,2025-05-13 07:12:17,,,,,48000,37579695,2,2025-01-16 01:25:06,,,ONE OK ROCK,Wherever You Are,13,8663,9,File,2010
人生×僕=,ONE OK ROCK,J-Pop,The Beginning,4:52,Setlist,04 The Beginning.m4a,One Ok Rock_ DETOX Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ DETOX Tour.xml,ONE OK ROCK,100,True,1,182,1536,Se encuentra en spotify,,TAKA,2024-09-26 20:58:07,2025-10-17 06:54:48,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/%E4%BA%BA%E7%94%9F%C3%97%E5%83%95=/04%20The%20Beginning.m4a,,16216,B7DD5A8158C1C6C5,2,3840281644,2025-09-09 21:54:04,,100,,,48000,42711937,,,,,,Beginning,13,8739,4,File,2013
DETOX - International Version,ONE OK ROCK,J-Rock,The Pilot </3,3:51,Setlist,11 The Pilot __3.m4a,One Ok Rock_ DETOX Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ DETOX Tour.xml,ONE OK ROCK,100,,1,105,256,Se encuentra en spotify,,"Derek Tyler Carter, Jin Jin, Pete Nappi & Taka.",2025-02-20 19:00:55,2025-10-17 06:54:53,1,1,,,5,Archivo de audio AAC comprado,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/DETOX%20-%20International%20Version/11%20The%20Pilot%20__3.m4a,,9316,1914552567CFB1EA,5,3842280899,2025-10-03 01:14:59,True,100,,,44100,8275200,,,,,ONE OK ROCK,Pilot </3,11,19249,11,File,2025
DETOX - International Version,ONE OK ROCK,J-Rock,Tiny Pieces,3:34,Setlist,07 Tiny Pieces.m4a,One Ok Rock_ DETOX Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ DETOX Tour.xml,ONE OK ROCK,100,,1,74,256,Se encuentra en spotify,,"Dan Lancaster, Derek Tyler Carter, Sasha Sirota & Taka.",2025-02-20 19:00:55,2025-10-17 06:54:53,1,1,,,5,Archivo de audio AAC comprado,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/DETOX%20-%20International%20Version/07%20Tiny%20Pieces.m4a,,6602,C60E5A94BF2FB9CA,4,3847116910,2025-11-28 01:35:10,True,100,,,44100,7676935,,,,,ONE OK ROCK,Tiny Pieces,11,19251,7,File,2025
