Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
35xxxv,ONE OK ROCK,J-Pop,Heartache,4:24,Setlist,06 Heartache.m4a,One Ok Rock_ Luxury Disease Japan Tour 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ Luxury Disease Japan Tour 2023.xml,ONE OK ROCK,100,True,1,72,2304,,,TakaA. Lanni,2024-09-26 20:54:52,2025-10-04 08:30:49,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/35xxxv/06%20Heartache.m4a,,6285,ABD3AE81D6B0FEEF,1,3846496394,2025-11-20 21:13:14,,,,,48000,60566297,,,,,,,13,8359,6,File,2015
Ambitions,ONE OK ROCK,J-Pop,We are,4:15,Setlist,04 We are.m4a,One Ok Rock_ Luxury Disease Japan Tour 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ Luxury Disease Japan Tour 2023.xml,ONE OK ROCK,100,True,1,148,2304,Se encuentra en spotify,,"TORU, Colin Brittain, Taka, Nick Long, TORU, Nick Long, Colin Brittain & Taka",2024-09-26 20:55:25,2025-10-17 06:54:55,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Ambitions/04%20We%20are.m4a,,10083,09BC54F31A8E4EF1,2,3845721968,2025-11-11 22:06:08,,100,,,48000,58002235,,,,,,,14,8411,4,File,2017
Eye of the Storm,ONE OK ROCK,J-Rock,Stand Out Fit In,3:34,Setlist,02 Stand Out Fit In.m4a,One Ok Rock_ Luxury Disease Japan Tour 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ Luxury Disease Japan Tour 2023.xml,ONE OK ROCK,100,True,1,126,1536,Se encuentra en spotify,,"Derek Fuhrmann, Jamil Kazmi, Liam O'Donnell & Taka",2024-09-26 20:56:12,2025-10-17 06:54:52,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Eye%20of%20the%20Storm/02%20Stand%20Out%20Fit%20In.m4a,,6884,87789B50413D659F,3,3835889229,2025-07-21 01:47:09,,100,,,48000,30120699,,,,,,,13,8499,2,File,2019
Eye of the Storm,ONE OK ROCK,J-Rock,Wasted Nights,3:44,Setlist,06 Wasted Nights.m4a,One Ok Rock_ Luxury Disease Japan Tour 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ Luxury Disease Japan Tour 2023.xml,ONE OK ROCK,100,True,1,125,1536,,,"Jamil Kazmi, Janee Bennett, Pete Nappi & Takahiro Moriuchi",2024-09-26 20:56:22,2025-10-04 09:27:18,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Eye%20of%20the%20Storm/06%20Wasted%20Nights.m4a,,6759,66FDE53A5FC10103,1,3846496362,2025-11-20 21:12:42,,,,,48000,30011351,,,,,,,13,8515,6,File,2019
Luxury Disease,ONE OK ROCK,J-Pop,Save Yourself,3:17,Setlist,01 Save Yourself.m4a,One Ok Rock_ Luxury Disease Japan Tour 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ Luxury Disease Japan Tour 2023.xml,ONE OK ROCK,100,True,1,165,2304,Se encuentra en spotify,,"Andrew DeCaro, Charles Roberts Nelsen, Derek Tyler Carter, Kyle Buckley, Luis SHNDO Martinez, Rob Cavallo, Sasha Sirota, Taka & Toru",2024-09-26 20:56:48,2025-10-17 06:54:51,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Luxury%20Disease/01%20Save%20Yourself.m4a,,10694,E8B80F300BD4CA31,10,3847098152,2025-11-27 20:22:32,,100,,,48000,46124315,,,,,,,15,8579,1,File,2022
Luxury Disease,ONE OK ROCK,J-Pop,Neon,3:04,Setlist,02 Neon.m4a,One Ok Rock_ Luxury Disease Japan Tour 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ Luxury Disease Japan Tour 2023.xml,ONE OK ROCK,100,True,1,137,2304,Se encuentra en spotify,,"Brendon Urie, Charles Roberts Nelsen, Derek Tyler Carter, Jake Sinclair, Kyle Buckley, Mike Viola, Rob Cavallo, Taka & Toru",2024-09-26 20:56:49,2025-10-17 06:54:51,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Luxury%20Disease/02%20Neon.m4a,,9177,A332BFFD44961C60,2,3844607901,2025-10-30 00:38:21,,100,,,48000,42356362,,,,,,,15,8581,2,File,2022
Luxury Disease,ONE OK ROCK,J-Pop,Vandalize,3:14,Setlist,03 Vandalize.m4a,One Ok Rock_ Luxury Disease Japan Tour 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ Luxury Disease Japan Tour 2023.xml,ONE OK ROCK,100,True,1,134,2304,Se encuentra en spotify,,"Andrew DeCaro, Derek Tyler Carter, Rob Cavallo, Sasha Sirota & Taka",2024-09-26 20:56:50,2025-10-17 06:54:51,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Luxury%20Disease/03%20Vandalize.m4a,,6217,9A1D531022364225,3,3843146830,2025-10-13 01:47:10,,100,,,48000,43460731,,,,,,,15,8583,3,File,2022
Luxury Disease,ONE OK ROCK,J-Pop,When They Turn the Lights On,3:27,Setlist,04 When They Turn the Lights On.m4a,One Ok Rock_ Luxury Disease Japan Tour 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ Luxury Disease Japan Tour 2023.xml,ONE OK ROCK,100,True,1,78,2304,,,"Christopher J. Baran, Derek Tyler Carter, Jake Sinclair, Rob Cavallo, Sasha Sirota & Taka",2024-09-26 20:56:52,2025-09-23 04:25:37,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Luxury%20Disease/04%20When%20They%20Turn%20the%20Lights%20On.m4a,,6115,5A2E7CFCA0E4AED5,1,3829992300,2025-05-13 19:45:00,,,,,48000,46216105,,,,,,,15,8585,4,File,2022
Luxury Disease,ONE OK ROCK,J-Pop,Let Me Let You Go,3:00,Setlist,05 Let Me Let You Go.m4a,One Ok Rock_ Luxury Disease Japan Tour 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ Luxury Disease Japan Tour 2023.xml,ONE OK ROCK,100,True,1,96,2304,Se encuentra en spotify,,"Ashton Irwin, Colin Brittian, Elisha Noll, Madison Simmen & Taka",2024-09-26 20:56:53,2025-10-17 06:54:50,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Luxury%20Disease/05%20Let%20Me%20Let%20You%20Go.m4a,,8898,DAA70A95728720EC,3,3843122094,2025-10-12 18:54:54,,100,,,48000,41954477,,,,,,,15,8587,5,File,2022
Luxury Disease,ONE OK ROCK,J-Pop,So Far Gone,3:35,Setlist,06 So Far Gone.m4a,One Ok Rock_ Luxury Disease Japan Tour 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ Luxury Disease Japan Tour 2023.xml,ONE OK ROCK,100,True,1,83,2304,Se encuentra en spotify,,"David Pramik, Derek Tyler Carter, Griff Clawson, Rob Cavallo, Taka & Toru",2024-09-26 20:56:54,2025-10-17 06:54:50,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Luxury%20Disease/06%20So%20Far%20Gone.m4a,,5437,76F3E7341D6481E3,4,3847088995,2025-11-27 17:49:55,,100,,,48000,48345847,,,,,,,15,8589,6,File,2022
Luxury Disease,ONE OK ROCK,J-Pop,Mad World,3:02,Setlist,08 Mad World.m4a,One Ok Rock_ Luxury Disease Japan Tour 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ Luxury Disease Japan Tour 2023.xml,ONE OK ROCK,100,True,1,80,2304,Se encuentra en spotify,,"Jordan Benjamin, Pete Nappi, Taka & Toru",2024-09-26 20:56:56,2025-10-17 06:54:50,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Luxury%20Disease/08%20Mad%20World.m4a,,6332,5969DA1F4E054489,3,3839863951,2025-09-05 01:52:31,,100,,,48000,40634409,,,,,,,15,8593,8,File,2022
Luxury Disease,ONE OK ROCK,J-Pop,Renegades,4:04,Setlist,10 Renegades.m4a,One Ok Rock_ Luxury Disease Japan Tour 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ Luxury Disease Japan Tour 2023.xml,ONE OK ROCK,100,True,1,154,2304,,,"David Pramik, Ed Sheeran, Janee 'Jin Jin' Bennett, Masato Hayakawa & Taka",2024-09-26 20:57:03,2025-10-04 10:44:25,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Luxury%20Disease/10%20Renegades.m4a,,6870,CC5AFB5F5E885CD8,1,3846496371,2025-11-20 21:12:51,,,,,48000,55499526,,,,,,,15,8597,10,File,2022
Luxury Disease,ONE OK ROCK,J-Pop,Your Tears are Mine,4:16,Setlist,12 Your Tears are Mine.m4a,One Ok Rock_ Luxury Disease Japan Tour 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ Luxury Disease Japan Tour 2023.xml,ONE OK ROCK,100,True,1,170,2304,Se encuentra en spotify,,"Andrew DeCaro, Jake Sinclair, King Aventurina Dorothea, Nick Long, Rob Cavallo & Taka",2024-09-26 20:57:04,2025-10-17 06:54:50,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Luxury%20Disease/12%20Your%20Tears%20are%20Mine.m4a,,8661,3C133074B7FB1776,3,3845281855,2025-11-06 19:50:55,,100,,,48000,57257517,,,,,,,15,8601,12,File,2022
Luxury Disease,ONE OK ROCK,J-Pop,Wonder,3:47,Setlist,13 Wonder.m4a,One Ok Rock_ Luxury Disease Japan Tour 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ Luxury Disease Japan Tour 2023.xml,ONE OK ROCK,100,True,1,160,2304,,,"David Pramik, Janee""Jin Jin""Bennett, Masato Hayakawa, Taka & Toru",2024-09-26 20:57:04,2025-09-23 05:36:15,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Luxury%20Disease/13%20Wonder.m4a,,10032,569E52A1F94E29D5,1,3829989565,2025-05-13 18:59:25,,,,,48000,53698318,,,,,,,15,8603,13,File,2022
Luxury Disease,ONE OK ROCK feat.藤原聡 (Official髭男dism),J-Pop,Gravity,3:11,Setlist,15 Gravity.m4a,One Ok Rock_ Luxury Disease Japan Tour 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ Luxury Disease Japan Tour 2023.xml,ONE OK ROCK,100,True,1,97,2304,Se encuentra en spotify,,,2024-09-26 20:57:06,2025-10-17 06:54:44,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Luxury%20Disease/15%20Gravity.m4a,,6643,E7A3FD60B51951A9,5,3843567751,2025-10-17 22:42:31,,100,,,48000,42844748,,,,,,,15,8607,15,File,2022
Niche Syndrome,ONE OK ROCK,J-Rock,Kanzen Kankaku Dreamer,4:12,Setlist,03 Kanzen Kankaku Dreamer.m4a,One Ok Rock_ Luxury Disease Japan Tour 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ Luxury Disease Japan Tour 2023.xml,ONE OK ROCK,100,True,1,95,1536,Se encuentra en spotify,,,2024-09-26 20:57:29,2025-10-17 06:54:49,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Niche%20Syndrome/03%20Kanzen%20Kankaku%20Dreamer.m4a,,16335,683B665EE2B69965,2,3837241454,2025-08-05 17:24:14,,100,,,48000,38389186,,,,,ONE OK ROCK,Kanzen Kankaku Dreamer,13,8651,3,File,2010
ZEITAKUBYOU,ONE OK ROCK,J-Pop,KAGEROU,4:08,Setlist,06 KAGEROU.m4a,One Ok Rock_ Luxury Disease Japan Tour 2023,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ Luxury Disease Japan Tour 2023.xml,ONE OK ROCK,100,True,1,160,1536,Se encuentra en spotify,,,2024-09-26 20:57:57,2025-10-17 06:54:48,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/ZEITAKUBYOU/06%20KAGEROU.m4a,,5619,6C720655E86D678F,6,3846413091,2025-11-19 22:04:51,,100,,2007-11-21 12:00:00,48000,30566561,,,,,,,11,8713,6,File,2007
