Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
35xxxv,ONE OK ROCK,J-Pop,Mighty Long Fall,4:03,Setlist,05 Mighty Long Fall.m4a,One Ok Rock_ USA - South America - Europe Tour 2014,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ USA - South America - Europe Tour 2014.xml,ONE OK ROCK,100,True,1,79,2304,Se encuentra en spotify,,ONE OK ROCKJ. Feldmann,2024-09-26 20:54:50,2025-10-17 06:54:45,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/35xxxv/05%20Mighty%20Long%20Fall.m4a,,11223,01AC9A146D06972E,5,3837425964,2025-08-07 20:39:24,,100,,,48000,58946093,,,,,,,13,8357,5,File,2015
35xxxv,ONE OK ROCK,J-Pop,Decision,3:44,Setlist,08 Decision.m4a,One Ok Rock_ USA - South America - Europe Tour 2014,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ USA - South America - Europe Tour 2014.xml,ONE OK ROCK,100,True,1,80,2304,,,J. Feldmann,2024-09-26 20:54:55,2025-09-23 06:12:17,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/35xxxv/08%20Decision.m4a,,9095,0E58942A8561B17A,1,3829921622,2025-05-13 00:07:02,,,,,48000,52511992,,,,,,,13,8363,8,File,2015
35xxxv,ONE OK ROCK,J-Pop,Stuck in the middle,3:32,Setlist,12 Stuck in the middle.m4a,One Ok Rock_ USA - South America - Europe Tour 2014,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ USA - South America - Europe Tour 2014.xml,ONE OK ROCK,100,True,1,95,2304,Se encuentra en spotify,,J. Feldmann,2024-09-26 20:54:59,2025-10-17 06:54:45,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/35xxxv/12%20Stuck%20in%20the%20middle.m4a,,15583,D93B663B81DCD0A0,4,3845979105,2025-11-14 21:31:45,,100,,,48000,51900322,1,2025-10-03 02:11:42,,,,,13,8371,12,File,2015
Niche Syndrome,ONE OK ROCK,J-Rock,Wherever You Are,4:55,Setlist,09 Wherever You Are.m4a,One Ok Rock_ USA - South America - Europe Tour 2014,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ USA - South America - Europe Tour 2014.xml,ONE OK ROCK,100,True,1,87,1536,,,TAKA,2024-09-26 20:57:36,2025-09-23 03:49:35,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/Niche%20Syndrome/09%20Wherever%20You%20Are.m4a,,10418,BE98C380FFCCDB3D,1,3829947137,2025-05-13 07:12:17,,,,,48000,37579695,2,2025-01-16 01:25:06,,,ONE OK ROCK,Wherever You Are,13,8663,9,File,2010
人生×僕=,ONE OK ROCK,J-Pop,The Beginning,4:52,Setlist,04 The Beginning.m4a,One Ok Rock_ USA - South America - Europe Tour 2014,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ USA - South America - Europe Tour 2014.xml,ONE OK ROCK,100,True,1,182,1536,Se encuentra en spotify,,TAKA,2024-09-26 20:58:07,2025-10-17 06:54:48,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/%E4%BA%BA%E7%94%9F%C3%97%E5%83%95=/04%20The%20Beginning.m4a,,16216,B7DD5A8158C1C6C5,2,3840281644,2025-09-09 21:54:04,,100,,,48000,42711937,,,,,,Beginning,13,8739,4,File,2013
人生×僕=,ONE OK ROCK,J-Pop,Clock Strikes,3:55,Setlist,05 Clock Strikes.m4a,One Ok Rock_ USA - South America - Europe Tour 2014,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ USA - South America - Europe Tour 2014.xml,ONE OK ROCK,100,True,1,96,1536,Se encuentra en spotify,,"Toru, Taka",2024-09-26 20:58:08,2025-10-17 06:54:47,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/%E4%BA%BA%E7%94%9F%C3%97%E5%83%95=/05%20Clock%20Strikes.m4a,,8444,BADA35336B3F2C2B,1,3832686531,2025-06-14 00:08:51,,100,,,48000,31767434,,,,,,,13,8741,5,File,2013
人生×僕=,ONE OK ROCK,J-Pop,Be the light,5:38,Setlist,06 Be the light.m4a,One Ok Rock_ USA - South America - Europe Tour 2014,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ USA - South America - Europe Tour 2014.xml,ONE OK ROCK,100,True,1,82,1536,,,TAKA,2024-09-26 20:58:09,2025-09-23 03:11:36,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/%E4%BA%BA%E7%94%9F%C3%97%E5%83%95=/06%20Be%20the%20light.m4a,,8550,D4A108BAB4D30A03,1,3843122434,2025-10-12 19:00:34,,,,,48000,48633526,,,,,,,13,8743,6,File,2013
人生×僕=,ONE OK ROCK,J-Pop,Nothing Helps,4:46,Setlist,07 Nothing Helps.m4a,One Ok Rock_ USA - South America - Europe Tour 2014,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ USA - South America - Europe Tour 2014.xml,ONE OK ROCK,100,True,1,91,1536,Se encuentra en spotify,,ONE OK ROCK,2024-09-26 20:58:10,2025-10-17 06:54:47,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/%E4%BA%BA%E7%94%9F%C3%97%E5%83%95=/07%20Nothing%20Helps.m4a,,9576,F89A888444B2C092,3,3844099090,2025-10-24 02:18:10,,100,,,48000,40273165,,,,,,,13,8745,7,File,2013
人生×僕=,ONE OK ROCK,J-Pop,Deeper Deeper,3:36,Setlist,11 Deeper Deeper.m4a,One Ok Rock_ USA - South America - Europe Tour 2014,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ USA - South America - Europe Tour 2014.xml,ONE OK ROCK,100,True,1,159,1536,Se encuentra en spotify,,"Tomoya,Ryota",2024-09-26 20:58:12,2025-10-17 06:54:47,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/%E4%BA%BA%E7%94%9F%C3%97%E5%83%95=/11%20Deeper%20Deeper.m4a,,12472,87FB105D281FE9E3,2,3837437412,2025-08-07 23:50:12,,100,,,48000,30689749,,,,,,,13,8751,11,File,2013
残響リファレンス,ONE OK ROCK,J-Pop,NO SCARED,3:39,Setlist,04 NO SCARED.m4a,One Ok Rock_ USA - South America - Europe Tour 2014,D:\Códigos\Musica-Analisis\files\xml\Setlist\One Ok Rock_ USA - South America - Europe Tour 2014.xml,ONE OK ROCK,100,True,1,93,1536,Se encuentra en spotify,,ONE OK ROCK,2024-09-26 20:58:22,2025-10-17 06:54:46,1,1,,,5,Audio Apple Lossless,1,file://localhost/F:/iTunes/iTunes%20Media/Music/ONE%20OK%20ROCK/%E6%AE%8B%E9%9F%BF%E3%83%AA%E3%83%95%E3%82%A1%E3%83%AC%E3%83%B3%E3%82%B9/04%20NO%20SCARED.m4a,,11794,2B59F418A2BE2AFF,4,3843651883,2025-10-18 22:04:43,,100,,,48000,31892861,,,,,,,11,8773,4,File,2011
