Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
MALVAS - Single,Leo Rizzi & Paty Cantú,Pop,MALVAS,3:03,Setlist,01 MALVAS.mp3,Paty Cantú_ Feliz Breakup Tour - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Paty Cantú_ Feliz Breakup Tour - CDMX 2024.xml,Leo Rizzi & Paty Cantú,100,True,1,68,256,Se encuentra en spotify,,,2024-09-26 20:53:02,2025-10-17 06:55:29,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Leo%20Rizzi%20&%20Paty%20Cant%C3%BA/MALVAS%20-%20Single/01%20MALVAS.mp3,,5955,DCCD2526EA2C50CF,5,3845720142,2025-11-11 21:35:42,,100,,,44100,5962289,,,,,,,1,7381,1,File,2024
#333 (Edición Deluxe),Paty Cantú,Pop en español,Mariposas,2:59,Setlist,01 Mariposas.mp3,Paty Cantú_ Feliz Breakup Tour - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Paty Cantú_ Feliz Breakup Tour - CDMX 2024.xml,Paty Cantú,100,True,1,98,256,,,Paty Cantú & Ángela Dávalos,2024-09-26 20:58:32,2025-10-04 10:48:30,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Paty%20Cant%C3%BA/%23333%20(Edici%C3%B3n%20Deluxe)/01%20Mariposas.mp3,,4564,8CA04BF282EC2EC9,1,3846496432,2025-11-20 21:13:52,,,,,44100,5789893,,,,,,,29,8791,1,File,2018
#333 (Edición Deluxe),Paty Cantú,Pop en español,"Amor, Amor, Amor",3:46,Setlist,"06 Amor, Amor, Amor.mp3",Paty Cantú_ Feliz Breakup Tour - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Paty Cantú_ Feliz Breakup Tour - CDMX 2024.xml,Paty Cantú,100,True,1,148,256,,,"Paty Cantú, Ángela Dávalos, Daniel Volpe, Eric Palmqwist & Thomas Lipp",2024-09-26 20:58:32,2025-09-23 03:47:38,1,1,,,5,Archivo de audio MPEG,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/Paty%20Cant%C3%BA/%23333%20(Edici%C3%B3n%20Deluxe)/06%20Amor,%20Amor,%20Amor.mp3",,4507,A8BD7B4BB53B43B1,1,3846496433,2025-11-20 21:13:53,,,,,44100,7286193,,,,,,,29,8797,6,File,2016
#333 (Edición Deluxe),Paty Cantú,Pop en español,Valiente,4:15,Setlist,07 Valiente.mp3,Paty Cantú_ Feliz Breakup Tour - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Paty Cantú_ Feliz Breakup Tour - CDMX 2024.xml,Paty Cantú,100,True,1,87,256,,,"Patricia Cantu, Angela Dávalos, Eric Palmqwist & Mats Hedstrom",2024-09-26 20:58:32,2025-07-12 06:27:55,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Paty%20Cant%C3%BA/%23333%20(Edici%C3%B3n%20Deluxe)/07%20Valiente.mp3,,3238,ECE47FEE0A41D2CC,1,3823507859,2025-02-27 19:30:59,,,,,44100,8223250,,,,,,,29,8799,7,File,2015
#333 (Edición Deluxe),Paty Cantú,Pop en español,Rompo Contigo,3:45,Setlist,08 Rompo Contigo.mp3,Paty Cantú_ Feliz Breakup Tour - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Paty Cantú_ Feliz Breakup Tour - CDMX 2024.xml,Paty Cantú,100,True,1,132,256,,,Patricia Cantu & Angela Dávalos,2024-09-26 20:58:32,2025-09-23 02:57:02,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Paty%20Cant%C3%BA/%23333%20(Edici%C3%B3n%20Deluxe)/08%20Rompo%20Contigo.mp3,,4223,A6C97684CB02EA2D,1,3843155976,2025-10-13 04:19:36,,,,,44100,7257769,,,,,,,29,8801,8,File,2016
#333 (Edición Deluxe),Paty Cantú,Pop en español,Cuervo,4:07,Setlist,09 Cuervo.mp3,Paty Cantú_ Feliz Breakup Tour - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Paty Cantú_ Feliz Breakup Tour - CDMX 2024.xml,Paty Cantú,100,True,1,80,256,Se encuentra en spotify,,Paty Cantú & Ángela Dávalos,2024-09-26 20:58:32,2025-10-17 06:54:32,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Paty%20Cant%C3%BA/%23333%20(Edici%C3%B3n%20Deluxe)/09%20Cuervo.mp3,,7801,F6DE186CF62B3EED,3,3826360986,2025-04-01 20:03:06,,100,,,44100,7966621,,,,,,,29,8803,9,File,2018
#333 (Edición Deluxe),Paty Cantú feat. Alejandro Sanz,Pop en español,Cuenta Pendiente,3:12,Setlist,11 Cuenta Pendiente.mp3,Paty Cantú_ Feliz Breakup Tour - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Paty Cantú_ Feliz Breakup Tour - CDMX 2024.xml,Paty Cantú,100,True,1,82,256,,,#Shark Dj® 2019 Y Hugo®.....La Unica Marca Que Revoluciona El Mercado De La Pirateria En Mexico!!,2024-09-26 20:58:32,2025-09-23 03:40:05,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Paty%20Cant%C3%BA/%23333%20(Edici%C3%B3n%20Deluxe)/11%20Cuenta%20Pendiente.mp3,,3593,E6698460EEDB3018,2,3821357092,2025-02-02 22:04:52,,,,,44100,6197852,,,,,,,29,8805,11,File,2018
Afortunadamente No Eres Tú (Edición Especial),Paty Cantú,Pop,Afortunadamente No Eres Tú,3:08,Setlist,01 Afortunadamente No Eres Tú.mp3,Paty Cantú_ Feliz Breakup Tour - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Paty Cantú_ Feliz Breakup Tour - CDMX 2024.xml,Paty Cantú,100,True,1,131,256,Se encuentra en spotify,,"Juan Carlos Moguel, Bruno Danza & Paty Cantú",2024-09-26 20:58:33,2025-10-17 06:54:37,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Paty%20Cant%C3%BA/Afortunadamente%20No%20Eres%20T%C3%BA%20(Edici%C3%B3n%20Espe/01%20Afortunadamente%20No%20Eres%20T%C3%BA.mp3,,3983,270E3C34150113C3,2,3826361933,2025-04-01 20:18:53,,100,,,44100,6106309,,,,,,,17,8833,1,File,2010
Afortunadamente No Eres Tú (Edición Especial),Paty Cantú,Pop,Goma de Mascar,2:59,Setlist,02 Goma de Mascar.mp3,Paty Cantú_ Feliz Breakup Tour - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Paty Cantú_ Feliz Breakup Tour - CDMX 2024.xml,Paty Cantú,100,True,1,133,256,Se encuentra en spotify,,"Paty Cantú, Angela Davalos & Daniel Ramirez",2024-09-26 20:58:34,2025-10-17 06:54:37,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Paty%20Cant%C3%BA/Afortunadamente%20No%20Eres%20T%C3%BA%20(Edici%C3%B3n%20Espe/02%20Goma%20de%20Mascar.mp3,,2172,9C91AAE59D7DF15E,7,3831278966,2025-05-28 17:09:26,,100,,,44100,5804502,,,,,,,17,8835,2,File,2010
Afortunadamente No Eres Tú (Edición Especial),Paty Cantú,Pop,Clavo Que Saca Otro Clavo,3:15,Setlist,03 Clavo Que Saca Otro Clavo.mp3,Paty Cantú_ Feliz Breakup Tour - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Paty Cantú_ Feliz Breakup Tour - CDMX 2024.xml,Paty Cantú,100,True,1,84,256,Se encuentra en spotify,,"Bruno Danza, Paty Cantú & Jules Ramillano",2024-09-26 20:58:34,2025-10-17 06:54:37,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Paty%20Cant%C3%BA/Afortunadamente%20No%20Eres%20T%C3%BA%20(Edici%C3%B3n%20Espe/03%20Clavo%20Que%20Saca%20Otro%20Clavo.mp3,,3607,17E547123EAD564E,4,3834405060,2025-07-03 21:31:00,,100,,,44100,6316931,,,,,,,17,8837,3,File,2010
