Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
"Thank God, There Are Hundreds of Ways To Kill Enemies",SiM,J-Rock,Baseball Bat,4:06,Setlist,05 Baseball Bat.m4a,SiM_ Latam Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\SiM_ Latam Tour.xml,SiM,100,,1,90,323,Se encuentra en spotify,,ＳｉＭ,2025-01-17 17:05:38,2025-10-17 06:53:53,1,1,,,5,Archivo de audio AAC,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/Thank%20God,%20There%20Are%20Hundreds%20of%20Ways%20To/05%20Baseball%20Bat.m4a",,18410,62C2209693844A1B,6,3845730274,2025-11-12 00:24:34,,100,,2020-04-01 12:00:00,48000,10145127,,,,,,,17,13671,5,File,2020
Playdead (Deluxe Edition),SiM,J-Rock,Red,3:54,Setlist,02 Red.m4a,SiM_ Latam Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\SiM_ Latam Tour.xml,SiM,100,,1,90,319,Se encuentra en spotify,,邦楽,2025-01-17 19:33:32,2025-10-17 06:53:54,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/Playdead%20(Deluxe%20Edition)/02%20Red.m4a,,16030,D2925E439F97C318,1,3840902542,2025-09-17 02:22:22,,100,,2023-07-14 12:00:00,48000,9536611,1,2025-09-17 02:13:59,,,,,17,14153,2,File,2023
Playdead (Deluxe Edition),SiM,J-Rock,Kiss of Death,3:52,Setlist,07 Kiss of Death.m4a,SiM_ Latam Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\SiM_ Latam Tour.xml,SiM,100,,1,80,323,,,邦楽,2025-01-17 19:33:32,2025-09-23 05:50:45,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/Playdead%20(Deluxe%20Edition)/07%20Kiss%20of%20Death.m4a,,12183,19E604A0D9D59D28,1,3840903501,2025-09-17 02:38:21,,20,,2023-09-01 12:00:00,48000,9574427,,,,,,,17,14163,7,File,2023
Playdead (Deluxe Edition),SiM,J-Rock,Do the Dance,3:16,Setlist,10 Do the Dance.m4a,SiM_ Latam Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\SiM_ Latam Tour.xml,SiM,100,,1,170,322,,,邦楽,2025-01-17 19:33:32,2025-09-23 03:07:37,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/Playdead%20(Deluxe%20Edition)/10%20Do%20the%20Dance.m4a,,14621,DA615D8AE88FE1DB,1,3840904112,2025-09-17 02:48:32,,20,,2023-09-27 12:00:00,48000,8089269,,,,,,,17,14169,10,File,2023
Playdead (Deluxe Edition),SiM,J-Rock,Under the Tree,4:31,Setlist,12 Under the Tree.m4a,SiM_ Latam Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\SiM_ Latam Tour.xml,SiM,100,,1,80,320,Se encuentra en spotify,,SiM,2025-01-17 19:33:32,2025-10-17 06:53:53,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/Playdead%20(Deluxe%20Edition)/12%20Under%20the%20Tree.m4a,,13986,55BEDCE72EAD22AD,3,3847104604,2025-11-27 22:10:04,,100,,2023-09-27 12:00:00,48000,11066459,,,,,,,17,14173,12,File,2023
LiFE and DEATH,SiM,Punk,"Get up, Get up",3:55,Setlist,"01 Get up, Get up.mp3",SiM_ Latam Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\SiM_ Latam Tour.xml,SiM,100,,1,160,320,Se encuentra en spotify,,SiM,2025-02-23 20:48:02,2025-10-17 06:53:54,1,1,,,5,Archivo de audio MPEG,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/LiFE%20and%20DEATH/01%20Get%20up,%20Get%20up.mp3",,14130,62A0F8F866119859,1,3840466682,2025-09-12 01:18:02,,100,,,44100,9529407,,,,,,,6,21621,1,File,2012
EViLS - EP,SiM,Rock,F.A.I.T.H,1:42,Setlist,03 F.A.I.T.H.mp3,SiM_ Latam Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\SiM_ Latam Tour.xml,SiM,,,1,120,256,,,Sim,2025-09-03 04:35:52,2025-09-23 06:19:06,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/EViLS%20-%20EP/03%20F.A.I.T.H.mp3,,10205,88CC676B03147204,1,3840468622,2025-09-12 01:50:22,,,,,44100,3326679,,,,,,,3,28453,3,File,2013
EViLS - EP,SiM,Rock,Blah Blah Blah,3:50,Setlist,01 Blah Blah Blah.mp3,SiM_ Latam Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\SiM_ Latam Tour.xml,SiM,,,1,85,256,,,Sim,2025-09-03 04:35:52,2025-09-23 06:00:45,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/EViLS%20-%20EP/01%20Blah%20Blah%20Blah.mp3,,10776,53B13C3587A8838C,1,3840468250,2025-09-12 01:44:10,,,,,44100,7432317,,,,,,,3,28461,1,File,2013
A - The Sound of Breath - Single,SiM,Rock,A,3:57,Setlist,01 A.mp3,SiM_ Latam Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\SiM_ Latam Tour.xml,SiM,,,1,94,256,,,SiM,2025-09-03 05:00:16,2025-10-04 10:52:15,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/A%20-%20The%20Sound%20of%20Breath%20-%20Single/01%20A.mp3,,17936,FAB9E89876D0AA89,1,3840894203,2025-09-17 00:03:23,,,,,44100,7645579,1,2025-11-26 04:18:12,,,,,2,28465,1,File,2017
Silence iz Mine,SiM,Rock,T X H X C,2:33,Setlist,06 T X H X C.mp3,SiM_ Latam Tour,D:\Códigos\Musica-Analisis\files\xml\Setlist\SiM_ Latam Tour.xml,SiM,100,True,1,93,256,,,Mäh,2025-09-03 05:00:20,2025-09-23 04:33:06,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/SiM/Silence%20iz%20Mine/06%20T%20X%20H%20X%20C.mp3,,5465,8EEFD02BD7D1BE8E,1,3839860166,2025-09-05 00:49:26,,,,,44100,5041754,,,,,,,12,28503,6,File,2008
