Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
BETWEEN 1&2,TWICE,K-Pop,Talk that Talk,2:57,Setlist,01 Talk that Talk.mp3,Twice_ Ready To Be - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Twice_ Ready To Be - CDMX 2024.xml,TWICE,,,1,120,256,,,"Woo Min Lee “collapsedone”, MRCH & danke (lalala studio)",2024-09-26 21:02:48,2025-09-23 04:20:23,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TWICE/BETWEEN%201&2/01%20Talk%20that%20Talk.mp3,,13010,99CCF11C3BD89702,,,,,,,,44100,5768730,,,,,,,7,10945,1,File,2021
BETWEEN 1&2,TWICE,K-Pop,Queen of Hearts,3:07,Setlist,02 Queen of Hearts.mp3,Twice_ Ready To Be - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Twice_ Ready To Be - CDMX 2024.xml,TWICE,,,1,150,256,,,"Greg Bonnick, Hayden Chapman, Paulina Cerrilla & Kyler Niko",2024-09-26 21:02:48,2025-09-23 06:10:08,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TWICE/BETWEEN%201&2/02%20Queen%20of%20Hearts.mp3,,10436,907390E37983E31F,,,,,,,,44100,6073005,,,,,,,7,10947,2,File,2021
BETWEEN 1&2,TWICE,K-Pop,Brave,3:09,Setlist,05 Brave.mp3,Twice_ Ready To Be - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Twice_ Ready To Be - CDMX 2024.xml,TWICE,,,1,132,256,,,"Slow Rabbit, Melanie Fontana, Lindgren, Louise Frick Sveen, Maria Marcus, Ollipop, Jonna Hall, Sophia Pae, Kyler Niko, Paulina Cerrilla, Seuran Lee, YoonKyung Cho & Juhwan Noh",2024-09-26 21:02:48,2025-09-23 04:09:14,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TWICE/BETWEEN%201&2/05%20Brave.mp3,,10960,8A7C88D2795C03F3,,,,,,,,44100,6144884,,,,,,,7,10953,5,File,2021
BETWEEN 1&2,TWICE,K-Pop,When We Were Kids,3:09,Setlist,07 When We Were Kids.mp3,Twice_ Ready To Be - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Twice_ Ready To Be - CDMX 2024.xml,TWICE,,,1,137,256,,,"Christian Fast, Johannes Willinder, Malin Johansson & da hyun",2024-09-26 21:02:48,2025-09-23 04:53:33,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TWICE/BETWEEN%201&2/07%20When%20We%20Were%20Kids.mp3,,7855,99D28F3EBFE6401B,,,,,,,,44100,6149076,,,,,,,7,10957,7,File,2021
Eyes wide open,TWICE,K-Pop,I CAN'T STOP ME,3:25,Setlist,01 I CAN'T STOP ME.mp3,Twice_ Ready To Be - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Twice_ Ready To Be - CDMX 2024.xml,TWICE,100,True,1,150,256,Se encuentra en spotify,,"Melanie Joy Fontana, Michel ""Lindgren"" Schulz, A. Wright, J.Y. Park “The Asiansoul” & Sim Eun Jee",2024-09-26 21:02:49,2025-10-17 06:53:41,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TWICE/Eyes%20wide%20open/01%20I%20CAN'T%20STOP%20ME.mp3,,7953,8EE7AB297DFD9DB8,3,3837425720,2025-08-07 20:35:20,,100,,,44100,6652264,,,,,,,13,10977,1,File,2020
Eyes wide open,TWICE,K-Pop,GO HARD,3:01,Setlist,08 GO HARD.mp3,Twice_ Ready To Be - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Twice_ Ready To Be - CDMX 2024.xml,TWICE,100,True,1,100,256,,,"Grace Tither, Carl Ryden, Ki Fitzgerald, Paul Harris & F R I D A Y . (GALACTIKA *)",2024-09-26 21:02:50,2025-09-23 05:16:22,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TWICE/Eyes%20wide%20open/08%20GO%20HARD.mp3,,7102,58A2C8F5A116D3CC,,,,,,,,44100,5885719,,,,,,,13,10991,8,File,2020
Feel Special,TWICE,K-Pop,Feel Special,3:26,Setlist,01 Feel Special.mp3,Twice_ Ready To Be - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Twice_ Ready To Be - CDMX 2024.xml,TWICE,100,True,1,129,256,Se encuentra en spotify,,"Haylet Aitken, Ollipop, Min Lee collapsedone & J.Y. Park",2024-09-26 21:02:51,2025-10-17 06:53:40,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TWICE/Feel%20Special/01%20Feel%20Special.mp3,,13243,067A9E055C538C56,4,3842199470,2025-10-02 02:37:50,,100,,,44100,6754725,,,,,,,7,11003,1,File,2019
Formula of Love- O+T= 3,TWICE,K-Pop,SCIENTIST,3:14,Setlist,01 SCIENTIST.mp3,Twice_ Ready To Be - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Twice_ Ready To Be - CDMX 2024.xml,TWICE,100,True,1,113,256,,,"Anne Marie, Melanie Fontana, Michel ""Lindgren"" Schulz, Tommy Brown, Steven Franks, 72 & 심은지",2024-09-26 21:02:52,2025-09-23 03:59:39,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TWICE/Formula%20of%20Love-%20O+T=%203/01%20SCIENTIST.mp3,,5872,F093ED71CF63A79A,,,,,,,,44100,6311405,,,,,,,16,11017,1,File,2021
Formula of Love- O+T= 3,TWICE,K-Pop,HELLO,3:03,Setlist,12 HELLO.mp3,Twice_ Ready To Be - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Twice_ Ready To Be - CDMX 2024.xml,TWICE,100,True,1,85,256,,,"Jed, DaviDior & Luke",2024-09-26 21:02:54,2025-09-23 05:36:09,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TWICE/Formula%20of%20Love-%20O+T=%203/12%20HELLO.mp3,,4717,05FB7D13867BAC41,1,3820589225,2025-01-25 00:47:05,,,,,44100,5946942,,,,,,,16,11039,12,File,2021
I GOT YOU (Voyage ver.),TWICE,K-Pop,I GOT YOU (Original),2:53,Setlist,02 I GOT YOU (Original).mp3,Twice_ Ready To Be - CDMX 2024,D:\Códigos\Musica-Analisis\files\xml\Setlist\Twice_ Ready To Be - CDMX 2024.xml,TWICE,100,True,1,88,256,Se encuentra en spotify,,"Jonah Marais, Daniel Seavey, David Wilson, Jake Torrey & Lexxi Saal",2024-09-26 21:02:56,2025-10-17 06:53:40,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/TWICE/I%20GOT%20YOU%20(Voyage%20ver.)/02%20I%20GOT%20YOU%20(Original).mp3,,8706,697846F9BA0EABD8,4,3845287373,2025-11-06 21:22:53,,100,,,44100,5601448,,,,,,,12,11051,2,File,2024
