Nombre	Artista	Compositor	Álbum	Grupo	Trabajo	Número de movimiento	Recuento de movimientos	Nombre del movimiento	Género	Tamaño	Duración	Número de disco	Número de discos	Número de pista	Número de pistas	Año	Fecha de modificación	Fecha en que se agregó	Velocidad de bits	Frecuencia de muestreo	Ajuste de volumen	Clase	Ecualizador	Comentarios	Reproducciones	Última reproducción	Omisiones	Última omisión	Mi calificación
Formentera	Aitana & NICKI NICOLE	Andrés Torres/Mauricio Rengifo/Aitana Ocaña/Nicole Denise Cucco	Formentera - Single						Pop en español	8723151	206	1	1	1	1	2021	07/01/2026 04:07 p. m.	07/03/2025 11:51 a. m.	330	48000		Archivo de audio AAC		Se encuentra en spotify	18	25/04/2026 06:39 p. m.	1	22/12/2025 08:52 p. m.	100
LA CHICA PERFECTA	Aitana & Fangoria	Aitana, Fangoria	CUARTO AZUL						Pop en español	6197802	191	1	1	19	19	2025	13/01/2026 04:49 p. m.	03/06/2025 10:08 p. m.	256	44100		Archivo de audio MPEG		Se encuentra en spotify	14	05/05/2026 01:51 a. m.			100
MÚSICA EN EL CIELO	Aitana		CUARTO AZUL						Pop en español	7433979	230	1	1	9	19	2025	07/01/2026 12:54 p. m.	03/06/2025 10:08 p. m.	256	44100		Archivo de audio MPEG		Se encuentra en spotify	13	20/04/2026 11:53 a. m.	1	20/12/2025 10:20 a. m.	100
GRAN VÍA	Quevedo & Aitana	Pedro Luis Domínguez Quevedo, Geovanny Javier Chasiloa Caza, Javier Falquet Moragues, Aitana, Andres Torres, Mauricio Rengifo & David Hernandez Garcia	BUENAS NOCHES						Música latina	8965423	213	1	1	4	18	2024	07/01/2026 04:10 p. m.	16/01/2025 11:57 p. m.	331	48000		Archivo de audio AAC		Se encuentra en spotify	11	12/05/2026 06:32 p. m.			100
EX EX EX	Aitana & Kenia Os		CUARTO AZUL						Pop en español	5875241	181	1	1	16	19	2025	13/01/2026 04:50 p. m.	03/06/2025 10:08 p. m.	256	44100		Archivo de audio MPEG		Se encuentra en spotify	9	03/03/2026 11:26 a. m.			100
CUARTO AZUL	Aitana		CUARTO AZUL						Pop en español	6482792	200	1	1	5	19	2025	07/01/2026 03:57 p. m.	03/06/2025 10:08 p. m.	256	44100		Archivo de audio MPEG		Se encuentra en spotify	8	07/03/2026 03:46 p. m.			100
CONEXIÓN PSÍQUICA	Aitana	Aitana	CUARTO AZUL						Pop en español	7102335	220	1	1	14	19	2025	07/01/2026 02:21 p. m.	03/06/2025 10:08 p. m.	256	44100		Archivo de audio MPEG		Se encuentra en spotify	7	14/03/2026 06:40 p. m.			100
¿PARA QUÉ VOLVER 	Aitana & Ela Taubert		CUARTO AZUL						Pop en español	4597583	141	1	1	4	19	2025	13/01/2026 04:50 p. m.	03/06/2025 10:08 p. m.	256	44100		Archivo de audio MPEG		Se encuentra en spotify	7	11/02/2026 03:34 p. m.			100
Enemigos	Aitana & Reik	Aitana, Santiago Deluchi, Chris Zadley, Germán Gonzalo Duque Molano & Felipe González Abad	Enemigos - Single						Pop en español	8381023	197	1	1	1	1	2020	07/01/2026 01:37 p. m.	07/03/2025 11:51 a. m.	333	48000		Archivo de audio AAC		Se encuentra en spotify	7	16/04/2026 07:28 p. m.	1	16/04/2026 07:24 p. m.	100
SUPERESTRELLA	Aitana	Nicolás Cotton	CUARTO AZUL						Pop en español	5938479	183	1	1	15	19	2025	29/11/2025 01:01 a. m.	03/06/2025 10:08 p. m.	256	44100		Archivo de audio MPEG		Se encuentra en spotify	6	01/04/2026 12:12 p. m.			100
